stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
AR,0541000,Little Rock,incorporated,25,A,202591,"Little Rock, AR",0,1,87,0.348,Little Rock city
AR,0523290,Fayetteville,incorporated,25,A,93949,"Fayetteville, AR",0,2,25,0.1,Fayetteville city
AR,0524550,Fort Smith,incorporated,25,A,89142,"Fort Smith, AR",0,3,16,0.064,Fort Smith city
AR,0566080,Springdale,incorporated,25,A,84161,"Springdale, AR",0,4,10,0.04,Springdale city
AR,0535710,Jonesboro,incorporated,25,A,78576,"Jonesboro, AR",0,5,9,0.036,Jonesboro city
AR,0560410,Rogers,incorporated,25,A,69908,"Rogers, AR",0,6,6,0.024,Rogers city
AR,0550450,North Little Rock,incorporated,25,A,64591,"North Little Rock, AR",0,7,9,0.036,North Little Rock city
AR,0515190,Conway,incorporated,25,A,64134,"Conway, AR",0,8,4,0.016,Conway city
AR,0505320,Bentonville,incorporated,25,A,54164,"Bentonville, AR",0,9,5,0.02,Bentonville city
AR,0555310,Pine Bluff,incorporated,25,A,41253,"Pine Bluff, AR",0,10,3,0.012,Pine Bluff city
AR,0533400,Hot Springs,incorporated,25,A,37930,"Hot Springs, AR",0,11,4,0.016,Hot Springs city
AR,0505290,Benton,incorporated,25,A,35014,"Benton, AR",0,12,4,0.016,Benton city
AR,0563800,Sherwood,incorporated,25,A,32731,"Sherwood, AR",0,13,2,0.008,Sherwood city
AR,0504840,Bella Vista,incorporated,25,A,30104,"Bella Vista, AR",0,14,2,0.008,Bella Vista city
AR,0553390,Paragould,incorporated,25,A,29537,"Paragould, AR",0,15,3,0.012,Paragould city
AR,0534750,Jacksonville,incorporated,25,A,29477,"Jacksonville, AR",0,16,3,0.012,Jacksonville city
AR,0568810,Texarkana,incorporated,25,A,29387,"Texarkana, AR",0,17,3,0.012,Texarkana city
AR,0561670,Russellville,incorporated,25,A,28940,"Russellville, AR",0,18,3,0.012,Russellville city
AR,0510300,Cabot,incorporated,25,A,26569,"Cabot, AR",0,19,2,0.008,Cabot city
AR,0574540,West Memphis,incorporated,25,A,24520,"West Memphis, AR",0,20,1,0.004,West Memphis city
AR,0571480,Van Buren,incorporated,25,A,23218,"Van Buren, AR",0,21,1,0.004,Van Buren city
AR,0563020,Searcy,incorporated,25,A,22937,"Searcy, AR",0,22,1,0.004,Searcy city
AR,0509460,Bryant,incorporated,25,A,20663,"Bryant, AR",0,23,1,0.004,Bryant city
AR,0544600,Maumelle,incorporated,25,A,19251,"Maumelle, AR",0,24,1,0.004,Maumelle city
AR,0512820,Centerton,incorporated,25,A,17792,"Centerton, AR",0,25,1,0.004,Centerton city
AR,0521070,El Dorado,incorporated,25,A,17756,"El Dorado, AR",0,26,2,0.008,El Dorado city
AR,0564370,Siloam Springs,incorporated,25,A,17287,"Siloam Springs, AR",0,27,2,0.008,Siloam Springs city
AR,0544180,Marion,incorporated,25,A,13752,"Marion, AR",0,28,2,0.008,Marion city
AR,0507330,Blytheville,incorporated,25,A,13406,"Blytheville, AR",0,29,2,0.008,Blytheville city
AR,0530460,Harrison,incorporated,25,A,13069,"Harrison, AR",0,30,2,0.008,Harrison city
AR,0524430,Forrest City,incorporated,25,A,13015,"Forrest City, AR",0,31,2,0.008,Forrest City city
AR,0547390,Mountain Home,incorporated,25,A,12825,"Mountain Home, AR",0,32,2,0.008,Mountain Home city
AR,0504030,Batesville,incorporated,25,A,11191,"Batesville, AR",0,33,2,0.008,Batesville city
AR,0543460,Magnolia,incorporated,25,A,11162,"Magnolia, AR",0,34,2,0.008,Magnolia city
AR,0543610,Malvern,incorporated,25,A,10867,"Malvern, AR",0,35,2,0.008,Malvern city
AR,0510720,Camden,incorporated,25,A,10612,"Camden, AR",0,36,2,0.008,Camden city
AR,0501870,Arkadelphia,incorporated,25,A,10380,"Arkadelphia, AR",0,37,2,0.008,Arkadelphia city
