stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
AZ,0455000,Phoenix,incorporated,25,A,1608139,"Phoenix, AZ",0,1,99,0.396,Phoenix city
AZ,0477000,Tucson,incorporated,25,A,542629,"Tucson, AZ",0,2,28,0.112,Tucson city
AZ,0446000,Mesa,incorporated,25,A,504258,"Mesa, AZ",0,3,17,0.068,Mesa city
AZ,0412000,Chandler,incorporated,25,A,275987,"Chandler, AZ",0,4,12,0.048,Chandler city
AZ,0427400,Gilbert,incorporated,43,A,267918,"Gilbert, AZ",0,5,9,0.036,Gilbert town
AZ,0427820,Glendale,incorporated,25,A,248325,"Glendale, AZ",0,6,7,0.028,Glendale city
AZ,0465000,Scottsdale,incorporated,25,A,241361,"Scottsdale, AZ",0,7,6,0.024,Scottsdale city
AZ,0454050,Peoria,incorporated,25,A,190985,"Peoria, AZ",0,8,6,0.024,Peoria city
AZ,0473000,Tempe,incorporated,25,A,180587,"Tempe, AZ",0,9,4,0.016,Tempe city
AZ,0471510,Surprise,incorporated,25,A,143148,"Surprise, AZ",0,10,4,0.016,Surprise city
AZ,0485540,Yuma,incorporated,25,A,95548,"Yuma, AZ",0,11,3,0.012,Yuma city
AZ,0428380,Goodyear,incorporated,25,A,95294,"Goodyear, AZ",0,12,4,0.016,Goodyear city
AZ,0407940,Buckeye,incorporated,25,A,91502,"Buckeye, AZ",0,13,3,0.012,Buckeye city
AZ,0404720,Avondale,incorporated,25,A,89334,"Avondale, AZ",0,14,2,0.008,Avondale city
AZ,0423620,Flagstaff,incorporated,25,A,76831,"Flagstaff, AZ",0,15,2,0.008,Flagstaff city
AZ,0458150,Queen Creek,incorporated,43,A,59519,"Queen Creek, AZ",0,16,2,0.008,Queen Creek town
AZ,0444410,Maricopa,incorporated,25,A,58125,"Maricopa, AZ",0,17,3,0.012,Maricopa city
AZ,0439370,Lake Havasu City,incorporated,25,A,57144,"Lake Havasu City, AZ",0,18,2,0.008,Lake Havasu City city
AZ,0410530,Casa Grande,incorporated,25,A,53658,"Casa Grande, AZ",0,19,2,0.008,Casa Grande city
AZ,0444270,Marana,incorporated,43,A,51908,"Marana, AZ",0,20,2,0.008,Marana town
AZ,0451600,Oro Valley,incorporated,43,A,47070,"Oro Valley, AZ",0,21,1,0.004,Oro Valley town
AZ,0457450,Prescott Valley,incorporated,43,A,46785,"Prescott Valley, AZ",0,22,1,0.004,Prescott Valley town
AZ,0457380,Prescott,incorporated,25,A,45827,"Prescott, AZ",0,23,1,0.004,Prescott city
AZ,0466820,Sierra Vista,incorporated,25,A,45308,"Sierra Vista, AZ",0,24,1,0.004,Sierra Vista city
AZ,0408220,Bullhead City,incorporated,25,A,41348,"Bullhead City, AZ",0,25,1,0.004,Bullhead City city
AZ,0402830,Apache Junction,incorporated,25,A,38499,"Apache Junction, AZ",0,26,1,0.004,Apache Junction city
AZ,0422220,El Mirage,incorporated,25,A,35805,"El Mirage, AZ",0,27,1,0.004,El Mirage city
AZ,0463470,San Luis,incorporated,25,A,35257,"San Luis, AZ",0,28,1,0.004,San Luis city
AZ,0462140,Sahuarita,incorporated,43,A,34134,"Sahuarita, AZ",0,29,2,0.008,Sahuarita town
AZ,0437620,Kingman,incorporated,25,A,32689,"Kingman, AZ",0,30,2,0.008,Kingman city
AZ,0423760,Florence,incorporated,43,A,26785,"Florence, AZ",0,31,2,0.008,Florence town
AZ,0425300,Fountain Hills,incorporated,43,A,23820,"Fountain Hills, AZ",0,32,2,0.008,Fountain Hills town
