stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
CA,0644000,Los Angeles,incorporated,25,A,3898747,"Los Angeles, CA",0,1,67,0.268,Los Angeles city
CA,0666000,San Diego,incorporated,25,A,1386932,"San Diego, CA",0,2,29,0.116,San Diego city
CA,0668000,San Jose,incorporated,25,A,1013240,"San Jose, CA",0,3,18,0.072,San Jose city
CA,0667000,San Francisco,incorporated,25,A,873965,"San Francisco, CA",0,4,13,0.052,San Francisco city
CA,0627000,Fresno,incorporated,25,A,542107,"Fresno, CA",0,5,10,0.04,Fresno city
CA,0664000,Sacramento,incorporated,25,A,524943,"Sacramento, CA",0,6,12,0.048,Sacramento city
CA,0643000,Long Beach,incorporated,25,A,466742,"Long Beach, CA",0,7,7,0.028,Long Beach city
CA,0653000,Oakland,incorporated,25,A,440646,"Oakland, CA",0,8,6,0.024,Oakland city
CA,0603526,Bakersfield,incorporated,25,A,403455,"Bakersfield, CA",0,9,4,0.016,Bakersfield city
CA,0602000,Anaheim,incorporated,25,A,346824,"Anaheim, CA",0,10,5,0.02,Anaheim city
CA,0675000,Stockton,incorporated,25,A,320804,"Stockton, CA",0,11,3,0.012,Stockton city
CA,0662000,Riverside,incorporated,25,A,314998,"Riverside, CA",0,12,4,0.016,Riverside city
CA,0669000,Santa Ana,incorporated,25,A,310227,"Santa Ana, CA",0,13,4,0.016,Santa Ana city
CA,0636770,Irvine,incorporated,25,A,307670,"Irvine, CA",0,14,2,0.008,Irvine city
CA,0613392,Chula Vista,incorporated,25,A,275487,"Chula Vista, CA",0,15,2,0.008,Chula Vista city
CA,0626000,Fremont,incorporated,25,A,230504,"Fremont, CA",0,16,2,0.008,Fremont city
CA,0669088,Santa Clarita,incorporated,25,A,228673,"Santa Clarita, CA",0,17,3,0.012,Santa Clarita city
CA,0665000,San Bernardino,incorporated,25,A,222101,"San Bernardino, CA",0,18,3,0.012,San Bernardino city
CA,0648354,Modesto,incorporated,25,A,218464,"Modesto, CA",0,19,3,0.012,Modesto city
CA,0649270,Moreno Valley,incorporated,25,A,208634,"Moreno Valley, CA",0,20,3,0.012,Moreno Valley city
CA,0624680,Fontana,incorporated,25,A,208393,"Fontana, CA",0,21,1,0.004,Fontana city
CA,0654652,Oxnard,incorporated,25,A,202063,"Oxnard, CA",0,22,1,0.004,Oxnard city
CA,0636000,Huntington Beach,incorporated,25,A,198711,"Huntington Beach, CA",0,23,1,0.004,Huntington Beach city
CA,0630000,Glendale,incorporated,25,A,196543,"Glendale, CA",0,24,1,0.004,Glendale city
CA,0670098,Santa Rosa,incorporated,25,A,178127,"Santa Rosa, CA",0,25,1,0.004,Santa Rosa city
CA,0622020,Elk Grove,incorporated,25,A,176124,"Elk Grove, CA",0,26,1,0.004,Elk Grove city
CA,0653896,Ontario,incorporated,25,A,175265,"Ontario, CA",0,27,1,0.004,Ontario city
CA,0659451,Rancho Cucamonga,incorporated,25,A,174453,"Rancho Cucamonga, CA",0,28,1,0.004,Rancho Cucamonga city
CA,0653322,Oceanside,incorporated,25,A,174068,"Oceanside, CA",0,29,2,0.008,Oceanside city
CA,0640130,Lancaster,incorporated,25,A,173516,"Lancaster, CA",0,30,2,0.008,Lancaster city
CA,0629000,Garden Grove,incorporated,25,A,171949,"Garden Grove, CA",0,31,2,0.008,Garden Grove city
CA,0655156,Palmdale,incorporated,25,A,169450,"Palmdale, CA",0,32,2,0.008,Palmdale city
CA,0664224,Salinas,incorporated,25,A,163542,"Salinas, CA",0,33,2,0.008,Salinas city
CA,0633000,Hayward,incorporated,25,A,162954,"Hayward, CA",0,34,2,0.008,Hayward city
CA,0616350,Corona,incorporated,25,A,157136,"Corona, CA",0,35,2,0.008,Corona city
CA,0677000,Sunnyvale,incorporated,25,A,155805,"Sunnyvale, CA",0,36,2,0.008,Sunnyvale city
CA,0658072,Pomona,incorporated,25,A,151713,"Pomona, CA",0,37,2,0.008,Pomona city
CA,0622804,Escondido,incorporated,25,A,151038,"Escondido, CA",0,38,2,0.008,Escondido city
