stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
CO,0820000,Denver,incorporated,25,A,715522,"Denver, CO",0,1,91,0.364,Denver city
CO,0816000,Colorado Springs,incorporated,25,A,478961,"Colorado Springs, CO",0,2,27,0.108,Colorado Springs city
CO,0804000,Aurora,incorporated,25,A,386261,"Aurora, CO",0,3,15,0.06,Aurora city
CO,0827425,Fort Collins,incorporated,25,A,169810,"Fort Collins, CO",0,4,12,0.048,Fort Collins city
CO,0843000,Lakewood,incorporated,25,A,155984,"Lakewood, CO",0,5,8,0.032,Lakewood city
CO,0877290,Thornton,incorporated,25,A,141867,"Thornton, CO",0,6,6,0.024,Thornton city
CO,0803455,Arvada,incorporated,25,A,124402,"Arvada, CO",0,7,5,0.02,Arvada city
CO,0883835,Westminster,incorporated,25,A,116317,"Westminster, CO",0,8,6,0.024,Westminster city
CO,0862000,Pueblo,incorporated,25,A,111876,"Pueblo, CO",0,9,5,0.02,Pueblo city
CO,0832155,Greeley,incorporated,25,A,108795,"Greeley, CO",0,10,3,0.012,Greeley city
CO,0812815,Centennial,incorporated,25,A,108418,"Centennial, CO",0,11,3,0.012,Centennial city
CO,0807850,Boulder,incorporated,25,A,108250,"Boulder, CO",0,12,4,0.016,Boulder city
CO,0845970,Longmont,incorporated,25,A,98885,"Longmont, CO",0,13,2,0.008,Longmont city
CO,0846465,Loveland,incorporated,25,A,76378,"Loveland, CO",0,14,2,0.008,Loveland city
CO,0809280,Broomfield,incorporated,25,A,74112,"Broomfield, CO",0,15,2,0.008,Broomfield city
CO,0812415,Castle Rock,incorporated,43,A,73158,"Castle Rock, CO",0,16,3,0.012,Castle Rock town
CO,0831660,Grand Junction,incorporated,25,A,65560,"Grand Junction, CO",0,17,3,0.012,Grand Junction city
CO,0816495,Commerce City,incorporated,25,A,62418,"Commerce City, CO",0,18,3,0.012,Commerce City city
CO,0857630,Parker,incorporated,43,A,58512,"Parker, CO",0,19,3,0.012,Parker town
CO,0845255,Littleton,incorporated,25,A,45652,"Littleton, CO",0,20,1,0.004,Littleton city
CO,0808675,Brighton,incorporated,25,A,40083,"Brighton, CO",0,21,1,0.004,Brighton city
CO,0854330,Northglenn,incorporated,25,A,38131,"Northglenn, CO",0,22,1,0.004,Northglenn city
