stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
FL,1235000,Jacksonville,incorporated,25,A,949611,"Jacksonville, FL",0,1,68,0.272,Jacksonville city
FL,1245000,Miami,incorporated,25,A,442241,"Miami, FL",0,2,28,0.112,Miami city
FL,1271000,Tampa,incorporated,25,A,384959,"Tampa, FL",0,3,18,0.072,Tampa city
FL,1253000,Orlando,incorporated,25,A,307573,"Orlando, FL",0,4,13,0.052,Orlando city
FL,1263000,St. Petersburg,incorporated,25,A,258308,"St. Petersburg, FL",0,5,10,0.04,St. Petersburg city
FL,1230000,Hialeah,incorporated,25,A,223109,"Hialeah, FL",0,6,7,0.028,Hialeah city
FL,1258715,Port St. Lucie,incorporated,25,A,204851,"Port St. Lucie, FL",0,7,7,0.028,Port St. Lucie city
FL,1270600,Tallahassee,incorporated,25,A,196169,"Tallahassee, FL",0,8,7,0.028,Tallahassee city
FL,1210275,Cape Coral,incorporated,25,A,194016,"Cape Coral, FL",0,9,4,0.016,Cape Coral city
FL,1224000,Fort Lauderdale,incorporated,25,A,182760,"Fort Lauderdale, FL",0,10,5,0.02,Fort Lauderdale city
FL,1255775,Pembroke Pines,incorporated,25,A,171178,"Pembroke Pines, FL",0,11,3,0.012,Pembroke Pines city
FL,1232000,Hollywood,incorporated,25,A,153067,"Hollywood, FL",0,12,4,0.016,Hollywood city
FL,1225175,Gainesville,incorporated,25,A,141085,"Gainesville, FL",0,13,4,0.016,Gainesville city
FL,1245975,Miramar,incorporated,25,A,134721,"Miramar, FL",0,14,2,0.008,Miramar city
FL,1214400,Coral Springs,incorporated,25,A,134394,"Coral Springs, FL",0,15,2,0.008,Coral Springs city
FL,1254000,Palm Bay,incorporated,25,A,119760,"Palm Bay, FL",0,16,2,0.008,Palm Bay city
FL,1276600,West Palm Beach,incorporated,25,A,117415,"West Palm Beach, FL",0,17,3,0.012,West Palm Beach city
FL,1212875,Clearwater,incorporated,25,A,117292,"Clearwater, FL",0,18,3,0.012,Clearwater city
FL,1238250,Lakeland,incorporated,25,A,112641,"Lakeland, FL",0,19,3,0.012,Lakeland city
FL,1258050,Pompano Beach,incorporated,25,A,112046,"Pompano Beach, FL",0,20,3,0.012,Pompano Beach city
FL,1245060,Miami Gardens,incorporated,25,A,111640,"Miami Gardens, FL",0,21,2,0.008,Miami Gardens city
FL,1216475,Davie,incorporated,43,A,105691,"Davie, FL",0,22,1,0.004,Davie town
FL,1207300,Boca Raton,incorporated,25,A,97422,"Boca Raton, FL",0,23,1,0.004,Boca Raton city
FL,1269700,Sunrise,incorporated,25,A,97335,"Sunrise, FL",0,24,1,0.004,Sunrise city
FL,1217200,Deltona,incorporated,25,A,93692,"Deltona, FL",0,25,1,0.004,Deltona city
FL,1257425,Plantation,incorporated,25,A,91750,"Plantation, FL",0,26,1,0.004,Plantation city
FL,1254200,Palm Coast,incorporated,25,A,89258,"Palm Coast, FL",0,27,1,0.004,Palm Coast city
FL,1216725,Deerfield Beach,incorporated,25,A,86859,"Deerfield Beach, FL",0,28,1,0.004,Deerfield Beach city
FL,1224125,Fort Myers,incorporated,25,A,86395,"Fort Myers, FL",0,29,2,0.008,Fort Myers city
FL,1243975,Melbourne,incorporated,25,A,84678,"Melbourne, FL",0,30,2,0.008,Melbourne city
