stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
GA,1304000,Atlanta,incorporated,25,A,498715,"Atlanta, GA",0,1,35,0.35,Atlanta city
GA,1319000,Columbus,incorporated,25,A,206922,"Columbus, GA",0,2,11,0.11,Columbus city
GA,1304204,Augusta-Richmond County consolidated government (balance),incorporated,00,F,202081,"Augusta-Richmond County consolidated government (balance), GA",0,3,7,0.07,Augusta-Richmond County consolidated government (balance)
GA,1349008,Macon-Bibb County,incorporated,00,A,157346,"Macon-Bibb County, GA",0,4,4,0.04,Macon-Bibb County
GA,1369000,Savannah,incorporated,25,A,147780,"Savannah, GA",0,5,3,0.03,Savannah city
GA,1303440,Athens-Clarke County unified government (balance),incorporated,00,F,127315,"Athens-Clarke County unified government (balance), GA",0,6,3,0.03,Athens-Clarke County unified government (balance)
GA,1368516,Sandy Springs,incorporated,25,A,108080,"Sandy Springs, GA",0,7,2,0.02,Sandy Springs city
GA,1372122,South Fulton,incorporated,25,A,107436,"South Fulton, GA",0,8,3,0.03,South Fulton city
GA,1367284,Roswell,incorporated,25,A,92833,"Roswell, GA",0,9,3,0.03,Roswell city
GA,1342425,Johns Creek,incorporated,25,A,82453,"Johns Creek, GA",0,10,1,0.01,Johns Creek city
GA,1380508,Warner Robins,incorporated,25,A,80308,"Warner Robins, GA",0,11,1,0.01,Warner Robins city
GA,1301052,Albany,incorporated,25,A,69647,"Albany, GA",0,12,1,0.01,Albany city
GA,1301696,Alpharetta,incorporated,25,A,65818,"Alpharetta, GA",0,13,2,0.02,Alpharetta city
GA,1349756,Marietta,incorporated,25,A,60972,"Marietta, GA",0,14,2,0.02,Marietta city
GA,1373784,Stonecrest,incorporated,25,A,59194,"Stonecrest, GA",0,15,2,0.02,Stonecrest city
GA,1371492,Smyrna,incorporated,25,A,55663,"Smyrna, GA",0,16,2,0.02,Smyrna city
GA,1378800,Valdosta,incorporated,25,A,55378,"Valdosta, GA",0,17,2,0.02,Valdosta city
GA,1310944,Brookhaven,incorporated,25,A,55161,"Brookhaven, GA",0,18,2,0.02,Brookhaven city
GA,1324768,Dunwoody,incorporated,25,A,51683,"Dunwoody, GA",0,19,2,0.02,Dunwoody city
GA,1355020,Newnan,incorporated,25,A,42549,"Newnan, GA",0,20,2,0.02,Newnan city
GA,1331908,Gainesville,incorporated,25,A,42296,"Gainesville, GA",0,21,2,0.02,Gainesville city
GA,1359735,Peachtree Corners,incorporated,25,A,42243,"Peachtree Corners, GA",0,22,1,0.01,Peachtree Corners city
GA,1351670,Milton,incorporated,25,A,41296,"Milton, GA",0,23,1,0.01,Milton city
GA,1348288,Mableton,incorporated,25,A,40834,"Mableton, GA",0,24,1,0.01,Mableton city
GA,1325720,East Point,incorporated,25,A,38358,"East Point, GA",0,25,1,0.01,East Point city
GA,1359724,Peachtree City,incorporated,25,A,38244,"Peachtree City, GA",0,26,1,0.01,Peachtree City city
GA,1366668,Rome,incorporated,25,A,37713,"Rome, GA",0,27,1,0.01,Rome city
GA,1377652,Tucker,incorporated,25,A,37005,"Tucker, GA",0,28,1,0.01,Tucker city
GA,1384176,Woodstock,incorporated,25,A,35065,"Woodstock, GA",0,29,1,0.01,Woodstock city
GA,1338964,Hinesville,incorporated,25,A,34891,"Hinesville, GA",0,30,0,0,Hinesville city
GA,1323900,Douglasville,incorporated,25,A,34650,"Douglasville, GA",0,31,0,0,Douglasville city
GA,1321380,Dalton,incorporated,25,A,34417,"Dalton, GA",0,32,0,0,Dalton city
GA,1373256,Statesboro,incorporated,25,A,33438,"Statesboro, GA",0,33,0,0,Statesboro city
GA,1343192,Kennesaw,incorporated,25,A,33036,"Kennesaw, GA",0,34,0,0,Kennesaw city
GA,1312988,Canton,incorporated,25,A,32973,"Canton, GA",0,35,0,0,Canton city
GA,1324600,Duluth,incorporated,25,A,31873,"Duluth, GA",0,36,0,0,Duluth city
GA,1344340,LaGrange,incorporated,25,A,30858,"LaGrange, GA",0,37,0,0,LaGrange city
GA,1345488,Lawrenceville,incorporated,25,A,30629,"Lawrenceville, GA",0,38,0,0,Lawrenceville city
GA,1315172,Chamblee,incorporated,25,A,30164,"Chamblee, GA",0,39,0,0,Chamblee city
GA,1348624,McDonough,incorporated,25,A,29051,"McDonough, GA",0,40,0,0,McDonough city
GA,1373704,Stockbridge,incorporated,25,A,28973,"Stockbridge, GA",0,41,0,0,Stockbridge city
GA,1378324,Union City,incorporated,25,A,26830,"Union City, GA",0,42,0,0,Union City city
GA,1313492,Carrollton,incorporated,25,A,26738,"Carrollton, GA",0,43,0,0,Carrollton city
GA,1362104,Pooler,incorporated,25,A,25711,"Pooler, GA",0,44,0,0,Pooler city
GA,1374180,Sugar Hill,incorporated,25,A,25076,"Sugar Hill, GA",0,45,0,0,Sugar Hill city
GA,1322052,Decatur,incorporated,25,A,24928,"Decatur, GA",0,46,0,0,Decatur city
GA,1335324,Griffin,incorporated,25,A,23478,"Griffin, GA",0,47,0,0,Griffin city
GA,1313688,Cartersville,incorporated,25,A,23187,"Cartersville, GA",0,48,0,0,Cartersville city
GA,1300408,Acworth,incorporated,25,A,22440,"Acworth, GA",0,49,0,0,Acworth city
GA,1374936,Suwanee,incorporated,25,A,20786,"Suwanee, GA",0,50,0,0,Suwanee city
GA,1360340,Perry,incorporated,25,A,20624,"Perry, GA",0,51,0,0,Perry city
GA,1371604,Snellville,incorporated,25,A,20573,"Snellville, GA",0,52,0,0,Snellville city
GA,1330536,Forest Park,incorporated,25,A,19932,"Forest Park, GA",0,53,0,0,Forest Park city
GA,1328968,Fayetteville,incorporated,25,A,18957,"Fayetteville, GA",0,54,0,0,Fayetteville city
GA,1376224,Thomasville,incorporated,25,A,18881,"Thomasville, GA",0,55,0,0,Thomasville city
GA,1383420,Winder,incorporated,25,A,18338,"Winder, GA",0,56,0,0,Winder city
GA,1343640,Kingsland,incorporated,25,A,18337,"Kingsland, GA",0,57,0,0,Kingsland city
GA,1367984,St. Marys,incorporated,25,A,18256,"St. Marys, GA",0,58,0,0,St. Marys city
GA,1319336,Conyers,incorporated,25,A,17305,"Conyers, GA",0,59,0,0,Conyers city
GA,1355776,Norcross,incorporated,25,A,17209,"Norcross, GA",0,60,0,0,Norcross city
GA,1311784,Buford,incorporated,25,A,17144,"Buford, GA",0,61,0,0,Buford city
GA,1351492,Milledgeville,incorporated,25,A,17070,"Milledgeville, GA",0,62,0,0,Milledgeville city
GA,1376476,Tifton,incorporated,25,A,17045,"Tifton, GA",0,63,0,0,Tifton city
GA,1379528,Villa Rica,incorporated,25,A,16970,"Villa Rica, GA",0,64,0,0,Villa Rica city
GA,1312456,Calhoun,incorporated,25,A,16949,"Calhoun, GA",0,65,0,0,Calhoun city
GA,1362524,Powder Springs,incorporated,25,A,16887,"Powder Springs, GA",0,66,0,0,Powder Springs city
GA,1365044,Richmond Hill,incorporated,25,A,16633,"Richmond Hill, GA",0,67,0,0,Richmond Hill city
GA,1328380,Fairburn,incorporated,25,A,16483,"Fairburn, GA",0,68,0,0,Fairburn city
GA,1302116,Americus,incorporated,25,A,16230,"Americus, GA",0,69,0,0,Americus city
GA,1339524,Holly Springs,incorporated,25,A,16213,"Holly Springs, GA",0,70,0,0,Holly Springs city
GA,1324376,Dublin,incorporated,25,A,16074,"Dublin, GA",0,71,0,0,Dublin city
GA,1335716,Grovetown,incorporated,25,A,15577,"Grovetown, GA",0,72,0,0,Grovetown city
GA,1311560,Brunswick,incorporated,25,A,15210,"Brunswick, GA",0,73,0,0,Brunswick city
GA,1365464,Riverdale,incorporated,25,A,15129,"Riverdale, GA",0,74,0,0,Riverdale city
GA,1352192,Monroe,incorporated,25,A,14928,"Monroe, GA",0,75,0,0,Monroe city
GA,1316544,Clarkston,incorporated,25,A,14756,"Clarkston, GA",0,76,0,0,Clarkston city
GA,1353060,Moultrie,incorporated,25,A,14638,"Moultrie, GA",0,77,0,0,Moultrie city
GA,1346356,Lilburn,incorporated,25,A,14502,"Lilburn, GA",0,78,0,0,Lilburn city
GA,1304896,Bainbridge,incorporated,25,A,14468,"Bainbridge, GA",0,79,0,0,Bainbridge city
GA,1320064,Covington,incorporated,25,A,14192,"Covington, GA",0,80,0,0,Covington city
GA,1347196,Loganville,incorporated,25,A,14127,"Loganville, GA",0,81,0,0,Loganville city
GA,1321324,Dallas,incorporated,25,A,14042,"Dallas, GA",0,82,0,0,Dallas city
GA,1380956,Waycross,incorporated,25,A,13942,"Waycross, GA",0,83,0,0,Waycross city
GA,1317776,College Park,incorporated,25,A,13930,"College Park, GA",0,84,0,0,College Park city
GA,1310076,Braselton,incorporated,43,A,13403,"Braselton, GA",0,85,0,0,Braselton town
GA,1341988,Jefferson,incorporated,25,A,13233,"Jefferson, GA",0,86,0,0,Jefferson city
GA,1323872,Douglas,incorporated,25,A,11722,"Douglas, GA",0,87,0,0,Douglas city
GA,1365296,Rincon,incorporated,25,A,10934,"Rincon, GA",0,88,0,0,Rincon city
GA,1362328,Port Wentworth,incorporated,25,A,10878,"Port Wentworth, GA",0,89,0,0,Port Wentworth city
GA,1379388,Vidalia,incorporated,25,A,10785,"Vidalia, GA",0,90,0,0,Vidalia city
GA,1323536,Doraville,incorporated,25,A,10623,"Doraville, GA",0,91,0,0,Doraville city
GA,1330956,Fort Oglethorpe,incorporated,25,A,10423,"Fort Oglethorpe, GA",0,92,0,0,Fort Oglethorpe city
GA,1332048,Garden City,incorporated,25,A,10289,"Garden City, GA",0,93,0,0,Garden City city
GA,1319616,Cordele,incorporated,25,A,10220,"Cordele, GA",0,94,0,0,Cordele city
GA,1314500,Cedartown,incorporated,25,A,10190,"Cedartown, GA",0,95,0,0,Cedartown city
GA,1312400,Cairo,incorporated,25,A,10179,"Cairo, GA",0,96,0,0,Cairo city
GA,1347616,Lovejoy,incorporated,25,A,10122,"Lovejoy, GA",0,97,0,0,Lovejoy city
GA,1376168,Thomaston,incorporated,25,A,9816,"Thomaston, GA",0,98,0,0,Thomaston city
GA,1342268,Jesup,incorporated,25,A,9809,"Jesup, GA",0,99,0,0,Jesup city
GA,1321017,Cusseta-Chattahoochee County,incorporated,UG,A,9565,"Cusseta-Chattahoochee County, GA",0,100,0,0,Cusseta-Chattahoochee County unified government
GA,1330340,Flowery Branch,incorporated,25,A,9391,"Flowery Branch, GA",0,101,0,0,Flowery Branch city
GA,1376756,Toccoa,incorporated,25,A,9133,"Toccoa, GA",0,102,0,0,Toccoa city
GA,1329528,Fitzgerald,incorporated,25,A,9006,"Fitzgerald, GA",0,103,0,0,Fitzgerald city
GA,1347140,Locust Grove,incorporated,25,A,8947,"Locust Grove, GA",0,104,0,0,Locust Grove city
GA,1331096,Fort Valley,incorporated,25,A,8780,"Fort Valley, GA",0,105,0,0,Fort Valley city
GA,1336276,Hampton,incorporated,25,A,8368,"Hampton, GA",0,106,0,0,Hampton city
GA,1314920,Centerville,incorporated,25,A,8228,"Centerville, GA",0,107,0,0,Centerville city
GA,1304252,Austell,incorporated,25,A,7713,"Austell, GA",0,108,0,0,Austell city
GA,1378044,Tyrone,incorporated,43,A,7658,"Tyrone, GA",0,109,0,0,Tyrone town
GA,1321240,Dahlonega,incorporated,25,A,7537,"Dahlonega, GA",0,110,0,0,Dahlonega city
GA,1304140,Auburn,incorporated,25,A,7495,"Auburn, GA",0,111,0,0,Auburn city
GA,1374964,Swainsboro,incorporated,25,A,7425,"Swainsboro, GA",0,112,0,0,Swainsboro city
GA,1319112,Commerce,incorporated,25,A,7387,"Commerce, GA",0,113,0,0,Commerce city
GA,1320932,Cumming,incorporated,25,A,7318,"Cumming, GA",0,114,0,0,Cumming city
GA,1310132,Bremen,incorporated,25,A,7185,"Bremen, GA",0,115,0,0,Bremen city
GA,1344312,LaFayette,incorporated,25,A,6888,"LaFayette, GA",0,116,0,0,LaFayette city
GA,1321184,Dacula,incorporated,25,A,6882,"Dacula, GA",0,117,0,0,Dacula city
GA,1376280,Thomson,incorporated,25,A,6814,"Thomson, GA",0,118,0,0,Thomson city
GA,1373816,Stone Mountain,incorporated,25,A,6703,"Stone Mountain, GA",0,119,0,0,Stone Mountain city
GA,1353004,Morrow,incorporated,25,A,6569,"Morrow, GA",0,120,0,0,Morrow city
GA,1336472,Hapeville,incorporated,25,A,6553,"Hapeville, GA",0,121,0,0,Hapeville city
GA,1326084,Eatonton,incorporated,25,A,6307,"Eatonton, GA",0,122,0,0,Eatonton city
GA,1305344,Barnesville,incorporated,25,A,6292,"Barnesville, GA",0,123,0,0,Barnesville city
GA,1349100,McRae-Helena,incorporated,25,A,6253,"McRae-Helena, GA",0,124,0,0,McRae-Helena city
