stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
HI,1571550,Urban Honolulu,cdp,CDP,,350964,"Urban Honolulu, HI",0,1,35,0.35,Urban Honolulu CDP
HI,1506290,East Honolulu,cdp,CDP,,50922,"East Honolulu, HI",0,2,16,0.16,East Honolulu CDP
HI,1562600,Pearl City,cdp,CDP,,45295,"Pearl City, HI",0,3,7,0.07,Pearl City CDP
HI,1514650,Hilo,cdp,CDP,,44186,"Hilo, HI",0,4,4,0.04,Hilo CDP
HI,1579700,Waipahu,cdp,CDP,,43485,"Waipahu, HI",0,5,3,0.03,Waipahu CDP
HI,1523150,Kailua CDP (Honolulu County),cdp,CDP,,40514,"Kailua CDP (Honolulu County), HI",0,6,5,0.05,Kailua CDP (Honolulu County)
HI,1528250,Kaneohe,cdp,CDP,,37430,"Kaneohe, HI",0,7,2,0.02,Kaneohe CDP
HI,1522700,Kahului,cdp,CDP,,28219,"Kahului, HI",0,8,3,0.03,Kahului CDP
HI,1551050,Mililani Town,cdp,CDP,,28121,"Mililani Town, HI",0,9,3,0.03,Mililani Town CDP
HI,1507470,Ewa Gentry,cdp,CDP,,25707,"Ewa Gentry, HI",0,10,1,0.01,Ewa Gentry CDP
HI,1536500,Kihei,cdp,CDP,,21423,"Kihei, HI",0,11,1,0.01,Kihei CDP
HI,1530300,Kapolei,cdp,CDP,,21411,"Kapolei, HI",0,12,1,0.01,Kapolei CDP
HI,1551000,Mililani Mauka,cdp,CDP,,21075,"Mililani Mauka, HI",0,13,2,0.02,Mililani Mauka CDP
HI,1547600,Makakilo,cdp,CDP,,19877,"Makakilo, HI",0,14,2,0.02,Makakilo CDP
HI,1523000,Kailua CDP (Hawaii County),cdp,CDP,,19713,"Kailua CDP (Hawaii County), HI",0,15,2,0.02,Kailua CDP (Hawaii County)
HI,1572650,Wahiawa,cdp,CDP,,18658,"Wahiawa, HI",0,16,2,0.02,Wahiawa CDP
HI,1577450,Wailuku,cdp,CDP,,17697,"Wailuku, HI",0,17,2,0.02,Wailuku CDP
HI,1507450,Ewa Beach,cdp,CDP,,16415,"Ewa Beach, HI",0,18,2,0.02,Ewa Beach CDP
HI,1510000,Halawa,cdp,CDP,,15016,"Halawa, HI",0,19,2,0.02,Halawa CDP
HI,1556685,Ocean Pointe,cdp,CDP,,14965,"Ocean Pointe, HI",0,20,2,0.02,Ocean Pointe CDP
HI,1512600,Hawaiian Paradise Park,cdp,CDP,,14957,"Hawaiian Paradise Park, HI",0,21,2,0.02,Hawaiian Paradise Park CDP
HI,1569050,Schofield Barracks,cdp,CDP,,14904,"Schofield Barracks, HI",0,22,1,0.01,Schofield Barracks CDP
HI,1568815,Royal Kunia,cdp,CDP,,14896,"Royal Kunia, HI",0,23,0,0,Royal Kunia CDP
HI,1577750,Waimalu,cdp,CDP,,13817,"Waimalu, HI",0,24,0,0,Waimalu CDP
HI,1574450,Waianae,cdp,CDP,,13614,"Waianae, HI",0,25,0,0,Waianae CDP
HI,1542950,Lahaina,cdp,CDP,,12702,"Lahaina, HI",0,26,0,0,Lahaina CDP
HI,1523675,Kaiminani,cdp,CDP,,12590,"Kaiminani, HI",0,27,0,0,Kaiminani CDP
HI,1553900,Nanakuli,cdp,CDP,,12195,"Nanakuli, HI",0,28,0,0,Nanakuli CDP
HI,1579860,Waipio,cdp,CDP,,12082,"Waipio, HI",0,29,0,0,Waipio CDP
HI,1528850,Kapaa,cdp,CDP,,11652,"Kapaa, HI",0,30,0,0,Kapaa CDP
HI,1547300,Maili,cdp,CDP,,11535,"Maili, HI",0,31,0,0,Maili CDP
HI,1500550,Aiea,cdp,CDP,,10408,"Aiea, HI",0,32,0,0,Aiea CDP
HI,1547450,Makaha,cdp,CDP,,9916,"Makaha, HI",0,33,0,0,Makaha CDP
HI,1578500,Waimea CDP (Hawaii County),cdp,CDP,,9904,"Waimea CDP (Hawaii County), HI",0,34,0,0,Waimea CDP (Hawaii County)
HI,1528287,Kaneohe Base,cdp,CDP,,9483,"Kaneohe Base, HI",0,35,0,0,Kaneohe Base CDP
HI,1575510,Waihee-Waiehu,cdp,CDP,,9234,"Waihee-Waiehu, HI",0,36,0,0,Waihee-Waiehu CDP
HI,1500400,Ahuimanu,cdp,CDP,,8969,"Ahuimanu, HI",0,37,0,0,Ahuimanu CDP
HI,1509260,Haiku-Pauwela,cdp,CDP,,8595,"Haiku-Pauwela, HI",0,38,0,0,Haiku-Pauwela CDP
HI,1565900,Pukalani,cdp,CDP,,8299,"Pukalani, HI",0,39,0,0,Pukalani CDP
HI,1545200,Lihue,cdp,CDP,,8004,"Lihue, HI",0,40,0,0,Lihue CDP
HI,1507485,Ewa Villages,cdp,CDP,,7825,"Ewa Villages, HI",0,41,0,0,Ewa Villages CDP
HI,1514200,Hickam Housing,cdp,CDP,,7581,"Hickam Housing, HI",0,42,0,0,Hickam Housing CDP
HI,1576250,Waikele,cdp,CDP,,7509,"Waikele, HI",0,43,0,0,Waikele CDP
HI,1548050,Makawao,cdp,CDP,,7297,"Makawao, HI",0,44,0,0,Makawao CDP
HI,1576600,Waikoloa Village,cdp,CDP,,7104,"Waikoloa Village, HI",0,45,0,0,Waikoloa Village CDP
HI,1554100,Napili-Honokowai,cdp,CDP,,7042,"Napili-Honokowai, HI",0,46,0,0,Napili-Honokowai CDP
HI,1541600,Kula,cdp,CDP,,6942,"Kula, HI",0,47,0,0,Kula CDP
HI,1578050,Waimanalo,cdp,CDP,,6057,"Waimanalo, HI",0,48,0,0,Waimanalo CDP
HI,1576925,Wailea,cdp,CDP,,6027,"Wailea, HI",0,49,0,0,Wailea CDP
HI,1543250,Laie,cdp,CDP,,5963,"Laie, HI",0,50,0,0,Laie CDP
HI,1577225,Wailua Homesteads,cdp,CDP,,5863,"Wailua Homesteads, HI",0,51,0,0,Wailua Homesteads CDP
HI,1580000,Waipio Acres,cdp,CDP,,5531,"Waipio Acres, HI",0,52,0,0,Waipio Acres CDP
HI,1580470,West Loch Estate,cdp,CDP,,5523,"West Loch Estate, HI",0,53,0,0,West Loch Estate CDP
HI,1506300,East Kapolei,cdp,CDP,,5299,"East Kapolei, HI",0,54,0,0,East Kapolei CDP
HI,1521200,Kahaluu,cdp,CDP,,5241,"Kahaluu, HI",0,55,0,0,Kahaluu CDP
HI,1566800,Pupukea,cdp,CDP,,5130,"Pupukea, HI",0,56,0,0,Pupukea CDP
HI,1513900,Heeia,cdp,CDP,,5001,"Heeia, HI",0,57,0,0,Heeia CDP
HI,1524950,Kalaheo,cdp,CDP,,4996,"Kalaheo, HI",0,58,0,0,Kalaheo CDP
HI,1511650,Hanamaulu,cdp,CDP,,4994,"Hanamaulu, HI",0,59,0,0,Hanamaulu CDP
HI,1510750,Haleiwa,cdp,CDP,,4941,"Haleiwa, HI",0,60,0,0,Haleiwa CDP
HI,1580900,Whitmore Village,cdp,CDP,,4887,"Whitmore Village, HI",0,61,0,0,Whitmore Village CDP
HI,1512530,Hawaiian Ocean View,cdp,CDP,,4864,"Hawaiian Ocean View, HI",0,62,0,0,Hawaiian Ocean View CDP
HI,1578200,Waimanalo Beach,cdp,CDP,,4823,"Waimanalo Beach, HI",0,63,0,0,Waimanalo Beach CDP
