stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
IA,1921000,Des Moines,incorporated,25,A,214133,"Des Moines, IA",0,1,86,0.344,Des Moines city
IA,1912000,Cedar Rapids,incorporated,25,A,137710,"Cedar Rapids, IA",0,2,25,0.1,Cedar Rapids city
IA,1919000,Davenport,incorporated,25,A,101724,"Davenport, IA",0,3,14,0.056,Davenport city
IA,1973335,Sioux City,incorporated,25,A,85797,"Sioux City, IA",0,4,11,0.044,Sioux City city
IA,1938595,Iowa City,incorporated,25,A,74828,"Iowa City, IA",0,5,9,0.036,Iowa City city
IA,1983910,West Des Moines,incorporated,25,A,68723,"West Des Moines, IA",0,6,9,0.036,West Des Moines city
IA,1902305,Ankeny,incorporated,25,A,67887,"Ankeny, IA",0,7,6,0.024,Ankeny city
IA,1982425,Waterloo,incorporated,25,A,67314,"Waterloo, IA",0,8,4,0.016,Waterloo city
IA,1901855,Ames,incorporated,25,A,66427,"Ames, IA",0,9,5,0.02,Ames city
IA,1916860,Council Bluffs,incorporated,25,A,62799,"Council Bluffs, IA",0,10,3,0.012,Council Bluffs city
IA,1922395,Dubuque,incorporated,25,A,59667,"Dubuque, IA",0,11,4,0.016,Dubuque city
IA,1979950,Urbandale,incorporated,25,A,45580,"Urbandale, IA",0,12,4,0.016,Urbandale city
IA,1949485,Marion,incorporated,25,A,41535,"Marion, IA",0,13,2,0.008,Marion city
IA,1911755,Cedar Falls,incorporated,25,A,40713,"Cedar Falls, IA",0,14,2,0.008,Cedar Falls city
IA,1906355,Bettendorf,incorporated,25,A,39102,"Bettendorf, IA",0,15,3,0.012,Bettendorf city
IA,1949755,Marshalltown,incorporated,25,A,27591,"Marshalltown, IA",0,16,3,0.012,Marshalltown city
IA,1950160,Mason City,incorporated,25,A,27338,"Mason City, IA",0,17,3,0.012,Mason City city
IA,1960465,Ottumwa,incorporated,25,A,25529,"Ottumwa, IA",0,18,3,0.012,Ottumwa city
IA,1928515,Fort Dodge,incorporated,25,A,24871,"Fort Dodge, IA",0,19,2,0.008,Fort Dodge city
