stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
ID,1608830,Boise City,incorporated,25,A,235684,"Boise City, ID",0,1,93,0.372,Boise City city
ID,1652120,Meridian,incorporated,25,A,117635,"Meridian, ID",0,2,26,0.104,Meridian city
ID,1656260,Nampa,incorporated,25,A,100200,"Nampa, ID",0,3,17,0.068,Nampa city
ID,1639700,Idaho Falls,incorporated,25,A,64818,"Idaho Falls, ID",0,4,12,0.048,Idaho Falls city
ID,1612250,Caldwell,incorporated,25,A,59996,"Caldwell, ID",0,5,8,0.032,Caldwell city
ID,1664090,Pocatello,incorporated,25,A,56320,"Pocatello, ID",0,6,8,0.032,Pocatello city
ID,1616750,Coeur d'Alene,incorporated,25,A,54628,"Coeur d'Alene, ID",0,7,5,0.02,Coeur d'Alene city
ID,1682810,Twin Falls,incorporated,25,A,51807,"Twin Falls, ID",0,8,6,0.024,Twin Falls city
ID,1667420,Rexburg,incorporated,25,A,39409,"Rexburg, ID",0,9,5,0.02,Rexburg city
ID,1664810,Post Falls,incorporated,25,A,38485,"Post Falls, ID",0,10,3,0.012,Post Falls city
ID,1646540,Lewiston,incorporated,25,A,34203,"Lewiston, ID",0,11,3,0.012,Lewiston city
ID,1623410,Eagle,incorporated,25,A,30346,"Eagle, ID",0,12,4,0.016,Eagle city
ID,1654550,Moscow,incorporated,25,A,25435,"Moscow, ID",0,13,3,0.012,Moscow city
ID,1644290,Kuna,incorporated,25,A,24011,"Kuna, ID",0,14,2,0.008,Kuna city
ID,1601990,Ammon,incorporated,25,A,17694,"Ammon, ID",0,15,2,0.008,Ammon city
ID,1654730,Mountain Home,incorporated,25,A,15979,"Mountain Home, ID",0,16,3,0.012,Mountain Home city
ID,1614680,Chubbuck,incorporated,25,A,15570,"Chubbuck, ID",0,17,3,0.012,Chubbuck city
ID,1636370,Hayden,incorporated,25,A,15570,"Hayden, ID",0,18,3,0.012,Hayden city
ID,1641320,Jerome,incorporated,25,A,12349,"Jerome, ID",0,19,2,0.008,Jerome city
ID,1607840,Blackfoot,incorporated,25,A,12346,"Blackfoot, ID",0,20,1,0.004,Blackfoot city
