stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
IL,1714000,Chicago,incorporated,25,A,2746388,"Chicago, IL",0,1,64,0.256,Chicago city
IL,1703012,Aurora,incorporated,25,A,180542,"Aurora, IL",0,2,27,0.108,Aurora city
IL,1738570,Joliet,incorporated,25,A,150362,"Joliet, IL",0,3,17,0.068,Joliet city
IL,1751622,Naperville,incorporated,25,A,149540,"Naperville, IL",0,4,11,0.044,Naperville city
IL,1765000,Rockford,incorporated,25,A,148655,"Rockford, IL",0,5,9,0.036,Rockford city
IL,1723074,Elgin,incorporated,25,A,114797,"Elgin, IL",0,6,8,0.032,Elgin city
IL,1772000,Springfield,incorporated,25,A,114394,"Springfield, IL",0,7,8,0.032,Springfield city
IL,1759000,Peoria,incorporated,25,A,113150,"Peoria, IL",0,8,6,0.024,Peoria city
IL,1779293,Waukegan,incorporated,25,A,89321,"Waukegan, IL",0,9,4,0.016,Waukegan city
IL,1712385,Champaign,incorporated,25,A,88302,"Champaign, IL",0,10,5,0.02,Champaign city
IL,1714351,Cicero,incorporated,43,A,85268,"Cicero, IL",0,11,3,0.012,Cicero town
IL,1768003,Schaumburg,incorporated,47,A,78723,"Schaumburg, IL",0,12,4,0.016,Schaumburg village
IL,1706613,Bloomington,incorporated,25,A,78680,"Bloomington, IL",0,13,4,0.016,Bloomington city
IL,1724582,Evanston,incorporated,25,A,78110,"Evanston, IL",0,14,2,0.008,Evanston city
IL,1702154,Arlington Heights,incorporated,47,A,77676,"Arlington Heights, IL",0,15,2,0.008,Arlington Heights village
IL,1707133,Bolingbrook,incorporated,47,A,73922,"Bolingbrook, IL",0,16,3,0.012,Bolingbrook village
IL,1718823,Decatur,incorporated,25,A,70522,"Decatur, IL",0,17,3,0.012,Decatur city
IL,1757225,Palatine,incorporated,47,A,67908,"Palatine, IL",0,18,3,0.012,Palatine village
IL,1770122,Skokie,incorporated,47,A,67824,"Skokie, IL",0,19,3,0.012,Skokie village
IL,1719642,Des Plaines,incorporated,25,A,60675,"Des Plaines, IL",0,20,2,0.008,Des Plaines city
IL,1756640,Orland Park,incorporated,47,A,58703,"Orland Park, IL",0,21,2,0.008,Orland Park village
IL,1754820,Oak Lawn,incorporated,47,A,58362,"Oak Lawn, IL",0,22,1,0.004,Oak Lawn village
IL,1705573,Berwyn,incorporated,25,A,57250,"Berwyn, IL",0,23,1,0.004,Berwyn city
IL,1751089,Mount Prospect,incorporated,47,A,56852,"Mount Prospect, IL",0,24,1,0.004,Mount Prospect village
IL,1775484,Tinley Park,incorporated,47,A,55971,"Tinley Park, IL",0,25,1,0.004,Tinley Park village
IL,1754885,Oak Park,incorporated,47,A,54583,"Oak Park, IL",0,26,1,0.004,Oak Park village
IL,1781048,Wheaton,incorporated,25,A,53970,"Wheaton, IL",0,27,1,0.004,Wheaton city
IL,1753234,Normal,incorporated,43,A,52736,"Normal, IL",0,28,2,0.008,Normal town
IL,1735411,Hoffman Estates,incorporated,47,A,52530,"Hoffman Estates, IL",0,29,2,0.008,Hoffman Estates village
IL,1720591,Downers Grove,incorporated,47,A,50247,"Downers Grove, IL",0,30,2,0.008,Downers Grove village
IL,1729938,Glenview,incorporated,47,A,48705,"Glenview, IL",0,31,2,0.008,Glenview village
IL,1723620,Elmhurst,incorporated,25,A,45786,"Elmhurst, IL",0,32,2,0.008,Elmhurst city
