stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
IN,1836003,Indianapolis city (balance),incorporated,00,F,887642,"Indianapolis city (balance), IN",0,1,35,0.35,Indianapolis city (balance)
IN,1825000,Fort Wayne,incorporated,25,A,263886,"Fort Wayne, IN",0,2,11,0.11,Fort Wayne city
IN,1822000,Evansville,incorporated,25,A,117298,"Evansville, IN",0,3,7,0.07,Evansville city
IN,1871000,South Bend,incorporated,25,A,103453,"South Bend, IN",0,4,4,0.04,South Bend city
IN,1810342,Carmel,incorporated,25,A,99757,"Carmel, IN",0,5,3,0.03,Carmel city
IN,1823278,Fishers,incorporated,25,A,98977,"Fishers, IN",0,6,3,0.03,Fishers city
IN,1805860,Bloomington,incorporated,25,A,79168,"Bloomington, IN",0,7,2,0.02,Bloomington city
IN,1831000,Hammond,incorporated,25,A,77879,"Hammond, IN",0,8,3,0.03,Hammond city
IN,1840788,Lafayette,incorporated,25,A,70783,"Lafayette, IN",0,9,3,0.03,Lafayette city
IN,1854180,Noblesville,incorporated,25,A,69604,"Noblesville, IN",0,10,1,0.01,Noblesville city
IN,1827000,Gary,incorporated,25,A,69093,"Gary, IN",0,11,1,0.01,Gary city
IN,1851876,Muncie,incorporated,25,A,65194,"Muncie, IN",0,12,1,0.01,Muncie city
IN,1829898,Greenwood,incorporated,25,A,63830,"Greenwood, IN",0,13,2,0.02,Greenwood city
IN,1840392,Kokomo,incorporated,25,A,59604,"Kokomo, IN",0,14,2,0.02,Kokomo city
IN,1875428,Terre Haute,incorporated,25,A,58389,"Terre Haute, IN",0,15,2,0.02,Terre Haute city
IN,1801468,Anderson,incorporated,25,A,54788,"Anderson, IN",0,16,2,0.02,Anderson city
IN,1820728,Elkhart,incorporated,25,A,53923,"Elkhart, IN",0,17,2,0.02,Elkhart city
IN,1849932,Mishawaka,incorporated,25,A,51063,"Mishawaka, IN",0,18,2,0.02,Mishawaka city
IN,1814734,Columbus,incorporated,25,A,50474,"Columbus, IN",0,19,2,0.02,Columbus city
IN,1838358,Jeffersonville,incorporated,25,A,49447,"Jeffersonville, IN",0,20,2,0.02,Jeffersonville city
IN,1842426,Lawrence,incorporated,25,A,49370,"Lawrence, IN",0,21,2,0.02,Lawrence city
IN,1882700,Westfield,incorporated,25,A,46410,"Westfield, IN",0,22,1,0.01,Westfield city
IN,1882862,West Lafayette,incorporated,25,A,44595,"West Lafayette, IN",0,23,1,0.01,West Lafayette city
IN,1861092,Portage,incorporated,25,A,37926,"Portage, IN",0,24,1,0.01,Portage city
IN,1852326,New Albany,incorporated,25,A,37841,"New Albany, IN",0,25,1,0.01,New Albany city
