stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
KS,2079000,Wichita,incorporated,25,A,397532,"Wichita, KS",0,1,27,0.27,Wichita city
KS,2053775,Overland Park,incorporated,25,A,197238,"Overland Park, KS",0,2,12,0.12,Overland Park city
KS,2036000,Kansas City,incorporated,25,A,156607,"Kansas City, KS",0,3,8,0.08,Kansas City city
KS,2052575,Olathe,incorporated,25,A,141290,"Olathe, KS",0,4,6,0.06,Olathe city
KS,2071000,Topeka,incorporated,25,A,126587,"Topeka, KS",0,5,5,0.05,Topeka city
KS,2038900,Lawrence,incorporated,25,A,94934,"Lawrence, KS",0,6,4,0.04,Lawrence city
KS,2064500,Shawnee,incorporated,25,A,67311,"Shawnee, KS",0,7,2,0.02,Shawnee city
KS,2039350,Lenexa,incorporated,25,A,57434,"Lenexa, KS",0,8,3,0.03,Lenexa city
KS,2044250,Manhattan,incorporated,25,A,54100,"Manhattan, KS",0,9,3,0.03,Manhattan city
KS,2062700,Salina,incorporated,25,A,46889,"Salina, KS",0,10,2,0.02,Salina city
KS,2033625,Hutchinson,incorporated,25,A,40006,"Hutchinson, KS",0,11,1,0.01,Hutchinson city
KS,2039000,Leavenworth,incorporated,25,A,37351,"Leavenworth, KS",0,12,1,0.01,Leavenworth city
KS,2039075,Leawood,incorporated,25,A,33902,"Leawood, KS",0,13,1,0.01,Leawood city
KS,2025325,Garden City,incorporated,25,A,28151,"Garden City, KS",0,14,2,0.02,Garden City city
KS,2018250,Dodge City,incorporated,25,A,27788,"Dodge City, KS",0,15,2,0.02,Dodge City city
KS,2017800,Derby,incorporated,25,A,25625,"Derby, KS",0,16,2,0.02,Derby city
KS,2021275,Emporia,incorporated,25,A,24139,"Emporia, KS",0,17,2,0.02,Emporia city
KS,2025425,Gardner,incorporated,25,A,23287,"Gardner, KS",0,18,2,0.02,Gardner city
KS,2057575,Prairie Village,incorporated,25,A,22957,"Prairie Village, KS",0,19,2,0.02,Prairie Village city
KS,2035750,Junction City,incorporated,25,A,22932,"Junction City, KS",0,20,2,0.02,Junction City city
KS,2031100,Hays,incorporated,25,A,21116,"Hays, KS",0,21,2,0.02,Hays city
KS,2056025,Pittsburg,incorporated,25,A,20646,"Pittsburg, KS",0,22,2,0.02,Pittsburg city
KS,2039825,Liberal,incorporated,25,A,19825,"Liberal, KS",0,23,2,0.02,Liberal city
KS,2050475,Newton,incorporated,25,A,18602,"Newton, KS",0,24,1,0.01,Newton city
KS,2001800,Andover,incorporated,25,A,14892,"Andover, KS",0,25,1,0.01,Andover city
KS,2028300,Great Bend,incorporated,25,A,14733,"Great Bend, KS",0,26,1,0.01,Great Bend city
KS,2043950,McPherson,incorporated,25,A,14082,"McPherson, KS",0,27,1,0.01,McPherson city
KS,2020075,El Dorado,incorporated,25,A,12870,"El Dorado, KS",0,28,1,0.01,El Dorado city
KS,2053550,Ottawa,incorporated,25,A,12625,"Ottawa, KS",0,29,0,0,Ottawa city
KS,2002300,Arkansas City,incorporated,25,A,11974,"Arkansas City, KS",0,30,0,0,Arkansas City city
KS,2079950,Winfield,incorporated,25,A,11777,"Winfield, KS",0,31,0,0,Winfield city
KS,2031125,Haysville,incorporated,25,A,11262,"Haysville, KS",0,32,0,0,Haysville city
KS,2038650,Lansing,incorporated,25,A,11239,"Lansing, KS",0,33,0,0,Lansing city
KS,2046000,Merriam,incorporated,25,A,11098,"Merriam, KS",0,34,0,0,Merriam city
KS,2002900,Atchison,incorporated,25,A,10885,"Atchison, KS",0,35,0,0,Atchison city
KS,2047225,Mission,incorporated,25,A,9954,"Mission, KS",0,36,0,0,Mission city
KS,2054675,Parsons,incorporated,25,A,9600,"Parsons, KS",0,37,0,0,Parsons city
KS,2003300,Augusta,incorporated,25,A,9256,"Augusta, KS",0,38,0,0,Augusta city
KS,2014600,Coffeyville,incorporated,25,A,8826,"Coffeyville, KS",0,39,0,0,Coffeyville city
KS,2012500,Chanute,incorporated,25,A,8722,"Chanute, KS",0,40,0,0,Chanute city
KS,2033875,Independence,incorporated,25,A,8548,"Independence, KS",0,41,0,0,Independence city
KS,2054450,Park City,incorporated,25,A,8333,"Park City, KS",0,42,0,0,Park City city
KS,2005337,Bel Aire,incorporated,25,A,8262,"Bel Aire, KS",0,43,0,0,Bel Aire city
KS,2067625,Spring Hill,incorporated,25,A,7952,"Spring Hill, KS",0,44,0,0,Spring Hill city
KS,2007975,Bonner Springs,incorporated,25,A,7837,"Bonner Springs, KS",0,45,0,0,Bonner Springs city
KS,2076475,Wellington,incorporated,25,A,7715,"Wellington, KS",0,46,0,0,Wellington city
KS,2024000,Fort Scott,incorporated,25,A,7552,"Fort Scott, KS",0,47,0,0,Fort Scott city
KS,2073250,Valley Center,incorporated,25,A,7340,"Valley Center, KS",0,48,0,0,Valley Center city
KS,2004400,Basehor,incorporated,25,A,6896,"Basehor, KS",0,49,0,0,Basehor city
KS,2060825,Roeland Park,incorporated,25,A,6871,"Roeland Park, KS",0,50,0,0,Roeland Park city
KS,2057625,Pratt,incorporated,25,A,6603,"Pratt, KS",0,51,0,0,Pratt city
KS,2000125,Abilene,incorporated,25,A,6460,"Abilene, KS",0,52,0,0,Abilene city
KS,2021675,Eudora,incorporated,25,A,6408,"Eudora, KS",0,53,0,0,Eudora city
KS,2049100,Mulvane,incorporated,25,A,6286,"Mulvane, KS",0,54,0,0,Mulvane city
KS,2017850,De Soto,incorporated,25,A,6118,"De Soto, KS",0,55,0,0,De Soto city
KS,2071975,Ulysses,incorporated,25,A,5788,"Ulysses, KS",0,56,0,0,Ulysses city
KS,2054250,Paola,incorporated,25,A,5768,"Paola, KS",0,57,0,0,Paola city
KS,2044200,Maize,incorporated,25,A,5735,"Maize, KS",0,58,0,0,Maize city
KS,2070800,Tonganoxie,incorporated,25,A,5573,"Tonganoxie, KS",0,59,0,0,Tonganoxie city
KS,2014650,Colby,incorporated,25,A,5570,"Colby, KS",0,60,0,0,Colby city
KS,2034300,Iola,incorporated,25,A,5396,"Iola, KS",0,61,0,0,Iola city
KS,2015200,Concordia,incorporated,25,A,5111,"Concordia, KS",0,62,0,0,Concordia city
KS,2026725,Goddard,incorporated,25,A,5084,"Goddard, KS",0,63,0,0,Goddard city
KS,2042875,Louisburg,incorporated,25,A,4969,"Louisburg, KS",0,64,0,0,Louisburg city
KS,2075325,Wamego,incorporated,25,A,4841,"Wamego, KS",0,65,0,0,Wamego city
KS,2003900,Baldwin City,incorporated,25,A,4826,"Baldwin City, KS",0,66,0,0,Baldwin City city
KS,2020000,Edwardsville,incorporated,25,A,4717,"Edwardsville, KS",0,67,0,0,Edwardsville city
KS,2026875,Goodland,incorporated,25,A,4465,"Goodland, KS",0,68,0,0,Goodland city
KS,2061825,Russell,incorporated,25,A,4401,"Russell, KS",0,69,0,0,Russell city
KS,2053225,Osawatomie,incorporated,25,A,4255,"Osawatomie, KS",0,70,0,0,Osawatomie city
KS,2013625,Clay Center,incorporated,25,A,4199,"Clay Center, KS",0,71,0,0,Clay Center city
KS,2061250,Rose Hill,incorporated,25,A,4185,"Rose Hill, KS",0,72,0,0,Rose Hill city
KS,2022700,Fairway,incorporated,25,A,4170,"Fairway, KS",0,73,0,0,Fairway city
KS,2063600,Scott City,incorporated,25,A,4113,"Scott City, KS",0,74,0,0,Scott City city
KS,2004625,Baxter Springs,incorporated,25,A,3888,"Baxter Springs, KS",0,75,0,0,Baxter Springs city
KS,2041375,Lindsborg,incorporated,25,A,3776,"Lindsborg, KS",0,76,0,0,Lindsborg city
KS,2038700,Larned,incorporated,25,A,3769,"Larned, KS",0,77,0,0,Larned city
