stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
KY,2148006,Louisville/Jefferson County metro government (balance),incorporated,00,F,386884,"Louisville/Jefferson County metro government (balance), KY",0,1,28,0.28,Louisville/Jefferson County metro government (balance)
KY,2146027,Lexington-Fayette,incorporated,UC,A,322570,"Lexington-Fayette, KY",0,2,11,0.11,Lexington-Fayette urban county
KY,2148000,Louisville,incorporated,25,N,246161,"Louisville, KY",0,3,8,0.08,Louisville city
KY,2108902,Bowling Green,incorporated,25,A,72294,"Bowling Green, KY",0,4,6,0.06,Bowling Green city
KY,2158620,Owensboro,incorporated,25,A,60183,"Owensboro, KY",0,5,5,0.05,Owensboro city
KY,2117848,Covington,incorporated,25,A,40961,"Covington, KY",0,6,4,0.04,Covington city
KY,2130700,Georgetown,incorporated,25,A,37086,"Georgetown, KY",0,7,2,0.02,Georgetown city
KY,2165226,Richmond,incorporated,25,A,34585,"Richmond, KY",0,8,3,0.03,Richmond city
KY,2127982,Florence,incorporated,25,A,31946,"Florence, KY",0,9,3,0.03,Florence city
KY,2124274,Elizabethtown,incorporated,25,A,31394,"Elizabethtown, KY",0,10,3,0.03,Elizabethtown city
KY,2137918,Hopkinsville,incorporated,25,A,31180,"Hopkinsville, KY",0,11,1,0.01,Hopkinsville city
KY,2156136,Nicholasville,incorporated,25,A,31093,"Nicholasville, KY",0,12,1,0.01,Nicholasville city
KY,2139142,Independence,incorporated,25,A,28676,"Independence, KY",0,13,1,0.01,Independence city
KY,2128900,Frankfort,incorporated,25,A,28602,"Frankfort, KY",0,14,2,0.02,Frankfort city
KY,2140222,Jeffersontown,incorporated,25,A,28474,"Jeffersontown, KY",0,15,2,0.02,Jeffersontown city
KY,2135866,Henderson,incorporated,25,A,27981,"Henderson, KY",0,16,2,0.02,Henderson city
KY,2158836,Paducah,incorporated,25,A,27137,"Paducah, KY",0,17,2,0.02,Paducah city
KY,2163912,Radcliff,incorporated,25,A,23042,"Radcliff, KY",0,18,2,0.02,Radcliff city
KY,2102368,Ashland,incorporated,25,A,21625,"Ashland, KY",0,19,2,0.02,Ashland city
KY,2125300,Erlanger,incorporated,25,A,19611,"Erlanger, KY",0,20,2,0.02,Erlanger city
KY,2149368,Madisonville,incorporated,25,A,19542,"Madisonville, KY",0,21,2,0.02,Madisonville city
KY,2183676,Winchester,incorporated,25,A,19134,"Winchester, KY",0,22,2,0.02,Winchester city
KY,2154228,Mount Washington,incorporated,25,A,18090,"Mount Washington, KY",0,23,2,0.02,Mount Washington city
KY,2167944,St. Matthews,incorporated,25,A,17534,"St. Matthews, KY",0,24,2,0.02,St. Matthews city
KY,2128594,Fort Thomas,incorporated,25,A,17438,"Fort Thomas, KY",0,25,1,0.01,Fort Thomas city
KY,2154642,Murray,incorporated,25,A,17307,"Murray, KY",0,26,1,0.01,Murray city
KY,2170050,Shelbyville,incorporated,25,A,17282,"Shelbyville, KY",0,27,0,0,Shelbyville city
KY,2119882,Danville,incorporated,25,A,17234,"Danville, KY",0,28,0,0,Danville city
KY,2170284,Shively,incorporated,25,A,15636,"Shively, KY",0,29,0,0,Shively city
KY,2105842,Berea,incorporated,25,A,15539,"Berea, KY",0,30,0,0,Berea city
KY,2131114,Glasgow,incorporated,25,A,15014,"Glasgow, KY",0,31,0,0,Glasgow city
KY,2170086,Shepherdsville,incorporated,25,A,14201,"Shepherdsville, KY",0,32,0,0,Shepherdsville city
KY,2155884,Newport,incorporated,25,A,14150,"Newport, KY",0,33,0,0,Newport city
KY,2103628,Bardstown,incorporated,25,A,13567,"Bardstown, KY",0,34,0,0,Bardstown city
KY,2171688,Somerset,incorporated,25,A,11924,"Somerset, KY",0,35,0,0,Somerset city
KY,2144146,Lawrenceburg,incorporated,25,A,11728,"Lawrenceburg, KY",0,36,0,0,Lawrenceburg city
KY,2112160,Campbellsville,incorporated,25,A,11426,"Campbellsville, KY",0,37,0,0,Campbellsville city
KY,2148558,Lyndon,incorporated,25,A,11008,"Lyndon, KY",0,38,0,0,Lyndon city
KY,2179482,Versailles,incorporated,25,A,10347,"Versailles, KY",0,39,0,0,Versailles city
KY,2100802,Alexandria,incorporated,25,A,10341,"Alexandria, KY",0,40,0,0,Alexandria city
KY,2128918,Franklin,incorporated,25,A,10176,"Franklin, KY",0,41,0,0,Franklin city
KY,2159196,Paris,incorporated,25,A,10171,"Paris, KY",0,42,0,0,Paris city
KY,2143480,La Grange,incorporated,25,A,10067,"La Grange, KY",0,43,0,0,La Grange city
KY,2150898,Mayfield,incorporated,25,A,10017,"Mayfield, KY",0,44,0,0,Mayfield city
KY,2151978,Middletown,incorporated,25,A,9706,"Middletown, KY",0,45,0,0,Middletown city
KY,2151924,Middlesborough,incorporated,25,A,9405,"Middlesborough, KY",0,46,0,0,Middlesborough city
KY,2124778,Elsmere,incorporated,25,A,9159,"Elsmere, KY",0,47,0,0,Elsmere city
KY,2134966,Harrodsburg,incorporated,25,A,9064,"Harrodsburg, KY",0,48,0,0,Harrodsburg city
KY,2151024,Maysville,incorporated,25,A,8873,"Maysville, KY",0,49,0,0,Maysville city
KY,2128558,Fort Mitchell,incorporated,25,A,8702,"Fort Mitchell, KY",0,50,0,0,Fort Mitchell city
KY,2136982,Hillview,incorporated,25,A,8622,"Hillview, KY",0,51,0,0,Hillview city
KY,2123932,Edgewood,incorporated,25,A,8435,"Edgewood, KY",0,52,0,0,Edgewood city
KY,2157090,Oak Grove,incorporated,25,A,7931,"Oak Grove, KY",0,53,0,0,Oak Grove city
KY,2117362,Corbin,incorporated,25,A,7856,"Corbin, KY",0,54,0,0,Corbin city
KY,2160852,Pikeville,incorporated,25,A,7754,"Pikeville, KY",0,55,0,0,Pikeville city
KY,2147476,London,incorporated,25,A,7572,"London, KY",0,56,0,0,London city
KY,2154084,Mount Sterling,incorporated,25,A,7558,"Mount Sterling, KY",0,57,0,0,Mount Sterling city
KY,2178384,Union,incorporated,25,A,7416,"Union, KY",0,58,0,0,Union city
KY,2127802,Flatwoods,incorporated,25,A,7325,"Flatwoods, KY",0,59,0,0,Flatwoods city
KY,2179698,Villa Hills,incorporated,25,A,7310,"Villa Hills, KY",0,60,0,0,Villa Hills city
KY,2167512,Russellville,incorporated,25,A,7164,"Russellville, KY",0,61,0,0,Russellville city
KY,2153418,Morehead,incorporated,25,A,7151,"Morehead, KY",0,62,0,0,Morehead city
KY,2175738,Taylor Mill,incorporated,25,A,6873,"Taylor Mill, KY",0,63,0,0,Taylor Mill city
KY,2136604,Highland Heights,incorporated,25,A,6662,"Highland Heights, KY",0,64,0,0,Highland Heights city
KY,2179734,Vine Grove,incorporated,25,A,6559,"Vine Grove, KY",0,65,0,0,Vine Grove city
KY,2144686,Leitchfield,incorporated,25,A,6404,"Leitchfield, KY",0,66,0,0,Leitchfield city
KY,2119432,Cynthiana,incorporated,25,A,6333,"Cynthiana, KY",0,67,0,0,Cynthiana city
KY,2144344,Lebanon,incorporated,25,A,6274,"Lebanon, KY",0,68,0,0,Lebanon city
KY,2163138,Princeton,incorporated,25,A,6270,"Princeton, KY",0,69,0,0,Princeton city
KY,2116372,Cold Spring,incorporated,25,A,6216,"Cold Spring, KY",0,70,0,0,Cold Spring city
KY,2118496,Crestwood,incorporated,25,A,6183,"Crestwood, KY",0,71,0,0,Crestwood city
KY,2183550,Wilmore,incorporated,25,A,5999,"Wilmore, KY",0,72,0,0,Wilmore city
KY,2128612,Fort Wright,incorporated,25,A,5851,"Fort Wright, KY",0,73,0,0,Fort Wright city
KY,2113978,Central City,incorporated,25,A,5819,"Central City, KY",0,74,0,0,Central City city
KY,2153130,Monticello,incorporated,25,A,5753,"Monticello, KY",0,75,0,0,Monticello city
KY,2120350,Dayton,incorporated,25,A,5666,"Dayton, KY",0,76,0,0,Dayton city
KY,2105446,Bellevue,incorporated,25,A,5548,"Bellevue, KY",0,77,0,0,Bellevue city
KY,2180490,Walton,incorporated,25,A,5460,"Walton, KY",0,78,0,0,Walton city
KY,2122204,Douglass Hills,incorporated,25,A,5456,"Douglass Hills, KY",0,79,0,0,Douglass Hills city
KY,2183334,Williamsburg,incorporated,25,A,5326,"Williamsburg, KY",0,80,0,0,Williamsburg city
KY,2135362,Hazard,incorporated,25,A,5263,"Hazard, KY",0,81,0,0,Hazard city
KY,2116750,Columbia,incorporated,25,A,4845,"Columbia, KY",0,82,0,0,Columbia city
KY,2105824,Benton,incorporated,25,A,4756,"Benton, KY",0,83,0,0,Benton city
