stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
MA,2507000,Boston,incorporated,25,A,675647,"Boston, MA",0,1,103,0.412,Boston city
MA,2582000,Worcester,incorporated,25,A,206518,"Worcester, MA",0,2,29,0.116,Worcester city
MA,2567000,Springfield,incorporated,25,A,155929,"Springfield, MA",0,3,17,0.068,Springfield city
MA,2511000,Cambridge,incorporated,25,A,118403,"Cambridge, MA",0,4,12,0.048,Cambridge city
MA,2537000,Lowell,incorporated,25,A,115554,"Lowell, MA",0,5,9,0.036,Lowell city
MA,2509000,Brockton,incorporated,25,A,105643,"Brockton, MA",0,6,7,0.028,Brockton city
MA,2555745,Quincy,incorporated,25,A,101636,"Quincy, MA",0,7,5,0.02,Quincy city
MA,2537490,Lynn,incorporated,25,A,101253,"Lynn, MA",0,8,5,0.02,Lynn city
MA,2545000,New Bedford,incorporated,25,A,101079,"New Bedford, MA",0,9,4,0.016,New Bedford city
MA,2523000,Fall River,incorporated,25,A,94000,"Fall River, MA",0,10,4,0.016,Fall River city
MA,2534550,Lawrence,incorporated,25,A,89143,"Lawrence, MA",0,11,3,0.012,Lawrence city
MA,2545560,Newton,incorporated,25,A,88923,"Newton, MA",0,12,3,0.012,Newton city
MA,2562535,Somerville,incorporated,25,A,81045,"Somerville, MA",0,13,3,0.012,Somerville city
MA,2524960,Framingham,incorporated,25,A,72362,"Framingham, MA",0,14,3,0.012,Framingham city
MA,2529405,Haverhill,incorporated,25,A,67787,"Haverhill, MA",0,15,2,0.008,Haverhill city
MA,2537875,Malden,incorporated,25,A,66263,"Malden, MA",0,16,2,0.008,Malden city
MA,2572600,Waltham,incorporated,25,A,65218,"Waltham, MA",0,17,2,0.008,Waltham city
MA,2556585,Revere,incorporated,25,A,62186,"Revere, MA",0,18,2,0.008,Revere city
MA,2539835,Medford,incorporated,25,A,59659,"Medford, MA",0,19,2,0.008,Medford city
MA,2569170,Taunton,incorporated,25,A,59408,"Taunton, MA",0,20,2,0.008,Taunton city
MA,2578972,Weymouth Town,incorporated,25,A,57437,"Weymouth Town, MA",0,21,2,0.008,Weymouth Town city
MA,2513660,Chicopee,incorporated,25,A,55560,"Chicopee, MA",0,22,1,0.004,Chicopee city
MA,2552490,Peabody,incorporated,25,A,54481,"Peabody, MA",0,23,1,0.004,Peabody city
MA,2521990,Everett,incorporated,25,A,49075,"Everett, MA",0,24,1,0.004,Everett city
MA,2503690,Barnstable Town,incorporated,25,A,48916,"Barnstable Town, MA",0,25,1,0.004,Barnstable Town city
MA,2502690,Attleboro,incorporated,25,A,46461,"Attleboro, MA",0,26,1,0.004,Attleboro city
MA,2559105,Salem,incorporated,25,A,44480,"Salem, MA",0,27,1,0.004,Salem city
