stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
ME,2360545,Portland,incorporated,25,A,68408,"Portland, ME",0,1,89,0.356,Portland city
ME,2338740,Lewiston,incorporated,25,A,37121,"Lewiston, ME",0,2,37,0.148,Lewiston city
ME,2302795,Bangor,incorporated,25,A,31753,"Bangor, ME",0,3,23,0.092,Bangor city
ME,2371990,South Portland,incorporated,25,A,26498,"South Portland, ME",0,4,16,0.064,South Portland city
ME,2302060,Auburn,incorporated,25,A,24061,"Auburn, ME",0,5,12,0.048,Auburn city
ME,2304860,Biddeford,incorporated,25,A,22552,"Biddeford, ME",0,6,9,0.036,Biddeford city
ME,2365725,Sanford,incorporated,25,A,21982,"Sanford, ME",0,7,8,0.032,Sanford city
ME,2382105,Westbrook,incorporated,25,A,20400,"Westbrook, ME",0,8,7,0.028,Westbrook city
ME,2364675,Saco,incorporated,25,A,20381,"Saco, ME",0,9,6,0.024,Saco city
ME,2302100,Augusta,incorporated,25,A,18899,"Augusta, ME",0,10,8,0.032,Augusta city
ME,2380740,Waterville,incorporated,25,A,15828,"Waterville, ME",0,11,4,0.016,Waterville city
ME,2306925,Brewer,incorporated,25,A,9672,"Brewer, ME",0,12,4,0.016,Brewer city
ME,2360825,Presque Isle,incorporated,25,A,8797,"Presque Isle, ME",0,13,4,0.016,Presque Isle city
ME,2303355,Bath,incorporated,25,A,8766,"Bath, ME",0,14,3,0.012,Bath city
ME,2323200,Ellsworth,incorporated,25,A,8399,"Ellsworth, ME",0,15,2,0.008,Ellsworth city
ME,2355225,Old Town,incorporated,25,A,7431,"Old Town, ME",0,16,3,0.012,Old Town city
ME,2310565,Caribou,incorporated,25,A,7396,"Caribou, ME",0,17,3,0.012,Caribou city
ME,2303950,Belfast,incorporated,25,A,6938,"Belfast, ME",0,18,2,0.008,Belfast city
ME,2363590,Rockland,incorporated,25,A,6936,"Rockland, ME",0,19,2,0.008,Rockland city
ME,2327085,Gardiner,incorporated,25,A,5961,"Gardiner, ME",0,20,2,0.008,Gardiner city
ME,2309585,Calais,incorporated,25,A,3079,"Calais, ME",0,21,2,0.008,Calais city
ME,2330550,Hallowell,incorporated,25,A,2570,"Hallowell, ME",0,22,2,0.008,Hallowell city
ME,2321730,Eastport,incorporated,25,A,1288,"Eastport, ME",0,23,2,0.008,Eastport city
