stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
MI,2622000,Detroit,incorporated,25,A,639111,"Detroit, MI",0,1,65,0.26,Detroit city
MI,2634000,Grand Rapids,incorporated,25,A,198917,"Grand Rapids, MI",0,2,28,0.112,Grand Rapids city
MI,2684000,Warren,incorporated,25,A,139387,"Warren, MI",0,3,18,0.072,Warren city
MI,2676460,Sterling Heights,incorporated,25,A,134346,"Sterling Heights, MI",0,4,13,0.052,Sterling Heights city
MI,2603000,Ann Arbor,incorporated,25,A,123851,"Ann Arbor, MI",0,5,10,0.04,Ann Arbor city
MI,2646000,Lansing,incorporated,25,A,112644,"Lansing, MI",0,6,10,0.04,Lansing city
MI,2621000,Dearborn,incorporated,25,A,109976,"Dearborn, MI",0,7,7,0.028,Dearborn city
MI,2649000,Livonia,incorporated,25,A,95535,"Livonia, MI",0,8,6,0.024,Livonia city
MI,2680700,Troy,incorporated,25,A,87294,"Troy, MI",0,9,4,0.016,Troy city
MI,2686000,Westland,incorporated,25,A,85420,"Westland, MI",0,10,5,0.02,Westland city
MI,2627440,Farmington Hills,incorporated,25,A,83986,"Farmington Hills, MI",0,11,3,0.012,Farmington Hills city
MI,2629000,Flint,incorporated,25,A,81252,"Flint, MI",0,12,4,0.016,Flint city
MI,2674900,Southfield,incorporated,25,A,76618,"Southfield, MI",0,13,4,0.016,Southfield city
MI,2688940,Wyoming,incorporated,25,A,76501,"Wyoming, MI",0,14,2,0.008,Wyoming city
MI,2669035,Rochester Hills,incorporated,25,A,76300,"Rochester Hills, MI",0,15,2,0.008,Rochester Hills city
MI,2642160,Kalamazoo,incorporated,25,A,73598,"Kalamazoo, MI",0,16,2,0.008,Kalamazoo city
MI,2659440,Novi,incorporated,25,A,66243,"Novi, MI",0,17,3,0.012,Novi city
MI,2679000,Taylor,incorporated,25,A,63409,"Taylor, MI",0,18,3,0.012,Taylor city
MI,2621020,Dearborn Heights,incorporated,25,A,63292,"Dearborn Heights, MI",0,19,3,0.012,Dearborn Heights city
MI,2665440,Pontiac,incorporated,25,A,61606,"Pontiac, MI",0,20,3,0.012,Pontiac city
MI,2670760,St. Clair Shores,incorporated,25,A,58874,"St. Clair Shores, MI",0,21,1,0.004,St. Clair Shores city
MI,2670040,Royal Oak,incorporated,25,A,58211,"Royal Oak, MI",0,22,1,0.004,Royal Oak city
MI,2642820,Kentwood,incorporated,25,A,54304,"Kentwood, MI",0,23,1,0.004,Kentwood city
MI,2605920,Battle Creek,incorporated,25,A,52721,"Battle Creek, MI",0,24,1,0.004,Battle Creek city
MI,2665560,Portage,incorporated,25,A,48891,"Portage, MI",0,25,1,0.004,Portage city
MI,2624120,East Lansing,incorporated,25,A,47741,"East Lansing, MI",0,26,3,0.012,East Lansing city
MI,2669800,Roseville,incorporated,25,A,47710,"Roseville, MI",0,27,1,0.004,Roseville city
MI,2670520,Saginaw,incorporated,25,A,44202,"Saginaw, MI",0,28,1,0.004,Saginaw city
MI,2653780,Midland,incorporated,25,A,42547,"Midland, MI",0,29,2,0.008,Midland city
MI,2647800,Lincoln Park,incorporated,25,A,40245,"Lincoln Park, MI",0,30,2,0.008,Lincoln Park city
MI,2656320,Muskegon,incorporated,25,A,38318,"Muskegon, MI",0,31,2,0.008,Muskegon city
