stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
ND,3825700,Fargo,incorporated,25,A,125990,"Fargo, ND",0,1,64,0.256,Fargo city
ND,3807200,Bismarck,incorporated,25,A,73622,"Bismarck, ND",0,2,42,0.168,Bismarck city
ND,3832060,Grand Forks,incorporated,25,A,59166,"Grand Forks, ND",0,3,16,0.064,Grand Forks city
ND,3853380,Minot,incorporated,25,A,48377,"Minot, ND",0,4,11,0.044,Minot city
ND,3884780,West Fargo,incorporated,25,A,38626,"West Fargo, ND",0,5,10,0.04,West Fargo city
ND,3886220,Williston,incorporated,25,A,29160,"Williston, ND",0,6,8,0.032,Williston city
ND,3819620,Dickinson,incorporated,25,A,25679,"Dickinson, ND",0,7,7,0.028,Dickinson city
ND,3849900,Mandan,incorporated,25,A,24206,"Mandan, ND",0,8,6,0.024,Mandan city
ND,3840580,Jamestown,incorporated,25,A,15849,"Jamestown, ND",0,9,4,0.016,Jamestown city
ND,3882660,Wahpeton,incorporated,25,A,8007,"Wahpeton, ND",0,10,5,0.02,Wahpeton city
ND,3819420,Devils Lake,incorporated,25,A,7192,"Devils Lake, ND",0,11,3,0.012,Devils Lake city
ND,3881180,Valley City,incorporated,25,A,6575,"Valley City, ND",0,12,4,0.016,Valley City city
ND,3883860,Watford City,incorporated,25,A,6207,"Watford City, ND",0,13,4,0.016,Watford City city
ND,3846640,Lincoln,incorporated,25,A,4257,"Lincoln, ND",0,14,2,0.008,Lincoln city
ND,3831820,Grafton,incorporated,25,A,4170,"Grafton, ND",0,15,2,0.008,Grafton city
ND,3838900,Horace,incorporated,25,A,3085,"Horace, ND",0,16,2,0.008,Horace city
ND,3806660,Beulah,incorporated,25,A,3058,"Beulah, ND",0,17,3,0.012,Beulah city
ND,3856740,New Town,incorporated,25,A,2764,"New Town, ND",0,18,3,0.012,New Town city
ND,3868860,Rugby,incorporated,25,A,2509,"Rugby, ND",0,19,3,0.012,Rugby city
ND,3812700,Casselton,incorporated,25,A,2479,"Casselton, ND",0,20,3,0.012,Casselton city
ND,3875380,Stanley,incorporated,25,A,2321,"Stanley, ND",0,21,1,0.004,Stanley city
ND,3836780,Hazen,incorporated,25,A,2281,"Hazen, ND",0,22,1,0.004,Hazen city
ND,3847100,Lisbon,incorporated,25,A,2204,"Lisbon, ND",0,23,1,0.004,Lisbon city
ND,3878940,Tioga,incorporated,25,A,2202,"Tioga, ND",0,24,1,0.004,Tioga city
ND,3808460,Bottineau,incorporated,25,A,2194,"Bottineau, ND",0,25,1,0.004,Bottineau city
ND,3812340,Carrington,incorporated,25,A,2080,"Carrington, ND",0,26,1,0.004,Carrington city
ND,3844780,Langdon,incorporated,25,A,1909,"Langdon, ND",0,27,1,0.004,Langdon city
ND,3851500,Mayville,incorporated,25,A,1854,"Mayville, ND",0,28,2,0.008,Mayville city
ND,3858740,Oakes,incorporated,25,A,1798,"Oakes, ND",0,29,2,0.008,Oakes city
ND,3835900,Harvey,incorporated,25,A,1650,"Harvey, ND",0,30,2,0.008,Harvey city
ND,3838100,Hillsboro,incorporated,25,A,1649,"Hillsboro, ND",0,31,2,0.008,Hillsboro city
ND,3808700,Bowman,incorporated,25,A,1470,"Bowman, ND",0,32,2,0.008,Bowman city
ND,3829460,Garrison,incorporated,25,A,1462,"Garrison, ND",0,33,2,0.008,Garrison city
ND,3860900,Park River,incorporated,25,A,1424,"Park River, ND",0,34,2,0.008,Park River city
ND,3856620,New Rockford,incorporated,25,A,1361,"New Rockford, ND",0,35,2,0.008,New Rockford city
ND,3877180,Surrey,incorporated,25,A,1357,"Surrey, ND",0,36,2,0.008,Surrey city
ND,3850580,Mapleton,incorporated,25,A,1320,"Mapleton, ND",0,37,2,0.008,Mapleton city
ND,3883700,Washburn,incorporated,25,A,1300,"Washburn, ND",0,38,2,0.008,Washburn city
ND,3810940,Burlington,incorporated,25,A,1291,"Burlington, ND",0,39,2,0.008,Burlington city
ND,3845020,Larimore,incorporated,25,A,1260,"Larimore, ND",0,40,2,0.008,Larimore city
ND,3812940,Cavalier,incorporated,25,A,1246,"Cavalier, ND",0,41,2,0.008,Cavalier city
ND,3867820,Rolla,incorporated,25,A,1223,"Rolla, ND",0,42,2,0.008,Rolla city
ND,3823220,Ellendale,incorporated,25,A,1125,"Ellendale, ND",0,43,2,0.008,Ellendale city
ND,3811860,Cando,incorporated,25,A,1117,"Cando, ND",0,44,2,0.008,Cando city
ND,3878660,Thompson,incorporated,25,A,1101,"Thompson, ND",0,45,2,0.008,Thompson city
ND,3881620,Velva,incorporated,25,A,1086,"Velva, ND",0,46,2,0.008,Velva city
ND,3837700,Hettinger,incorporated,25,A,1074,"Hettinger, ND",0,47,2,0.008,Hettinger city
ND,3846980,Linton,incorporated,25,A,1071,"Linton, ND",0,48,1,0.004,Linton city
ND,3816940,Crosby,incorporated,25,A,1065,"Crosby, ND",0,49,0,0,Crosby city
ND,3805820,Belfield,incorporated,25,A,996,"Belfield, ND",0,50,0,0,Belfield city
ND,3815900,Cooperstown,incorporated,25,A,983,"Cooperstown, ND",0,51,0,0,Cooperstown city
ND,3858300,Northwood,incorporated,25,A,982,"Northwood, ND",0,52,0,0,Northwood city
ND,3805420,Beach,incorporated,25,A,981,"Beach, ND",0,53,0,0,Beach city
ND,3856700,New Salem,incorporated,25,A,973,"New Salem, ND",0,54,0,0,New Salem city
ND,3842020,Kenmare,incorporated,25,A,961,"Kenmare, ND",0,55,0,0,Kenmare city
ND,3860940,Parshall,incorporated,25,A,949,"Parshall, ND",0,56,0,0,Parshall city
ND,3842700,Killdeer,incorporated,25,A,939,"Killdeer, ND",0,57,0,0,Killdeer city
ND,3834020,Gwinner,incorporated,25,A,924,"Gwinner, ND",0,58,0,0,Gwinner city
ND,3834900,Hankinson,incorporated,25,A,921,"Hankinson, ND",0,59,0,0,Hankinson city
ND,3882980,Walhalla,incorporated,25,A,893,"Walhalla, ND",0,60,0,0,Walhalla city
ND,3842780,Kindred,incorporated,25,A,889,"Kindred, ND",0,61,0,0,Kindred city
ND,3824260,Enderlin,incorporated,25,A,881,"Enderlin, ND",0,62,0,0,Enderlin city
ND,3887020,Wishek,incorporated,25,A,864,"Wishek, ND",0,63,0,0,Wishek city
ND,3835940,Harwood,incorporated,25,A,794,"Harwood, ND",0,64,0,0,Harwood city
ND,3836860,Hebron,incorporated,25,A,794,"Hebron, ND",0,65,0,0,Hebron city
ND,3880660,Underwood,incorporated,25,A,784,"Underwood, ND",0,66,0,0,Underwood city
ND,3844540,LaMoure,incorporated,25,A,764,"LaMoure, ND",0,67,0,0,LaMoure city
ND,3820340,Drayton,incorporated,25,A,757,"Drayton, ND",0,68,0,0,Drayton city
ND,3855420,Napoleon,incorporated,25,A,749,"Napoleon, ND",0,69,0,0,Napoleon city
ND,3865580,Ray,incorporated,25,A,740,"Ray, ND",0,70,0,0,Ray city
ND,3830860,Glen Ullin,incorporated,25,A,732,"Glen Ullin, ND",0,71,0,0,Glen Ullin city
ND,3886580,Wilton,incorporated,25,A,718,"Wilton, ND",0,72,0,0,Wilton city
ND,3836100,Hatton,incorporated,25,A,712,"Hatton, ND",0,73,0,0,Hatton city
ND,3866040,Reile's Acres,incorporated,25,A,703,"Reile's Acres, ND",0,74,0,0,Reile's Acres city
ND,3853780,Mohall,incorporated,25,A,694,"Mohall, ND",0,75,0,0,Mohall city
ND,3866500,Richardton,incorporated,25,A,692,"Richardton, ND",0,76,0,0,Richardton city
ND,3844300,Lakota,incorporated,25,A,683,"Lakota, ND",0,77,0,0,Lakota city
ND,3856180,New England,incorporated,25,A,683,"New England, ND",0,78,0,0,New England city
ND,3875780,Steele,incorporated,25,A,665,"Steele, ND",0,79,0,0,Steele city
ND,3854620,Mott,incorporated,25,A,653,"Mott, ND",0,80,0,0,Mott city
ND,3821020,Dunseith,incorporated,25,A,632,"Dunseith, ND",0,81,0,0,Dunseith city
ND,3852940,Milnor,incorporated,25,A,624,"Milnor, ND",0,82,0,0,Milnor city
ND,3853540,Minto,incorporated,25,A,616,"Minto, ND",0,83,0,0,Minto city
ND,3803540,Ashley,incorporated,25,A,613,"Ashley, ND",0,84,0,0,Ashley city
ND,3846460,Lidgerwood,incorporated,25,A,600,"Lidgerwood, ND",0,85,0,0,Lidgerwood city
ND,3813180,Center,incorporated,25,A,588,"Center, ND",0,86,0,0,Center city
ND,3822140,Edgeley,incorporated,25,A,585,"Edgeley, ND",0,87,0,0,Edgeley city
ND,3863900,Portland,incorporated,25,A,578,"Portland, ND",0,88,0,0,Portland city
ND,3823020,Elgin,incorporated,25,A,543,"Elgin, ND",0,89,0,0,Elgin city
ND,3879940,Turtle Lake,incorporated,25,A,542,"Turtle Lake, ND",0,90,0,0,Turtle Lake city
