stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
NH,3345140,Manchester,incorporated,25,A,115644,"Manchester, NH",0,1,38,0.38,Manchester city
NH,3350260,Nashua,incorporated,25,A,91322,"Nashua, NH",0,2,16,0.16,Nashua city
NH,3314200,Concord,incorporated,25,A,43976,"Concord, NH",0,3,14,0.14,Concord city
NH,3318820,Dover,incorporated,25,A,32741,"Dover, NH",0,4,7,0.07,Dover city
NH,3365140,Rochester,incorporated,25,A,32492,"Rochester, NH",0,5,5,0.05,Rochester city
NH,3339300,Keene,incorporated,25,A,23047,"Keene, NH",0,6,4,0.04,Keene city
NH,3362900,Portsmouth,incorporated,25,A,21956,"Portsmouth, NH",0,7,3,0.03,Portsmouth city
NH,3340180,Laconia,incorporated,25,A,16871,"Laconia, NH",0,8,3,0.03,Laconia city
NH,3341300,Lebanon,incorporated,25,A,14282,"Lebanon, NH",0,9,2,0.02,Lebanon city
NH,3312900,Claremont,incorporated,25,A,12949,"Claremont, NH",0,10,2,0.02,Claremont city
NH,3369940,Somersworth,incorporated,25,A,11855,"Somersworth, NH",0,11,2,0.02,Somersworth city
NH,3305140,Berlin,incorporated,25,A,9425,"Berlin, NH",0,12,2,0.02,Berlin city
NH,3327380,Franklin,incorporated,25,A,8741,"Franklin, NH",0,13,2,0.02,Franklin city
