stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
NJ,3451000,Newark,incorporated,25,A,311549,"Newark, NJ",0,1,67,0.268,Newark city
NJ,3436000,Jersey City,incorporated,25,A,292449,"Jersey City, NJ",0,2,28,0.112,Jersey City city
NJ,3457000,Paterson,incorporated,25,A,159732,"Paterson, NJ",0,3,17,0.068,Paterson city
NJ,3421000,Elizabeth,incorporated,25,A,137298,"Elizabeth, NJ",0,4,13,0.052,Elizabeth city
NJ,3474000,Trenton,incorporated,25,A,90871,"Trenton, NJ",0,5,14,0.056,Trenton city
NJ,3413690,Clifton,incorporated,25,A,90296,"Clifton, NJ",0,6,7,0.028,Clifton city
NJ,3410000,Camden,incorporated,25,A,71791,"Camden, NJ",0,7,7,0.028,Camden city
NJ,3403580,Bayonne,incorporated,25,A,71686,"Bayonne, NJ",0,8,6,0.024,Bayonne city
NJ,3456550,Passaic,incorporated,25,A,70537,"Passaic, NJ",0,9,4,0.016,Passaic city
NJ,3419390,East Orange,incorporated,25,A,69612,"East Orange, NJ",0,10,5,0.02,East Orange city
NJ,3474630,Union City,incorporated,25,A,68589,"Union City, NJ",0,11,3,0.012,Union City city
NJ,3476070,Vineland,incorporated,25,A,60780,"Vineland, NJ",0,12,3,0.012,Vineland city
NJ,3432250,Hoboken,incorporated,25,A,60419,"Hoboken, NJ",0,13,4,0.016,Hoboken city
NJ,3458200,Perth Amboy,incorporated,25,A,55436,"Perth Amboy, NJ",0,14,2,0.008,Perth Amboy city
NJ,3451210,New Brunswick,incorporated,25,A,55266,"New Brunswick, NJ",0,15,2,0.008,New Brunswick city
NJ,3459190,Plainfield,incorporated,25,A,54586,"Plainfield, NJ",0,16,2,0.008,Plainfield city
NJ,3479610,West New York,incorporated,43,A,52912,"West New York, NJ",0,17,3,0.012,West New York town
NJ,3428680,Hackensack,incorporated,25,A,46030,"Hackensack, NJ",0,18,3,0.012,Hackensack city
NJ,3465790,Sayreville,incorporated,21,A,45345,"Sayreville, NJ",0,19,3,0.012,Sayreville borough
NJ,3440350,Linden,incorporated,25,A,43738,"Linden, NJ",0,20,3,0.012,Linden city
NJ,3436510,Kearny,incorporated,43,A,41999,"Kearny, NJ",0,21,2,0.008,Kearny town
NJ,3424420,Fort Lee,incorporated,21,A,40191,"Fort Lee, NJ",0,22,1,0.004,Fort Lee borough
NJ,3402080,Atlantic City,incorporated,25,A,38497,"Atlantic City, NJ",0,23,1,0.004,Atlantic City city
NJ,3422470,Fair Lawn,incorporated,21,A,34927,"Fair Lawn, NJ",0,24,1,0.004,Fair Lawn borough
