stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
NM,3502000,Albuquerque,incorporated,25,A,564559,"Albuquerque, NM",0,1,74,0.296,Albuquerque city
NM,3539380,Las Cruces,incorporated,25,A,111385,"Las Cruces, NM",0,2,31,0.124,Las Cruces city
NM,3563460,Rio Rancho,incorporated,25,A,104046,"Rio Rancho, NM",0,3,18,0.072,Rio Rancho city
NM,3570500,Santa Fe,incorporated,25,A,87505,"Santa Fe, NM",0,4,19,0.076,Santa Fe city
NM,3564930,Roswell,incorporated,25,A,48422,"Roswell, NM",0,5,10,0.04,Roswell city
NM,3525800,Farmington,incorporated,25,A,46624,"Farmington, NM",0,6,8,0.032,Farmington city
NM,3532520,Hobbs,incorporated,25,A,40508,"Hobbs, NM",0,7,6,0.024,Hobbs city
NM,3516420,Clovis,incorporated,25,A,38567,"Clovis, NM",0,8,5,0.02,Clovis city
NM,3512150,Carlsbad,incorporated,25,A,32238,"Carlsbad, NM",0,9,5,0.02,Carlsbad city
NM,3501780,Alamogordo,incorporated,25,A,30898,"Alamogordo, NM",0,10,4,0.016,Alamogordo city
NM,3528460,Gallup,incorporated,25,A,21899,"Gallup, NM",0,11,4,0.016,Gallup city
NM,3543370,Los Lunas,incorporated,47,A,17242,"Los Lunas, NM",0,12,3,0.012,Los Lunas village
NM,3575640,Sunland Park,incorporated,25,A,16702,"Sunland Park, NM",0,13,4,0.016,Sunland Park city
NM,3520270,Deming,incorporated,25,A,14758,"Deming, NM",0,14,3,0.012,Deming city
NM,3539940,Las Vegas,incorporated,25,A,13166,"Las Vegas, NM",0,15,2,0.008,Las Vegas city
NM,3505220,Artesia,incorporated,25,A,12875,"Artesia, NM",0,16,2,0.008,Artesia city
NM,3559260,Portales,incorporated,25,A,12137,"Portales, NM",0,17,2,0.008,Portales city
NM,3544490,Lovington,incorporated,25,A,11668,"Lovington, NM",0,18,3,0.012,Lovington city
NM,3525170,Española,incorporated,25,A,10526,"Española, NM",0,19,3,0.012,Española city
NM,3573260,Silver City,incorporated,43,A,9704,"Silver City, NM",0,20,2,0.008,Silver City town
NM,3530490,Grants,incorporated,25,A,9163,"Grants, NM",0,21,2,0.008,Grants city
NM,3506970,Bernalillo,incorporated,43,A,8977,"Bernalillo, NM",0,22,2,0.008,Bernalillo town
NM,3573540,Socorro,incorporated,25,A,8707,"Socorro, NM",0,23,1,0.004,Socorro city
NM,3503820,Anthony,incorporated,25,A,8693,"Anthony, NM",0,24,1,0.004,Anthony city
NM,3517960,Corrales,incorporated,47,A,8493,"Corrales, NM",0,25,1,0.004,Corrales village
NM,3565210,Ruidoso,incorporated,47,A,7679,"Ruidoso, NM",0,26,1,0.004,Ruidoso village
NM,3507880,Bloomfield,incorporated,25,A,7421,"Bloomfield, NM",0,27,1,0.004,Bloomfield city
NM,3506480,Belen,incorporated,25,A,7360,"Belen, NM",0,28,1,0.004,Belen city
NM,3576200,Taos,incorporated,43,A,6474,"Taos, NM",0,29,1,0.004,Taos town
NM,3505780,Aztec,incorporated,25,A,6201,"Aztec, NM",0,30,1,0.004,Aztec city
NM,3522380,Edgewood,incorporated,43,A,6174,"Edgewood, NM",0,31,2,0.008,Edgewood town
NM,3579840,Truth or Consequences,incorporated,25,A,6052,"Truth or Consequences, NM",0,32,2,0.008,Truth or Consequences city
NM,3562060,Raton,incorporated,25,A,6041,"Raton, NM",0,33,2,0.008,Raton city
NM,3543930,Los Ranchos de Albuquerque,incorporated,47,A,5874,"Los Ranchos de Albuquerque, NM",0,34,2,0.008,Los Ranchos de Albuquerque village
NM,3579910,Tucumcari,incorporated,25,A,5278,"Tucumcari, NM",0,35,2,0.008,Tucumcari city
NM,3563145,Rio Communities,incorporated,25,A,4926,"Rio Communities, NM",0,36,2,0.008,Rio Communities city
NM,3508580,Bosque Farms,incorporated,47,A,4020,"Bosque Farms, NM",0,37,2,0.008,Bosque Farms village
NM,3556180,Peralta,incorporated,43,A,3342,"Peralta, NM",0,38,1,0.004,Peralta town
NM,3525450,Eunice,incorporated,25,A,3056,"Eunice, NM",0,39,1,0.004,Eunice city
NM,3570670,Santa Rosa,incorporated,25,A,2850,"Santa Rosa, NM",0,40,1,0.004,Santa Rosa city
NM,3515720,Clayton,incorporated,43,A,2643,"Clayton, NM",0,41,1,0.004,Clayton town
