stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
NY,3651000,New York,incorporated,25,A,8804190,"New York, NY",0,1,65,0.26,New York city
NY,3611000,Buffalo,incorporated,25,A,278349,"Buffalo, NY",0,2,27,0.108,Buffalo city
NY,3684000,Yonkers,incorporated,25,A,211569,"Yonkers, NY",0,3,17,0.068,Yonkers city
NY,3663000,Rochester,incorporated,25,A,211328,"Rochester, NY",0,4,13,0.052,Rochester city
NY,3673000,Syracuse,incorporated,25,A,148620,"Syracuse, NY",0,5,10,0.04,Syracuse city
NY,3601000,Albany,incorporated,25,A,99224,"Albany, NY",0,6,10,0.04,Albany city
NY,3650617,New Rochelle,incorporated,25,A,79726,"New Rochelle, NY",0,7,7,0.028,New Rochelle city
NY,3649121,Mount Vernon,incorporated,25,A,73893,"Mount Vernon, NY",0,8,6,0.024,Mount Vernon city
NY,3665508,Schenectady,incorporated,25,A,67047,"Schenectady, NY",0,9,4,0.016,Schenectady city
NY,3676540,Utica,incorporated,25,A,65283,"Utica, NY",0,10,5,0.02,Utica city
NY,3681677,White Plains,incorporated,25,A,59559,"White Plains, NY",0,11,3,0.012,White Plains city
NY,3633139,Hempstead,incorporated,47,A,59169,"Hempstead, NY",0,12,4,0.016,Hempstead village
NY,3675484,Troy,incorporated,25,A,51401,"Troy, NY",0,13,4,0.016,Troy city
NY,3651055,Niagara Falls,incorporated,25,A,48671,"Niagara Falls, NY",0,14,2,0.008,Niagara Falls city
NY,3606607,Binghamton,incorporated,25,A,47969,"Binghamton, NY",0,15,2,0.008,Binghamton city
NY,3627485,Freeport,incorporated,47,A,44472,"Freeport, NY",0,16,2,0.008,Freeport village
NY,3676705,Valley Stream,incorporated,47,A,40634,"Valley Stream, NY",0,17,3,0.012,Valley Stream village
NY,3643335,Long Beach,incorporated,25,A,35029,"Long Beach, NY",0,18,3,0.012,Long Beach city
NY,3670420,Spring Valley,incorporated,47,A,33066,"Spring Valley, NY",0,19,3,0.012,Spring Valley village
NY,3639853,Kiryas Joel,incorporated,47,A,32954,"Kiryas Joel, NY",0,20,3,0.012,Kiryas Joel village
NY,3663418,Rome,incorporated,25,A,32127,"Rome, NY",0,21,2,0.008,Rome city
NY,3638077,Ithaca,incorporated,25,A,32108,"Ithaca, NY",0,22,1,0.004,Ithaca city
NY,3659223,Port Chester,incorporated,47,A,31693,"Port Chester, NY",0,23,1,0.004,Port Chester village
NY,3659641,Poughkeepsie,incorporated,25,A,31577,"Poughkeepsie, NY",0,24,1,0.004,Poughkeepsie city
NY,3653682,North Tonawanda,incorporated,25,A,30496,"North Tonawanda, NY",0,25,1,0.004,North Tonawanda city
NY,3647042,Middletown,incorporated,25,A,30345,"Middletown, NY",0,26,1,0.004,Middletown city
NY,3650034,Newburgh,incorporated,25,A,28856,"Newburgh, NY",0,27,1,0.004,Newburgh city
NY,3638264,Jamestown,incorporated,25,A,28712,"Jamestown, NY",0,28,1,0.004,Jamestown city
NY,3665255,Saratoga Springs,incorporated,25,A,28491,"Saratoga Springs, NY",0,29,2,0.008,Saratoga Springs city
NY,3629113,Glen Cove,incorporated,25,A,28365,"Glen Cove, NY",0,30,2,0.008,Glen Cove city
NY,3632402,Harrison,incorporated,47,A,28218,"Harrison, NY",0,31,2,0.008,Harrison village
NY,3655530,Ossining,incorporated,47,A,27551,"Ossining, NY",0,32,2,0.008,Ossining village
NY,3642554,Lindenhurst,incorporated,47,A,27148,"Lindenhurst, NY",0,33,2,0.008,Lindenhurst village
NY,3603078,Auburn,incorporated,25,A,26866,"Auburn, NY",0,34,2,0.008,Auburn city
NY,3624229,Elmira,incorporated,25,A,26523,"Elmira, NY",0,35,2,0.008,Elmira city
NY,3663264,Rockville Centre,incorporated,47,A,26016,"Rockville Centre, NY",0,36,2,0.008,Rockville Centre village
NY,3656979,Peekskill,incorporated,25,A,25431,"Peekskill, NY",0,37,2,0.008,Peekskill city
NY,3678608,Watertown,incorporated,25,A,24685,"Watertown, NY",0,38,2,0.008,Watertown city
NY,3639727,Kingston,incorporated,25,A,24069,"Kingston, NY",0,39,2,0.008,Kingston city
NY,3628178,Garden City,incorporated,47,A,23272,"Garden City, NY",0,40,2,0.008,Garden City village
NY,3643082,Lockport,incorporated,25,A,20876,"Lockport, NY",0,41,2,0.008,Lockport city
NY,3647636,Mineola,incorporated,47,A,20800,"Mineola, NY",0,42,2,0.008,Mineola village
NY,3643874,Lynbrook,incorporated,47,A,20438,"Lynbrook, NY",0,43,2,0.008,Lynbrook village
NY,3644831,Mamaroneck,incorporated,47,A,20151,"Mamaroneck, NY",0,44,2,0.008,Mamaroneck village
NY,3640189,Lackawanna,incorporated,25,A,19949,"Lackawanna, NY",0,45,2,0.008,Lackawanna city
NY,3658574,Plattsburgh,incorporated,25,A,19841,"Plattsburgh, NY",0,46,2,0.008,Plattsburgh city
NY,3665431,Scarsdale,incorporated,47,A,18253,"Scarsdale, NY",0,47,2,0.008,Scarsdale village
NY,3602066,Amsterdam,incorporated,25,A,18219,"Amsterdam, NY",0,48,2,0.008,Amsterdam city
NY,3616749,Cohoes,incorporated,25,A,18147,"Cohoes, NY",0,49,2,0.008,Cohoes city
NY,3618388,Cortland,incorporated,25,A,17556,"Cortland, NY",0,50,1,0.004,Cortland city
NY,3645997,Massapequa Park,incorporated,47,A,17109,"Massapequa Park, NY",0,51,1,0.004,Massapequa Park village
NY,3655574,Oswego,incorporated,25,A,16921,"Oswego, NY",0,52,1,0.004,Oswego city
NY,3664309,Rye,incorporated,25,A,16592,"Rye, NY",0,53,1,0.004,Rye city
NY,3626264,Floral Park,incorporated,47,A,16172,"Floral Park, NY",0,54,1,0.004,Floral Park village
NY,3679444,Westbury,incorporated,47,A,15864,"Westbury, NY",0,55,1,0.004,Westbury village
NY,3604715,Batavia,incorporated,25,A,15600,"Batavia, NY",0,56,0,0,Batavia city
NY,3638748,Johnson City,incorporated,47,A,15343,"Johnson City, NY",0,57,0,0,Johnson City village
NY,3639232,Kenmore,incorporated,47,A,15205,"Kenmore, NY",0,58,0,0,Kenmore village
NY,3620313,Depew,incorporated,47,A,15178,"Depew, NY",0,59,0,0,Depew village
NY,3629443,Gloversville,incorporated,25,A,15131,"Gloversville, NY",0,60,0,0,Gloversville city
NY,3674166,Tonawanda,incorporated,25,A,15129,"Tonawanda, NY",0,61,0,0,Tonawanda city
NY,3629333,Glens Falls,incorporated,25,A,14830,"Glens Falls, NY",0,62,0,0,Glens Falls city
NY,3654716,Olean,incorporated,25,A,13937,"Olean, NY",0,63,0,0,Olean city
NY,3605100,Beacon,incorporated,25,A,13769,"Beacon, NY",0,64,0,0,Beacon city
NY,3624515,Endicott,incorporated,47,A,13667,"Endicott, NY",0,65,0,0,Endicott village
NY,3654881,Oneonta,incorporated,25,A,13079,"Oneonta, NY",0,66,0,0,Oneonta city
NY,3628640,Geneva,incorporated,25,A,12812,"Geneva, NY",0,67,0,0,Geneva city
NY,3621105,Dunkirk,incorporated,25,A,12743,"Dunkirk, NY",0,68,0,0,Dunkirk city
NY,3656660,Patchogue,incorporated,47,A,12408,"Patchogue, NY",0,69,0,0,Patchogue village
NY,3632754,Haverstraw,incorporated,47,A,12323,"Haverstraw, NY",0,70,0,0,Haverstraw village
NY,3603408,Babylon,incorporated,47,A,12188,"Babylon, NY",0,71,0,0,Babylon village
NY,3673176,Tarrytown,incorporated,47,A,11860,"Tarrytown, NY",0,72,0,0,Tarrytown village
NY,3620698,Dobbs Ferry,incorporated,47,A,11541,"Dobbs Ferry, NY",0,73,0,0,Dobbs Ferry village
NY,3682750,Woodbury,incorporated,47,A,11526,"Woodbury, NY",0,74,0,0,Woodbury village
NY,3671894,Suffern,incorporated,47,A,11441,"Suffern, NY",0,75,0,0,Suffern village
NY,3627815,Fulton,incorporated,25,A,11389,"Fulton, NY",0,76,0,0,Fulton city
NY,3630169,Great Neck,incorporated,47,A,11145,"Great Neck, NY",0,77,0,0,Great Neck village
NY,3640530,Lake Grove,incorporated,47,A,11072,"Lake Grove, NY",0,78,0,0,Lake Grove village
NY,3648890,Mount Kisco,incorporated,47,A,10959,"Mount Kisco, NY",0,79,0,0,Mount Kisco village
NY,3680203,West Haverstraw,incorporated,47,A,10678,"West Haverstraw, NY",0,80,0,0,West Haverstraw village
NY,3612144,Canandaigua,incorporated,25,A,10576,"Canandaigua, NY",0,81,0,0,Canandaigua city
NY,3618256,Corning,incorporated,25,A,10551,"Corning, NY",0,82,0,0,Corning city
NY,3615400,Chestnut Ridge,incorporated,47,A,10505,"Chestnut Ridge, NY",0,83,0,0,Chestnut Ridge village
NY,3678674,Watervliet,incorporated,25,A,10375,"Watervliet, NY",0,84,0,0,Watervliet city
NY,3654837,Oneida,incorporated,25,A,10329,"Oneida, NY",0,85,0,0,Oneida city
NY,3650397,New Hyde Park,incorporated,47,A,10257,"New Hyde Park, NY",0,86,0,0,New Hyde Park village
NY,3600408,Airmont,incorporated,47,A,10166,"Airmont, NY",0,87,0,0,Airmont village
NY,3622876,East Rockaway,incorporated,47,A,10159,"East Rockaway, NY",0,88,0,0,East Rockaway village
NY,3646019,Massena,incorporated,47,A,10151,"Massena, NY",0,89,0,0,Massena village
NY,3654485,Ogdensburg,incorporated,25,A,10064,"Ogdensburg, NY",0,90,0,0,Ogdensburg city
NY,3664325,Rye Brook,incorporated,47,A,10047,"Rye Brook, NY",0,91,0,0,Rye Brook village
NY,3641135,Lancaster,incorporated,47,A,10027,"Lancaster, NY",0,92,0,0,Lancaster village
NY,3667638,Sleepy Hollow,incorporated,47,A,9986,"Sleepy Hollow, NY",0,93,0,0,Sleepy Hollow village
NY,3631643,Hamburg,incorporated,47,A,9696,"Hamburg, NY",0,94,0,0,Hamburg village
NY,3650705,New Square,incorporated,47,A,9679,"New Square, NY",0,95,0,0,New Square village
NY,3627419,Fredonia,incorporated,47,A,9585,"Fredonia, NY",0,96,0,0,Fredonia village
NY,3602044,Amityville,incorporated,47,A,9500,"Amityville, NY",0,97,0,0,Amityville village
NY,3647988,Monroe,incorporated,47,A,9343,"Monroe, NY",0,98,0,0,Monroe village
NY,3661148,Rensselaer,incorporated,25,A,9210,"Rensselaer, NY",0,99,0,0,Rensselaer city
NY,3649891,Newark,incorporated,47,A,9017,"Newark, NY",0,100,0,0,Newark village
NY,3659388,Port Jervis,incorporated,25,A,8775,"Port Jervis, NY",0,101,0,0,Port Jervis city
NY,3632710,Hastings-on-Hudson,incorporated,47,A,8590,"Hastings-on-Hudson, NY",0,102,0,0,Hastings-on-Hudson village
NY,3644787,Malverne,incorporated,47,A,8560,"Malverne, NY",0,103,0,0,Malverne village
NY,3625384,Farmingdale,incorporated,47,A,8466,"Farmingdale, NY",0,104,0,0,Farmingdale village
NY,3619213,Croton-on-Hudson,incorporated,47,A,8327,"Croton-on-Hudson, NY",0,105,0,0,Croton-on-Hudson village
NY,3659564,Potsdam,incorporated,47,A,8312,"Potsdam, NY",0,106,0,0,Potsdam village
NY,3635672,Hornell,incorporated,25,A,8263,"Hornell, NY",0,107,0,0,Hornell city
NY,3638781,Johnstown,incorporated,25,A,8204,"Johnstown, NY",0,108,0,0,Johnstown city
NY,3659355,Port Jefferson,incorporated,47,A,7962,"Port Jefferson, NY",0,109,0,0,Port Jefferson village
NY,3604198,Baldwinsville,incorporated,47,A,7898,"Baldwinsville, NY",0,110,0,0,Baldwinsville village
NY,3617332,Colonie,incorporated,47,A,7781,"Colonie, NY",0,111,0,0,Colonie village
NY,3637275,Ilion,incorporated,47,A,7646,"Ilion, NY",0,112,0,0,Ilion village
NY,3682117,Williston Park,incorporated,47,A,7591,"Williston Park, NY",0,113,0,0,Williston Park village
NY,3628618,Geneseo,incorporated,47,A,7574,"Geneseo, NY",0,114,0,0,Geneseo village
NY,3608103,Briarcliff Manor,incorporated,47,A,7569,"Briarcliff Manor, NY",0,115,0,0,Briarcliff Manor village
NY,3658728,Pleasantville,incorporated,47,A,7513,"Pleasantville, NY",0,116,0,0,Pleasantville village
NY,3630213,Great Neck Plaza,incorporated,47,A,7482,"Great Neck Plaza, NY",0,117,0,0,Great Neck Plaza village
NY,3635980,Hudson Falls,incorporated,47,A,7427,"Hudson Falls, NY",0,118,0,0,Hudson Falls village
NY,3613233,Cedarhurst,incorporated,47,A,7374,"Cedarhurst, NY",0,119,0,0,Cedarhurst village
NY,3653396,Northport,incorporated,47,A,7347,"Northport, NY",0,120,0,0,Northport village
NY,3657001,Pelham,incorporated,47,A,7326,"Pelham, NY",0,121,0,0,Pelham village
NY,3650551,New Paltz,incorporated,47,A,7324,"New Paltz, NY",0,122,0,0,New Paltz village
NY,3622260,East Hills,incorporated,47,A,7284,"East Hills, NY",0,123,0,0,East Hills village
NY,3665893,Scotia,incorporated,47,A,7272,"Scotia, NY",0,124,0,0,Scotia village
NY,3654100,Nyack,incorporated,47,A,7265,"Nyack, NY",0,125,0,0,Nyack village
NY,3634121,Herkimer,incorporated,47,A,7234,"Herkimer, NY",0,126,0,0,Herkimer village
NY,3648175,Monticello,incorporated,47,A,7173,"Monticello, NY",0,127,0,0,Monticello village
NY,3612331,Canton,incorporated,47,A,7155,"Canton, NY",0,128,0,0,Canton village
NY,3608466,Brockport,incorporated,47,A,7104,"Brockport, NY",0,129,0,0,Brockport village
NY,3675583,Tuckahoe,incorporated,47,A,7084,"Tuckahoe, NY",0,130,0,0,Tuckahoe village
NY,3653979,Norwich,incorporated,25,A,7051,"Norwich, NY",0,131,0,0,Norwich city
NY,3645106,Manorhaven,incorporated,47,A,6956,"Manorhaven, NY",0,132,0,0,Manorhaven village
NY,3677849,Walden,incorporated,47,A,6818,"Walden, NY",0,133,0,0,Walden village
NY,3641553,Lawrence,incorporated,47,A,6809,"Lawrence, NY",0,134,0,0,Lawrence village
NY,3605034,Bayville,incorporated,47,A,6748,"Bayville, NY",0,135,0,0,Bayville village
NY,3653660,North Syracuse,incorporated,47,A,6739,"North Syracuse, NY",0,136,0,0,North Syracuse village
NY,3608532,Bronxville,incorporated,47,A,6656,"Bronxville, NY",0,137,0,0,Bronxville village
NY,3637803,Irvington,incorporated,47,A,6652,"Irvington, NY",0,138,0,0,Irvington village
NY,3678355,Warwick,incorporated,47,A,6652,"Warwick, NY",0,139,0,0,Warwick village
NY,3668286,Solvay,incorporated,47,A,6645,"Solvay, NY",0,140,0,0,Solvay village
NY,3641333,Larchmont,incorporated,47,A,6630,"Larchmont, NY",0,141,0,0,Larchmont village
NY,3635694,Horseheads,incorporated,47,A,6606,"Horseheads, NY",0,142,0,0,Horseheads village
NY,3622865,East Rochester,incorporated,47,A,6334,"East Rochester, NY",0,143,0,0,East Rochester village
NY,3679174,Wesley Hills,incorporated,47,A,6116,"Wesley Hills, NY",0,144,0,0,Wesley Hills village
NY,3678168,Wappingers Falls,incorporated,47,A,6103,"Wappingers Falls, NY",0,145,0,0,Wappingers Falls village
NY,3646415,Medina,incorporated,47,A,6047,"Medina, NY",0,146,0,0,Medina village
NY,3634847,Hilton,incorporated,47,A,6027,"Hilton, NY",0,147,0,0,Hilton village
NY,3621589,East Aurora,incorporated,47,A,5998,"East Aurora, NY",0,148,0,0,East Aurora village
NY,3664749,Salamanca,incorporated,25,A,5929,"Salamanca, NY",0,149,0,0,Salamanca city
NY,3635969,Hudson,incorporated,25,A,5894,"Hudson, NY",0,150,0,0,Hudson city
NY,3629542,Goshen,incorporated,47,A,5777,"Goshen, NY",0,151,0,0,Goshen village
NY,3657023,Pelham Manor,incorporated,47,A,5752,"Pelham Manor, NY",0,152,0,0,Pelham Manor village
NY,3678465,Washingtonville,incorporated,47,A,5657,"Washingtonville, NY",0,153,0,0,Washingtonville village
NY,3678960,Webster,incorporated,47,A,5651,"Webster, NY",0,154,0,0,Webster village
NY,3601033,Albion,incorporated,47,A,5637,"Albion, NY",0,155,0,0,Albion village
NY,3639694,Kings Point,incorporated,47,A,5619,"Kings Point, NY",0,156,0,0,Kings Point village
NY,3604759,Bath,incorporated,47,A,5571,"Bath, NY",0,157,0,0,Bath village
NY,3625076,Fairport,incorporated,47,A,5501,"Fairport, NY",0,158,0,0,Fairport village
NY,3638934,Kaser,incorporated,47,A,5491,"Kaser, NY",0,159,0,0,Kaser village
NY,3644710,Malone,incorporated,47,A,5483,"Malone, NY",0,160,0,0,Malone village
NY,3653022,North Hills,incorporated,47,A,5464,"North Hills, NY",0,161,0,0,North Hills village
NY,3650353,New Hempstead,incorporated,47,A,5463,"New Hempstead, NY",0,162,0,0,New Hempstead village
NY,3682084,Williamsville,incorporated,47,A,5423,"Williamsville, NY",0,163,0,0,Williamsville village
NY,3624295,Elmsford,incorporated,47,A,5239,"Elmsford, NY",0,164,0,0,Elmsford village
NY,3646360,Mechanicville,incorporated,25,A,5163,"Mechanicville, NY",0,165,0,0,Mechanicville city
NY,3604253,Ballston Spa,incorporated,47,A,5111,"Ballston Spa, NY",0,166,0,0,Ballston Spa village
NY,3602506,Ardsley,incorporated,47,A,5079,"Ardsley, NY",0,167,0,0,Ardsley village
NY,3666047,Sea Cliff,incorporated,47,A,5062,"Sea Cliff, NY",0,168,0,0,Sea Cliff village
NY,3657177,Penn Yan,incorporated,47,A,5056,"Penn Yan, NY",0,169,0,0,Penn Yan village
NY,3637847,Island Park,incorporated,47,A,4928,"Island Park, NY",0,170,0,0,Island Park village
NY,3615561,Chittenango,incorporated,47,A,4896,"Chittenango, NY",0,171,0,0,Chittenango village
NY,3665233,Saranac Lake,incorporated,47,A,4887,"Saranac Lake, NY",0,172,0,0,Saranac Lake village
NY,3678553,Waterloo,incorporated,47,A,4810,"Waterloo, NY",0,173,0,0,Waterloo village
NY,3626352,Flower Hill,incorporated,47,A,4794,"Flower Hill, NY",0,174,0,0,Flower Hill village
NY,3642224,Liberty,incorporated,47,A,4700,"Liberty, NY",0,175,0,0,Liberty village
NY,3645018,Manlius,incorporated,47,A,4662,"Manlius, NY",0,176,0,0,Manlius village
NY,3642741,Little Falls,incorporated,25,A,4605,"Little Falls, NY",0,177,0,0,Little Falls city
NY,3679092,Wellsville,incorporated,47,A,4587,"Wellsville, NY",0,178,0,0,Wellsville village
NY,3612188,Canastota,incorporated,47,A,4556,"Canastota, NY",0,179,0,0,Canastota village
NY,3646536,Menands,incorporated,47,A,4554,"Menands, NY",0,180,0,0,Menands village
