stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
OH,3918000,Columbus,incorporated,25,A,905748,"Columbus, OH",0,1,87,0.348,Columbus city
OH,3916000,Cleveland,incorporated,25,A,372624,"Cleveland, OH",0,2,24,0.096,Cleveland city
OH,3915000,Cincinnati,incorporated,25,A,309317,"Cincinnati, OH",0,3,15,0.06,Cincinnati city
OH,3977000,Toledo,incorporated,25,A,270871,"Toledo, OH",0,4,10,0.04,Toledo city
OH,3901000,Akron,incorporated,25,A,190469,"Akron, OH",0,5,9,0.036,Akron city
OH,3921000,Dayton,incorporated,25,A,137644,"Dayton, OH",0,6,6,0.024,Dayton city
OH,3961000,Parma,incorporated,25,A,81146,"Parma, OH",0,7,5,0.02,Parma city
OH,3912000,Canton,incorporated,25,A,70872,"Canton, OH",0,8,4,0.016,Canton city
OH,3944856,Lorain,incorporated,25,A,65211,"Lorain, OH",0,9,5,0.02,Lorain city
OH,3933012,Hamilton,incorporated,25,A,63399,"Hamilton, OH",0,10,3,0.012,Hamilton city
OH,3988000,Youngstown,incorporated,25,A,60068,"Youngstown, OH",0,11,4,0.016,Youngstown city
OH,3974118,Springfield,incorporated,25,A,58662,"Springfield, OH",0,12,4,0.016,Springfield city
OH,3940040,Kettering,incorporated,25,A,57862,"Kettering, OH",0,13,2,0.008,Kettering city
OH,3925256,Elyria,incorporated,25,A,52656,"Elyria, OH",0,14,2,0.008,Elyria city
OH,3919778,Cuyahoga Falls,incorporated,25,A,51114,"Cuyahoga Falls, OH",0,15,3,0.012,Cuyahoga Falls city
OH,3949840,Middletown,incorporated,25,A,50987,"Middletown, OH",0,16,3,0.012,Middletown city
OH,3941664,Lakewood,incorporated,25,A,50942,"Lakewood, OH",0,17,3,0.012,Lakewood city
OH,3954040,Newark,incorporated,25,A,49934,"Newark, OH",0,18,3,0.012,Newark city
OH,3925704,Euclid,incorporated,25,A,49692,"Euclid, OH",0,19,2,0.008,Euclid city
OH,3922694,Dublin,incorporated,25,A,49328,"Dublin, OH",0,20,1,0.004,Dublin city
OH,3947138,Mansfield,incorporated,25,A,47534,"Mansfield, OH",0,21,1,0.004,Mansfield city
OH,3949056,Mentor,incorporated,25,A,47450,"Mentor, OH",0,22,1,0.004,Mentor city
OH,3904720,Beavercreek,incorporated,25,A,46549,"Beavercreek, OH",0,23,1,0.004,Beavercreek city
OH,3975098,Strongsville,incorporated,25,A,46491,"Strongsville, OH",0,24,1,0.004,Strongsville city
OH,3916014,Cleveland Heights,incorporated,25,A,45312,"Cleveland Heights, OH",0,25,1,0.004,Cleveland Heights city
OH,3925970,Fairfield,incorporated,25,A,44907,"Fairfield, OH",0,26,2,0.008,Fairfield city
OH,3936610,Huber Heights,incorporated,25,A,43439,"Huber Heights, OH",0,27,2,0.008,Huber Heights city
OH,3921434,Delaware,incorporated,25,A,41302,"Delaware, OH",0,28,2,0.008,Delaware city
OH,3932592,Grove City,incorporated,25,A,41252,"Grove City, OH",0,29,2,0.008,Grove City city
OH,3966390,Reynoldsburg,incorporated,25,A,41076,"Reynoldsburg, OH",0,30,2,0.008,Reynoldsburg city
OH,3941720,Lancaster,incorporated,25,A,40552,"Lancaster, OH",0,31,2,0.008,Lancaster city
OH,3927048,Findlay,incorporated,25,A,40313,"Findlay, OH",0,32,2,0.008,Findlay city
OH,3980892,Warren,incorporated,25,A,39201,"Warren, OH",0,33,2,0.008,Warren city
OH,3983342,Westerville,incorporated,25,A,39190,"Westerville, OH",0,34,2,0.008,Westerville city
OH,3935476,Hilliard,incorporated,25,A,37114,"Hilliard, OH",0,35,2,0.008,Hilliard city
OH,3979002,Upper Arlington,incorporated,25,A,36800,"Upper Arlington, OH",0,36,2,0.008,Upper Arlington city
OH,3947754,Marion,incorporated,25,A,35999,"Marion, OH",0,37,2,0.008,Marion city
OH,3929106,Gahanna,incorporated,25,A,35726,"Gahanna, OH",0,38,2,0.008,Gahanna city
OH,3943554,Lima,incorporated,25,A,35579,"Lima, OH",0,39,2,0.008,Lima city
OH,3909680,Brunswick,incorporated,25,A,35426,"Brunswick, OH",0,40,2,0.008,Brunswick city
OH,3956966,North Ridgeville,incorporated,25,A,35280,"North Ridgeville, OH",0,41,2,0.008,North Ridgeville city
OH,3948188,Mason,incorporated,25,A,34792,"Mason, OH",0,42,2,0.008,Mason city
OH,3925914,Fairborn,incorporated,25,A,34510,"Fairborn, OH",0,43,2,0.008,Fairborn city
OH,3974944,Stow,incorporated,25,A,34483,"Stow, OH",0,44,2,0.008,Stow city
OH,3983622,Westlake,incorporated,25,A,34228,"Westlake, OH",0,45,1,0.004,Westlake city
OH,3956882,North Olmsted,incorporated,25,A,32442,"North Olmsted, OH",0,46,1,0.004,North Olmsted city
OH,3948244,Massillon,incorporated,25,A,32146,"Massillon, OH",0,47,1,0.004,Massillon city
OH,3957008,North Royalton,incorporated,25,A,31322,"North Royalton, OH",0,48,1,0.004,North Royalton city
OH,3907972,Bowling Green,incorporated,25,A,30808,"Bowling Green, OH",0,49,1,0.004,Bowling Green city
OH,3929428,Garfield Heights,incorporated,25,A,29781,"Garfield Heights, OH",0,50,1,0.004,Garfield Heights city
OH,3971682,Shaker Heights,incorporated,25,A,29439,"Shaker Heights, OH",0,51,1,0.004,Shaker Heights city
OH,3939872,Kent,incorporated,25,A,28215,"Kent, OH",0,52,1,0.004,Kent city
OH,3931860,Green,incorporated,25,A,27475,"Green, OH",0,53,1,0.004,Green city
OH,3986548,Wooster,incorporated,25,A,27232,"Wooster, OH",0,54,1,0.004,Wooster city
OH,3977588,Troy,incorporated,25,A,26305,"Troy, OH",0,55,1,0.004,Troy city
OH,3948790,Medina,incorporated,25,A,26094,"Medina, OH",0,56,1,0.004,Medina city
OH,3948160,Marysville,incorporated,25,A,25571,"Marysville, OH",0,57,0,0,Marysville city
OH,3986772,Xenia,incorporated,25,A,25441,"Xenia, OH",0,58,0,0,Xenia city
OH,3903464,Avon Lake,incorporated,25,A,25206,"Avon Lake, OH",0,59,0,0,Avon Lake city
OH,3903828,Barberton,incorporated,25,A,25191,"Barberton, OH",0,60,0,0,Barberton city
OH,3970380,Sandusky,incorporated,25,A,25095,"Sandusky, OH",0,61,0,0,Sandusky city
OH,3962148,Perrysburg,incorporated,25,A,25041,"Perrysburg, OH",0,62,0,0,Perrysburg city
OH,3903352,Avon,incorporated,25,A,24847,"Avon, OH",0,63,0,0,Avon city
OH,3988084,Zanesville,incorporated,25,A,24765,"Zanesville, OH",0,64,0,0,Zanesville city
OH,3967468,Riverside,incorporated,25,A,24474,"Riverside, OH",0,65,0,0,Riverside city
OH,3972928,Solon,incorporated,25,A,24262,"Solon, OH",0,66,0,0,Solon city
OH,3913190,Centerville,incorporated,25,A,24240,"Centerville, OH",0,67,0,0,Centerville city
OH,3980304,Wadsworth,incorporated,25,A,24007,"Wadsworth, OH",0,68,0,0,Wadsworth city
OH,3985484,Willoughby,incorporated,25,A,23959,"Willoughby, OH",0,69,0,0,Willoughby city
OH,3902736,Athens,incorporated,25,A,23849,"Athens, OH",0,70,0,0,Athens city
OH,3947306,Maple Heights,incorporated,25,A,23701,"Maple Heights, OH",0,71,0,0,Maple Heights city
OH,3936651,Hudson,incorporated,25,A,23110,"Hudson, OH",0,72,0,0,Hudson city
OH,3962498,Pickerington,incorporated,25,A,23094,"Pickerington, OH",0,73,0,0,Pickerington city
OH,3977504,Trotwood,incorporated,25,A,23070,"Trotwood, OH",0,74,0,0,Trotwood city
OH,3959234,Oxford,incorporated,25,A,23035,"Oxford, OH",0,75,0,0,Oxford city
OH,3914184,Chillicothe,incorporated,25,A,22059,"Chillicothe, OH",0,76,0,0,Chillicothe city
OH,3973264,South Euclid,incorporated,25,A,21883,"South Euclid, OH",0,77,0,0,South Euclid city
OH,3968056,Rocky River,incorporated,25,A,21755,"Rocky River, OH",0,78,0,0,Rocky River city
OH,3901420,Alliance,incorporated,25,A,21672,"Alliance, OH",0,79,0,0,Alliance city
OH,3961028,Parma Heights,incorporated,25,A,20863,"Parma Heights, OH",0,80,0,0,Parma Heights city
OH,3942364,Lebanon,incorporated,25,A,20841,"Lebanon, OH",0,81,0,0,Lebanon city
