stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
OK,4055000,Oklahoma City,incorporated,25,A,681054,"Oklahoma City, OK",0,1,88,0.352,Oklahoma City city
OK,4075000,Tulsa,incorporated,25,A,413066,"Tulsa, OK",0,2,26,0.104,Tulsa city
OK,4052500,Norman,incorporated,25,A,128026,"Norman, OK",0,3,16,0.064,Norman city
OK,4009050,Broken Arrow,incorporated,25,A,113540,"Broken Arrow, OK",0,4,10,0.04,Broken Arrow city
OK,4023200,Edmond,incorporated,25,A,94428,"Edmond, OK",0,5,9,0.036,Edmond city
OK,4041850,Lawton,incorporated,25,A,90381,"Lawton, OK",0,6,6,0.024,Lawton city
OK,4049200,Moore,incorporated,25,A,62793,"Moore, OK",0,7,5,0.02,Moore city
OK,4048350,Midwest City,incorporated,25,A,58409,"Midwest City, OK",0,8,4,0.016,Midwest City city
OK,4023950,Enid,incorporated,25,A,51308,"Enid, OK",0,9,5,0.02,Enid city
OK,4070300,Stillwater,incorporated,25,A,48394,"Stillwater, OK",0,10,3,0.012,Stillwater city
OK,4056650,Owasso,incorporated,25,A,38240,"Owasso, OK",0,11,4,0.016,Owasso city
OK,4004450,Bartlesville,incorporated,25,A,37290,"Bartlesville, OK",0,12,4,0.016,Bartlesville city
OK,4050050,Muskogee,incorporated,25,A,36878,"Muskogee, OK",0,13,2,0.008,Muskogee city
OK,4066800,Shawnee,incorporated,25,A,31377,"Shawnee, OK",0,14,2,0.008,Shawnee city
OK,4006400,Bixby,incorporated,25,A,28609,"Bixby, OK",0,15,3,0.012,Bixby city
OK,4037800,Jenks,incorporated,25,A,25949,"Jenks, OK",0,16,3,0.012,Jenks city
OK,4002600,Ardmore,incorporated,25,A,24725,"Ardmore, OK",0,17,3,0.012,Ardmore city
OK,4059850,Ponca City,incorporated,25,A,24424,"Ponca City, OK",0,18,3,0.012,Ponca City city
OK,4082950,Yukon,incorporated,25,A,23630,"Yukon, OK",0,19,2,0.008,Yukon city
OK,4021900,Duncan,incorporated,25,A,22692,"Duncan, OK",0,20,1,0.004,Duncan city
OK,4065400,Sapulpa,incorporated,25,A,21929,"Sapulpa, OK",0,21,1,0.004,Sapulpa city
OK,4019900,Del City,incorporated,25,A,21822,"Del City, OK",0,22,1,0.004,Del City city
OK,4005700,Bethany,incorporated,25,A,20831,"Bethany, OK",0,23,1,0.004,Bethany city
OK,4050100,Mustang,incorporated,25,A,19879,"Mustang, OK",0,24,1,0.004,Mustang city
OK,4065300,Sand Springs,incorporated,25,A,19874,"Sand Springs, OK",0,25,1,0.004,Sand Springs city
OK,4014700,Claremore,incorporated,25,A,19580,"Claremore, OK",0,26,2,0.008,Claremore city
OK,4001700,Altus,incorporated,25,A,18729,"Altus, OK",0,27,2,0.008,Altus city
OK,4022050,Durant,incorporated,25,A,18589,"Durant, OK",0,28,2,0.008,Durant city
OK,4044800,McAlester,incorporated,25,A,18171,"McAlester, OK",0,29,2,0.008,McAlester city
OK,4023700,El Reno,incorporated,25,A,16989,"El Reno, OK",0,30,2,0.008,El Reno city
OK,4000200,Ada,incorporated,25,A,16481,"Ada, OK",0,31,2,0.008,Ada city
OK,4072100,Tahlequah,incorporated,25,A,16209,"Tahlequah, OK",0,32,2,0.008,Tahlequah city
OK,4013950,Chickasha,incorporated,25,A,16051,"Chickasha, OK",0,33,2,0.008,Chickasha city
OK,4029600,Glenpool,incorporated,25,A,13691,"Glenpool, OK",0,34,2,0.008,Glenpool city
OK,4048000,Miami,incorporated,25,A,12969,"Miami, OK",0,35,2,0.008,Miami city
OK,4031750,Guymon,incorporated,25,A,12965,"Guymon, OK",0,36,2,0.008,Guymon city
OK,4014200,Choctaw,incorporated,25,A,12182,"Choctaw, OK",0,37,2,0.008,Choctaw city
OK,4082150,Woodward,incorporated,25,A,12133,"Woodward, OK",0,38,2,0.008,Woodward city
OK,4079450,Weatherford,incorporated,25,A,12076,"Weatherford, OK",0,39,2,0.008,Weatherford city
OK,4023500,Elk City,incorporated,25,A,11561,"Elk City, OK",0,40,2,0.008,Elk City city
OK,4055150,Okmulgee,incorporated,25,A,11322,"Okmulgee, OK",0,41,2,0.008,Okmulgee city
OK,4051150,Newcastle,incorporated,25,A,10984,"Newcastle, OK",0,42,2,0.008,Newcastle city
OK,4031700,Guthrie,incorporated,25,A,10749,"Guthrie, OK",0,43,2,0.008,Guthrie city
OK,4078500,Warr Acres,incorporated,25,A,10452,"Warr Acres, OK",0,44,2,0.008,Warr Acres city
OK,4017800,Coweta,incorporated,25,A,9654,"Coweta, OK",0,45,2,0.008,Coweta city
OK,4073250,The Village,incorporated,25,A,9538,"The Village, OK",0,46,1,0.004,The Village city
OK,4061000,Pryor Creek,incorporated,25,A,9444,"Pryor Creek, OK",0,47,1,0.004,Pryor Creek city
OK,4006700,Blanchard,incorporated,25,A,8879,"Blanchard, OK",0,48,1,0.004,Blanchard city
OK,4060350,Poteau,incorporated,25,A,8807,"Poteau, OK",0,49,1,0.004,Poteau city
OK,4015400,Clinton,incorporated,25,A,8521,"Clinton, OK",0,50,1,0.004,Clinton city
OK,4065000,Sallisaw,incorporated,25,A,8510,"Sallisaw, OK",0,51,1,0.004,Sallisaw city
OK,4067850,Skiatook,incorporated,25,A,8450,"Skiatook, OK",0,52,0,0,Skiatook city
OK,4018850,Cushing,incorporated,25,A,8327,"Cushing, OK",0,53,0,0,Cushing city
OK,4016350,Collinsville,incorporated,25,A,7881,"Collinsville, OK",0,54,0,0,Collinsville city
OK,4077850,Wagoner,incorporated,25,A,7621,"Wagoner, OK",0,55,0,0,Wagoner city
OK,4012900,Catoosa,incorporated,25,A,7440,"Catoosa, OK",0,56,0,0,Catoosa city
OK,4075450,Tuttle,incorporated,25,A,7413,"Tuttle, OK",0,57,0,0,Tuttle city
OK,4058700,Piedmont,incorporated,25,A,7402,"Piedmont, OK",0,58,0,0,Piedmont city
OK,4066350,Seminole,incorporated,25,A,7146,"Seminole, OK",0,59,0,0,Seminole city
OK,4052150,Noble,incorporated,25,A,6985,"Noble, OK",0,60,0,0,Noble city
OK,4036750,Idabel,incorporated,25,A,6961,"Idabel, OK",0,61,0,0,Idabel city
OK,4031600,Grove,incorporated,25,A,6956,"Grove, OK",0,62,0,0,Grove city
OK,4061150,Purcell,incorporated,25,A,6651,"Purcell, OK",0,63,0,0,Purcell city
OK,4072650,Tecumseh,incorporated,25,A,6302,"Tecumseh, OK",0,64,0,0,Tecumseh city
OK,4032750,Harrah,incorporated,25,A,6245,"Harrah, OK",0,65,0,0,Harrah city
OK,4006600,Blackwell,incorporated,25,A,6085,"Blackwell, OK",0,66,0,0,Blackwell city
OK,4057550,Pauls Valley,incorporated,25,A,5992,"Pauls Valley, OK",0,67,0,0,Pauls Valley city
OK,4035400,Holdenville,incorporated,25,A,5934,"Holdenville, OK",0,68,0,0,Holdenville city
OK,4002050,Anadarko,incorporated,25,A,5745,"Anadarko, OK",0,69,0,0,Anadarko city
OK,4033750,Henryetta,incorporated,25,A,5640,"Henryetta, OK",0,70,0,0,Henryetta city
OK,4077050,Verdigris,incorporated,43,A,5256,"Verdigris, OK",0,71,0,0,Verdigris town
OK,4077550,Vinita,incorporated,25,A,5193,"Vinita, OK",0,72,0,0,Vinita city
OK,4036300,Hugo,incorporated,25,A,5166,"Hugo, OK",0,73,0,0,Hugo city
OK,4071350,Sulphur,incorporated,25,A,5065,"Sulphur, OK",0,74,0,0,Sulphur city
OK,4001800,Alva,incorporated,25,A,5028,"Alva, OK",0,75,0,0,Alva city
OK,4043750,Lone Grove,incorporated,25,A,4993,"Lone Grove, OK",0,76,0,0,Lone Grove city
OK,4034750,Hinton,incorporated,43,A,4917,"Hinton, OK",0,77,0,0,Hinton town
OK,4039850,Kingfisher,incorporated,25,A,4903,"Kingfisher, OK",0,78,0,0,Kingfisher city
