stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
OR,4159000,Portland,incorporated,25,A,652503,"Portland, OR",0,1,67,0.268,Portland city
OR,4123850,Eugene,incorporated,25,A,176654,"Eugene, OR",0,2,28,0.112,Eugene city
OR,4164900,Salem,incorporated,25,A,175535,"Salem, OR",0,3,27,0.108,Salem city
OR,4131250,Gresham,incorporated,25,A,114247,"Gresham, OR",0,4,13,0.052,Gresham city
OR,4134100,Hillsboro,incorporated,25,A,106447,"Hillsboro, OR",0,5,9,0.036,Hillsboro city
OR,4105800,Bend,incorporated,25,A,99178,"Bend, OR",0,6,7,0.028,Bend city
OR,4105350,Beaverton,incorporated,25,A,97494,"Beaverton, OR",0,7,7,0.028,Beaverton city
OR,4147000,Medford,incorporated,25,A,85824,"Medford, OR",0,8,5,0.02,Medford city
OR,4169600,Springfield,incorporated,25,A,61851,"Springfield, OR",0,9,4,0.016,Springfield city
OR,4115800,Corvallis,incorporated,25,A,59922,"Corvallis, OR",0,10,5,0.02,Corvallis city
OR,4101000,Albany,incorporated,25,A,56472,"Albany, OR",0,11,3,0.012,Albany city
OR,4173650,Tigard,incorporated,25,A,54539,"Tigard, OR",0,12,3,0.012,Tigard city
OR,4140550,Lake Oswego,incorporated,25,A,40731,"Lake Oswego, OR",0,13,4,0.016,Lake Oswego city
OR,4138500,Keizer,incorporated,25,A,39376,"Keizer, OR",0,14,2,0.008,Keizer city
OR,4130550,Grants Pass,incorporated,25,A,39189,"Grants Pass, OR",0,15,2,0.008,Grants Pass city
OR,4155200,Oregon City,incorporated,25,A,37572,"Oregon City, OR",0,16,2,0.008,Oregon City city
OR,4145000,McMinnville,incorporated,25,A,34319,"McMinnville, OR",0,17,3,0.012,McMinnville city
OR,4161200,Redmond,incorporated,25,A,33274,"Redmond, OR",0,18,3,0.012,Redmond city
OR,4174950,Tualatin,incorporated,25,A,27942,"Tualatin, OR",0,19,3,0.012,Tualatin city
OR,4180150,West Linn,incorporated,25,A,27373,"West Linn, OR",0,20,3,0.012,West Linn city
OR,4182800,Wilsonville,incorporated,25,A,26664,"Wilsonville, OR",0,21,2,0.008,Wilsonville city
OR,4126200,Forest Grove,incorporated,25,A,26225,"Forest Grove, OR",0,22,1,0.004,Forest Grove city
OR,4183750,Woodburn,incorporated,25,A,26013,"Woodburn, OR",0,23,1,0.004,Woodburn city
OR,4152100,Newberg,incorporated,25,A,25138,"Newberg, OR",0,24,1,0.004,Newberg city
OR,4132050,Happy Valley,incorporated,25,A,23733,"Happy Valley, OR",0,25,1,0.004,Happy Valley city
OR,4163650,Roseburg,incorporated,25,A,23683,"Roseburg, OR",0,26,1,0.004,Roseburg city
OR,4139700,Klamath Falls,incorporated,25,A,21813,"Klamath Falls, OR",0,27,1,0.004,Klamath Falls city
OR,4103050,Ashland,incorporated,25,A,21360,"Ashland, OR",0,28,1,0.004,Ashland city
OR,4148650,Milwaukie,incorporated,25,A,21119,"Milwaukie, OR",0,29,1,0.004,Milwaukie city
OR,4167100,Sherwood,incorporated,25,A,20450,"Sherwood, OR",0,30,2,0.008,Sherwood city
OR,4133700,Hermiston,incorporated,25,A,19354,"Hermiston, OR",0,31,2,0.008,Hermiston city
OR,4112400,Central Point,incorporated,25,A,18997,"Central Point, OR",0,32,2,0.008,Central Point city
OR,4141650,Lebanon,incorporated,25,A,18447,"Lebanon, OR",0,33,2,0.008,Lebanon city
OR,4110750,Canby,incorporated,25,A,18171,"Canby, OR",0,34,2,0.008,Canby city
OR,4157150,Pendleton,incorporated,25,A,17107,"Pendleton, OR",0,35,2,0.008,Pendleton city
OR,4117700,Dallas,incorporated,25,A,16854,"Dallas, OR",0,36,2,0.008,Dallas city
OR,4174850,Troutdale,incorporated,25,A,16300,"Troutdale, OR",0,37,2,0.008,Troutdale city
OR,4172950,The Dalles,incorporated,25,A,16010,"The Dalles, OR",0,38,2,0.008,The Dalles city
OR,4115250,Coos Bay,incorporated,25,A,15985,"Coos Bay, OR",0,39,2,0.008,Coos Bay city
OR,4164600,St. Helens,incorporated,25,A,13817,"St. Helens, OR",0,40,2,0.008,St. Helens city
OR,4140350,La Grande,incorporated,25,A,13026,"La Grande, OR",0,41,2,0.008,La Grande city
OR,4115550,Cornelius,incorporated,25,A,12694,"Cornelius, OR",0,42,2,0.008,Cornelius city
OR,4165250,Sandy,incorporated,25,A,12612,"Sandy, OR",0,43,2,0.008,Sandy city
OR,4129000,Gladstone,incorporated,25,A,12017,"Gladstone, OR",0,44,2,0.008,Gladstone city
OR,4154900,Ontario,incorporated,25,A,11645,"Ontario, OR",0,45,2,0.008,Ontario city
OR,4149550,Monmouth,incorporated,25,A,11110,"Monmouth, OR",0,46,2,0.008,Monmouth city
OR,4159850,Prineville,incorporated,25,A,10736,"Prineville, OR",0,47,2,0.008,Prineville city
OR,4115950,Cottage Grove,incorporated,25,A,10574,"Cottage Grove, OR",0,48,2,0.008,Cottage Grove city
OR,4167650,Silverton,incorporated,25,A,10484,"Silverton, OR",0,49,1,0.004,Silverton city
OR,4124250,Fairview,incorporated,25,A,10424,"Fairview, OR",0,50,1,0.004,Fairview city
OR,4153000,North Bend,incorporated,25,A,10317,"North Bend, OR",0,51,0,0,North Bend city
OR,4152450,Newport,incorporated,25,A,10256,"Newport, OR",0,52,0,0,Newport city
OR,4149450,Molalla,incorporated,25,A,10228,"Molalla, OR",0,53,0,0,Molalla city
OR,4103150,Astoria,incorporated,25,A,10181,"Astoria, OR",0,54,0,0,Astoria city
OR,4103650,Baker City,incorporated,25,A,10099,"Baker City, OR",0,55,0,0,Baker City city
OR,4136150,Independence,incorporated,25,A,9828,"Independence, OR",0,56,0,0,Independence city
OR,4171950,Sweet Home,incorporated,25,A,9828,"Sweet Home, OR",0,57,0,0,Sweet Home city
OR,4142600,Lincoln City,incorporated,25,A,9815,"Lincoln City, OR",0,58,0,0,Lincoln City city
OR,4121550,Eagle Point,incorporated,25,A,9686,"Eagle Point, OR",0,59,0,0,Eagle Point city
OR,4126050,Florence,incorporated,25,A,9396,"Florence, OR",0,60,0,0,Florence city
OR,4171650,Sutherlin,incorporated,25,A,8524,"Sutherlin, OR",0,61,0,0,Sutherlin city
OR,4134900,Hood River,incorporated,25,A,8313,"Hood River, OR",0,62,0,0,Hood River city
OR,4170200,Stayton,incorporated,25,A,8244,"Stayton, OR",0,63,0,0,Stayton city
OR,4165500,Scappoose,incorporated,25,A,8010,"Scappoose, OR",0,64,0,0,Scappoose city
OR,4145250,Madras,incorporated,25,A,7456,"Madras, OR",0,65,0,0,Madras city
OR,4175650,Umatilla,incorporated,25,A,7363,"Umatilla, OR",0,66,0,0,Umatilla city
OR,4148600,Milton-Freewater,incorporated,25,A,7151,"Milton-Freewater, OR",0,67,0,0,Milton-Freewater city
OR,4165950,Seaside,incorporated,25,A,7115,"Seaside, OR",0,68,0,0,Seaside city
OR,4138000,Junction City,incorporated,25,A,6787,"Junction City, OR",0,69,0,0,Junction City city
OR,4108650,Brookings,incorporated,25,A,6744,"Brookings, OR",0,70,0,0,Brookings city
