stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
PA,4260000,Philadelphia,incorporated,25,A,1603797,"Philadelphia, PA",0,1,65,0.26,Philadelphia city
PA,4261000,Pittsburgh,incorporated,25,A,302971,"Pittsburgh, PA",0,2,28,0.112,Pittsburgh city
PA,4202000,Allentown,incorporated,25,A,125845,"Allentown, PA",0,3,16,0.064,Allentown city
PA,4263624,Reading,incorporated,25,A,95112,"Reading, PA",0,4,11,0.044,Reading city
PA,4224000,Erie,incorporated,25,A,94831,"Erie, PA",0,5,10,0.04,Erie city
PA,4269000,Scranton,incorporated,25,A,76328,"Scranton, PA",0,6,8,0.032,Scranton city
PA,4206088,Bethlehem,incorporated,25,A,75781,"Bethlehem, PA",0,7,7,0.028,Bethlehem city
PA,4241216,Lancaster,incorporated,25,A,58039,"Lancaster, PA",0,8,6,0.024,Lancaster city
PA,4232800,Harrisburg,incorporated,25,A,50099,"Harrisburg, PA",0,9,6,0.024,Harrisburg city
PA,4287048,York,incorporated,25,A,44800,"York, PA",0,10,5,0.02,York city
PA,4285152,Wilkes-Barre,incorporated,25,A,44328,"Wilkes-Barre, PA",0,11,3,0.012,Wilkes-Barre city
PA,4202184,Altoona,incorporated,25,A,43963,"Altoona, PA",0,12,4,0.016,Altoona city
PA,4273808,State College,incorporated,21,A,40501,"State College, PA",0,13,4,0.016,State College borough
PA,4254656,Norristown,incorporated,21,A,35748,"Norristown, PA",0,14,2,0.008,Norristown borough
PA,4206064,Bethel Park,incorporated,37,A,33577,"Bethel Park, PA",0,15,2,0.008,Bethel Park municipality
PA,4213208,Chester,incorporated,25,A,32605,"Chester, PA",0,16,3,0.012,Chester city
PA,4233408,Hazleton,incorporated,25,A,29963,"Hazleton, PA",0,17,3,0.012,Hazleton city
PA,4250528,Monroeville,incorporated,37,A,28640,"Monroeville, PA",0,18,3,0.012,Monroeville municipality
PA,4221648,Easton,incorporated,25,A,28127,"Easton, PA",0,19,3,0.012,Easton city
PA,4285312,Williamsport,incorporated,25,A,27754,"Williamsport, PA",0,20,3,0.012,Williamsport city
PA,4261536,Plum,incorporated,21,A,27144,"Plum, PA",0,21,2,0.008,Plum borough
PA,4242168,Lebanon,incorporated,25,A,26814,"Lebanon, PA",0,22,1,0.004,Lebanon city
PA,4262416,Pottstown,incorporated,21,A,23433,"Pottstown, PA",0,23,1,0.004,Pottstown borough
PA,4253368,New Castle,incorporated,25,A,21926,"New Castle, PA",0,24,1,0.004,New Castle city
PA,4212536,Chambersburg,incorporated,21,A,21903,"Chambersburg, PA",0,25,1,0.004,Chambersburg borough
PA,4203928,Baldwin,incorporated,21,A,21510,"Baldwin, PA",0,26,1,0.004,Baldwin borough
PA,4252432,Murrysville,incorporated,37,A,21006,"Murrysville, PA",0,27,1,0.004,Murrysville municipality
PA,4211272,Carlisle,incorporated,21,A,20118,"Carlisle, PA",0,28,2,0.008,Carlisle borough
PA,4283512,West Mifflin,incorporated,21,A,19589,"West Mifflin, PA",0,29,2,0.008,West Mifflin borough
PA,4241432,Lansdale,incorporated,21,A,18773,"Lansdale, PA",0,30,2,0.008,Lansdale borough
PA,4282704,West Chester,incorporated,21,A,18671,"West Chester, PA",0,31,2,0.008,West Chester borough
PA,4260120,Phoenixville,incorporated,21,A,18602,"Phoenixville, PA",0,32,2,0.008,Phoenixville borough
PA,4238288,Johnstown,incorporated,25,A,18411,"Johnstown, PA",0,33,2,0.008,Johnstown city
PA,4246256,McKeesport,incorporated,25,A,17727,"McKeesport, PA",0,34,2,0.008,McKeesport city
PA,4232448,Hanover,incorporated,21,A,16429,"Hanover, PA",0,35,2,0.008,Hanover borough
PA,4234064,Hermitage,incorporated,25,A,16230,"Hermitage, PA",0,36,2,0.008,Hermitage city
PA,4227552,Franklin Park,incorporated,21,A,15479,"Franklin Park, PA",0,37,2,0.008,Franklin Park borough
PA,4284512,Whitehall,incorporated,21,A,15064,"Whitehall, PA",0,38,2,0.008,Whitehall borough
PA,4231200,Greensburg,incorporated,25,A,14976,"Greensburg, PA",0,39,2,0.008,Greensburg city
