stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
SD,4659020,Sioux Falls,incorporated,25,A,192517,"Sioux Falls, SD",0,1,69,0.276,Sioux Falls city
SD,4652980,Rapid City,incorporated,25,A,74703,"Rapid City, SD",0,2,30,0.12,Rapid City city
SD,4600100,Aberdeen,incorporated,25,A,28495,"Aberdeen, SD",0,3,17,0.068,Aberdeen city
SD,4607580,Brookings,incorporated,25,A,23377,"Brookings, SD",0,4,12,0.048,Brookings city
SD,4669300,Watertown,incorporated,25,A,22655,"Watertown, SD",0,5,9,0.036,Watertown city
SD,4643100,Mitchell,incorporated,25,A,15660,"Mitchell, SD",0,6,7,0.028,Mitchell city
SD,4673060,Yankton,incorporated,25,A,15411,"Yankton, SD",0,7,7,0.028,Yankton city
SD,4631060,Huron,incorporated,25,A,14263,"Huron, SD",0,8,5,0.02,Huron city
SD,4649600,Pierre,incorporated,25,A,14091,"Pierre, SD",0,9,8,0.032,Pierre city
SD,4660020,Spearfish,incorporated,25,A,12193,"Spearfish, SD",0,10,5,0.02,Spearfish city
SD,4606620,Box Elder,incorporated,25,A,11746,"Box Elder, SD",0,11,3,0.012,Box Elder city
SD,4666700,Vermillion,incorporated,25,A,11695,"Vermillion, SD",0,12,3,0.012,Vermillion city
SD,4606840,Brandon,incorporated,25,A,11048,"Brandon, SD",0,13,4,0.016,Brandon city
SD,4662100,Sturgis,incorporated,25,A,7020,"Sturgis, SD",0,14,3,0.012,Sturgis city
SD,4627260,Harrisburg,incorporated,25,A,6732,"Harrisburg, SD",0,15,2,0.008,Harrisburg city
SD,4640220,Madison,incorporated,25,A,6191,"Madison, SD",0,16,2,0.008,Madison city
SD,4604380,Belle Fourche,incorporated,25,A,5617,"Belle Fourche, SD",0,17,3,0.012,Belle Fourche city
SD,4663100,Tea,incorporated,25,A,5598,"Tea, SD",0,18,3,0.012,Tea city
SD,4615980,Dell Rapids,incorporated,25,A,3996,"Dell Rapids, SD",0,19,3,0.012,Dell Rapids city
SD,4642260,Milbank,incorporated,25,A,3544,"Milbank, SD",0,20,3,0.012,Milbank city
SD,4630220,Hot Springs,incorporated,25,A,3395,"Hot Springs, SD",0,21,3,0.012,Hot Springs city
SD,4627540,Hartford,incorporated,25,A,3354,"Hartford, SD",0,22,1,0.004,Hartford city
SD,4643180,Mobridge,incorporated,25,A,3261,"Mobridge, SD",0,23,1,0.004,Mobridge city
SD,4609500,Canton,incorporated,25,A,3066,"Canton, SD",0,24,1,0.004,Canton city
SD,4645700,North Sioux City,incorporated,25,A,3042,"North Sioux City, SD",0,25,1,0.004,North Sioux City city
SD,4636220,Lead,incorporated,25,A,2982,"Lead, SD",0,26,1,0.004,Lead city
SD,4662155,Summerset,incorporated,25,A,2972,"Summerset, SD",0,27,1,0.004,Summerset city
SD,4672180,Winner,incorporated,25,A,2921,"Winner, SD",0,28,1,0.004,Winner city
SD,4659260,Sisseton,incorporated,25,A,2479,"Sisseton, SD",0,29,1,0.004,Sisseton city
SD,4611220,Chamberlain,incorporated,25,A,2473,"Chamberlain, SD",0,30,2,0.008,Chamberlain city
SD,4636380,Lennox,incorporated,25,A,2423,"Lennox, SD",0,31,2,0.008,Lennox city
SD,4621540,Flandreau,incorporated,25,A,2372,"Flandreau, SD",0,32,2,0.008,Flandreau city
SD,4653460,Redfield,incorporated,25,A,2214,"Redfield, SD",0,33,2,0.008,Redfield city
SD,4604980,Beresford,incorporated,25,A,2180,"Beresford, SD",0,34,2,0.008,Beresford city
SD,4618620,Elk Point,incorporated,25,A,2149,"Elk Point, SD",0,35,2,0.008,Elk Point city
SD,4622260,Fort Pierre,incorporated,25,A,2115,"Fort Pierre, SD",0,36,1,0.004,Fort Pierre city
SD,4667700,Volga,incorporated,25,A,2113,"Volga, SD",0,37,2,0.008,Volga city
SD,4615140,Custer,incorporated,25,A,1919,"Custer, SD",0,38,2,0.008,Custer city
SD,4660660,Springfield,incorporated,25,A,1914,"Springfield, SD",0,39,2,0.008,Springfield city
SD,4669780,Webster,incorporated,25,A,1728,"Webster, SD",0,40,2,0.008,Webster city
SD,4648460,Parkston,incorporated,25,A,1567,"Parkston, SD",0,41,2,0.008,Parkston city
SD,4668020,Wagner,incorporated,25,A,1490,"Wagner, SD",0,42,2,0.008,Wagner city
SD,4626340,Groton,incorporated,25,A,1380,"Groton, SD",0,43,2,0.008,Groton city
SD,4614740,Crooks,incorporated,25,A,1362,"Crooks, SD",0,44,2,0.008,Crooks city
SD,4642460,Miller,incorporated,25,A,1349,"Miller, SD",0,45,2,0.008,Miller city
SD,4623020,Freeman,incorporated,25,A,1329,"Freeman, SD",0,46,2,0.008,Freeman city
SD,4657340,Salem,incorporated,25,A,1325,"Salem, SD",0,47,2,0.008,Salem city
SD,4650260,Platte,incorporated,25,A,1296,"Platte, SD",0,48,2,0.008,Platte city
SD,4617620,Eagle Butte,incorporated,25,A,1258,"Eagle Butte, SD",0,49,2,0.008,Eagle Butte city
SD,4603380,Baltic,incorporated,25,A,1246,"Baltic, SD",0,50,2,0.008,Baltic city
SD,4623820,Garretson,incorporated,25,A,1228,"Garretson, SD",0,51,0,0,Garretson city
SD,4626180,Gregory,incorporated,25,A,1221,"Gregory, SD",0,52,0,0,Gregory city
SD,4612540,Clear Lake,incorporated,25,A,1218,"Clear Lake, SD",0,53,0,0,Clear Lake city
SD,4607380,Britton,incorporated,25,A,1215,"Britton, SD",0,54,0,0,Britton city
SD,4648380,Parker,incorporated,25,A,1194,"Parker, SD",0,55,0,0,Parker city
SD,4636340,Lemmon,incorporated,25,A,1160,"Lemmon, SD",0,56,0,0,Lemmon city
SD,4615700,Deadwood,incorporated,25,A,1156,"Deadwood, SD",0,57,0,0,Deadwood city
SD,4642940,Mission,incorporated,25,A,1156,"Mission, SD",0,58,0,0,Mission city
SD,4612180,Clark,incorporated,25,A,1148,"Clark, SD",0,59,0,0,Clark city
SD,4624260,Gettysburg,incorporated,25,A,1104,"Gettysburg, SD",0,60,0,0,Gettysburg city
SD,4664860,Tyndall,incorporated,25,A,1057,"Tyndall, SD",0,61,0,0,Tyndall city
SD,4616260,De Smet,incorporated,25,A,1056,"De Smet, SD",0,62,0,0,De Smet city
SD,4602780,Aurora,incorporated,43,A,1047,"Aurora, SD",0,63,0,0,Aurora town
SD,4649500,Piedmont,incorporated,25,A,971,"Piedmont, SD",0,64,0,0,Piedmont city
SD,4641100,Martin,incorporated,25,A,938,"Martin, SD",0,65,0,0,Martin city
SD,4631860,Ipswich,incorporated,25,A,928,"Ipswich, SD",0,66,0,0,Ipswich city
SD,4672820,Worthing,incorporated,25,A,927,"Worthing, SD",0,67,0,0,Worthing city
SD,4611060,Centerville,incorporated,25,A,918,"Centerville, SD",0,68,0,0,Centerville city
SD,4602180,Arlington,incorporated,25,A,915,"Arlington, SD",0,69,0,0,Arlington city
SD,4666260,Valley Springs,incorporated,25,A,885,"Valley Springs, SD",0,70,0,0,Valley Springs city
SD,4671580,Whitewood,incorporated,25,A,879,"Whitewood, SD",0,71,0,0,Whitewood city
SD,4629100,Hill City,incorporated,25,A,872,"Hill City, SD",0,72,0,0,Hill City city
SD,4640860,Marion,incorporated,25,A,849,"Marion, SD",0,73,0,0,Marion city
SD,4630460,Howard,incorporated,25,A,848,"Howard, SD",0,74,0,0,Howard city
SD,4621260,Faulkton,incorporated,25,A,826,"Faulkton, SD",0,75,0,0,Faulkton city
SD,4600700,Alcester,incorporated,25,A,820,"Alcester, SD",0,76,0,0,Alcester city
SD,4667020,Viborg,incorporated,25,A,814,"Viborg, SD",0,77,0,0,Viborg city
SD,4620180,Eureka,incorporated,25,A,813,"Eureka, SD",0,78,0,0,Eureka city
SD,4657940,Scotland,incorporated,25,A,785,"Scotland, SD",0,79,0,0,Scotland city
SD,4650020,Plankinton,incorporated,25,A,781,"Plankinton, SD",0,80,0,0,Plankinton city
SD,4670220,Wessington Springs,incorporated,25,A,771,"Wessington Springs, SD",0,81,0,0,Wessington Springs city
SD,4649300,Philip,incorporated,25,A,759,"Philip, SD",0,82,0,0,Philip city
SD,4618700,Elkton,incorporated,25,A,755,"Elkton, SD",0,83,0,0,Elkton city
SD,4619980,Estelline,incorporated,25,A,749,"Estelline, SD",0,84,0,0,Estelline city
SD,4613380,Colton,incorporated,25,A,738,"Colton, SD",0,85,0,0,Colton city
SD,4618300,Edgemont,incorporated,25,A,725,"Edgemont, SD",0,86,0,0,Edgemont city
SD,4635100,Lake Andes,incorporated,25,A,710,"Lake Andes, SD",0,87,0,0,Lake Andes city
SD,4668380,Wall,incorporated,43,A,699,"Wall, SD",0,88,0,0,Wall town
SD,4602260,Armour,incorporated,25,A,698,"Armour, SD",0,89,0,0,Armour city
SD,4610500,Castlewood,incorporated,25,A,698,"Castlewood, SD",0,90,0,0,Castlewood city
SD,4628980,Highmore,incorporated,25,A,682,"Highmore, SD",0,91,0,0,Highmore city
SD,4647180,Onida,incorporated,25,A,666,"Onida, SD",0,92,0,0,Onida city
SD,4600820,Alexandria,incorporated,25,A,649,"Alexandria, SD",0,93,0,0,Alexandria city
SD,4613220,Colman,incorporated,25,A,634,"Colman, SD",0,94,0,0,Colman city
SD,4609300,Canistota,incorporated,25,A,631,"Canistota, SD",0,95,0,0,Canistota city
SD,4672700,Woonsocket,incorporated,25,A,631,"Woonsocket, SD",0,96,0,0,Woonsocket city
SD,4641980,Menno,incorporated,25,A,614,"Menno, SD",0,97,0,0,Menno city
SD,4658140,Selby,incorporated,25,A,610,"Selby, SD",0,98,0,0,Selby city
