stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
TN,4752006,Nashville-Davidson metropolitan government (balance),incorporated,00,F,689447,"Nashville-Davidson metropolitan government (balance), TN",0,1,37,0.37,Nashville-Davidson metropolitan government (balance)
TN,4748000,Memphis,incorporated,25,A,633104,"Memphis, TN",0,2,10,0.1,Memphis city
TN,4740000,Knoxville,incorporated,25,A,190740,"Knoxville, TN",0,3,6,0.06,Knoxville city
TN,4714000,Chattanooga,incorporated,25,A,181099,"Chattanooga, TN",0,4,4,0.04,Chattanooga city
TN,4715160,Clarksville,incorporated,25,A,166722,"Clarksville, TN",0,5,3,0.03,Clarksville city
TN,4751560,Murfreesboro,incorporated,25,A,152769,"Murfreesboro, TN",0,6,4,0.04,Murfreesboro city
TN,4727740,Franklin,incorporated,25,A,83454,"Franklin, TN",0,7,2,0.02,Franklin city
TN,4738320,Johnson City,incorporated,25,A,71046,"Johnson City, TN",0,8,3,0.03,Johnson City city
TN,4737640,Jackson,incorporated,25,A,68205,"Jackson, TN",0,9,3,0.03,Jackson city
TN,4733280,Hendersonville,incorporated,25,A,61753,"Hendersonville, TN",0,10,1,0.01,Hendersonville city
TN,4703440,Bartlett,incorporated,25,A,57786,"Bartlett, TN",0,11,1,0.01,Bartlett city
TN,4739560,Kingsport,incorporated,25,A,55442,"Kingsport, TN",0,12,1,0.01,Kingsport city
TN,4769420,Smyrna,incorporated,43,A,53070,"Smyrna, TN",0,13,2,0.02,Smyrna town
TN,4716420,Collierville,incorporated,43,A,51324,"Collierville, TN",0,14,2,0.02,Collierville town
TN,4770580,Spring Hill,incorporated,25,A,50005,"Spring Hill, TN",0,15,2,0.02,Spring Hill city
TN,4715400,Cleveland,incorporated,25,A,47356,"Cleveland, TN",0,16,2,0.02,Cleveland city
TN,4708280,Brentwood,incorporated,25,A,45373,"Brentwood, TN",0,17,2,0.02,Brentwood city
TN,4728540,Gallatin,incorporated,25,A,44431,"Gallatin, TN",0,18,2,0.02,Gallatin city
TN,4716540,Columbia,incorporated,25,A,41690,"Columbia, TN",0,19,2,0.02,Columbia city
TN,4728960,Germantown,incorporated,25,A,41333,"Germantown, TN",0,20,2,0.02,Germantown city
TN,4750780,Mount Juliet,incorporated,25,A,39289,"Mount Juliet, TN",0,21,2,0.02,Mount Juliet city
TN,4741200,La Vergne,incorporated,25,A,38719,"La Vergne, TN",0,22,2,0.02,La Vergne city
TN,4741520,Lebanon,incorporated,25,A,38431,"Lebanon, TN",0,23,1,0.01,Lebanon city
TN,4716920,Cookeville,incorporated,25,A,34842,"Cookeville, TN",0,24,1,0.01,Cookeville city
TN,4746380,Maryville,incorporated,25,A,31907,"Maryville, TN",0,25,1,0.01,Maryville city
TN,4755120,Oak Ridge,incorporated,25,A,31402,"Oak Ridge, TN",0,26,1,0.01,Oak Ridge city
TN,4750280,Morristown,incorporated,25,A,30431,"Morristown, TN",0,27,1,0.01,Morristown city
TN,4708540,Bristol,incorporated,25,A,27147,"Bristol, TN",0,28,0,0,Bristol city
TN,4767760,Shelbyville,incorporated,25,A,23557,"Shelbyville, TN",0,29,0,0,Shelbyville city
