stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
TX,4835000,Houston,incorporated,25,A,2304580,"Houston, TX",0,1,63,0.252,Houston city
TX,4865000,San Antonio,incorporated,25,A,1434625,"San Antonio, TX",0,2,26,0.104,San Antonio city
TX,4819000,Dallas,incorporated,25,A,1304379,"Dallas, TX",0,3,17,0.068,Dallas city
TX,4805000,Austin,incorporated,25,A,961855,"Austin, TX",0,4,18,0.072,Austin city
TX,4827000,Fort Worth,incorporated,25,A,918915,"Fort Worth, TX",0,5,8,0.032,Fort Worth city
TX,4824000,El Paso,incorporated,25,A,678815,"El Paso, TX",0,6,8,0.032,El Paso city
TX,4804000,Arlington,incorporated,25,A,394266,"Arlington, TX",0,7,6,0.024,Arlington city
TX,4817000,Corpus Christi,incorporated,25,A,317863,"Corpus Christi, TX",0,8,6,0.024,Corpus Christi city
TX,4858016,Plano,incorporated,25,A,285494,"Plano, TX",0,9,4,0.016,Plano city
TX,4845000,Lubbock,incorporated,25,A,257141,"Lubbock, TX",0,10,5,0.02,Lubbock city
TX,4837000,Irving,incorporated,25,A,256684,"Irving, TX",0,11,3,0.012,Irving city
TX,4841464,Laredo,incorporated,25,A,255205,"Laredo, TX",0,12,4,0.016,Laredo city
TX,4829000,Garland,incorporated,25,A,246018,"Garland, TX",0,13,4,0.016,Garland city
TX,4827684,Frisco,incorporated,25,A,200509,"Frisco, TX",0,14,2,0.008,Frisco city
TX,4803000,Amarillo,incorporated,25,A,200393,"Amarillo, TX",0,15,2,0.008,Amarillo city
TX,4830464,Grand Prairie,incorporated,25,A,196100,"Grand Prairie, TX",0,16,3,0.012,Grand Prairie city
TX,4845744,McKinney,incorporated,25,A,195308,"McKinney, TX",0,17,3,0.012,McKinney city
TX,4810768,Brownsville,incorporated,25,A,186738,"Brownsville, TX",0,18,3,0.012,Brownsville city
TX,4839148,Killeen,incorporated,25,A,153095,"Killeen, TX",0,19,3,0.012,Killeen city
TX,4856000,Pasadena,incorporated,25,A,151950,"Pasadena, TX",0,20,2,0.008,Pasadena city
TX,4847892,Mesquite,incorporated,25,A,150108,"Mesquite, TX",0,21,2,0.008,Mesquite city
TX,4845384,McAllen,incorporated,25,A,142210,"McAllen, TX",0,22,1,0.004,McAllen city
TX,4819972,Denton,incorporated,25,A,139869,"Denton, TX",0,23,1,0.004,Denton city
TX,4876000,Waco,incorporated,25,A,138486,"Waco, TX",0,24,1,0.004,Waco city
TX,4813024,Carrollton,incorporated,25,A,133434,"Carrollton, TX",0,25,1,0.004,Carrollton city
TX,4848072,Midland,incorporated,25,A,132524,"Midland, TX",0,26,1,0.004,Midland city
TX,4856348,Pearland,incorporated,25,A,125828,"Pearland, TX",0,27,1,0.004,Pearland city
TX,4801000,Abilene,incorporated,25,A,125182,"Abilene, TX",0,28,2,0.008,Abilene city
TX,4815976,College Station,incorporated,25,A,120511,"College Station, TX",0,29,2,0.008,College Station city
TX,4861796,Richardson,incorporated,25,A,119469,"Richardson, TX",0,30,2,0.008,Richardson city
TX,4863500,Round Rock,incorporated,25,A,119468,"Round Rock, TX",0,31,2,0.008,Round Rock city
TX,4807000,Beaumont,incorporated,25,A,115282,"Beaumont, TX",0,32,2,0.008,Beaumont city
TX,4853388,Odessa,incorporated,25,A,114428,"Odessa, TX",0,33,2,0.008,Odessa city
TX,4841980,League City,incorporated,25,A,114392,"League City, TX",0,34,2,0.008,League City city
TX,4842508,Lewisville,incorporated,25,A,111822,"Lewisville, TX",0,35,2,0.008,Lewisville city
TX,4870808,Sugar Land,incorporated,25,A,111026,"Sugar Land, TX",0,36,2,0.008,Sugar Land city
TX,4874144,Tyler,incorporated,25,A,105995,"Tyler, TX",0,37,2,0.008,Tyler city
TX,4801924,Allen,incorporated,25,A,104627,"Allen, TX",0,38,2,0.008,Allen city
TX,4879000,Wichita Falls,incorporated,25,A,102316,"Wichita Falls, TX",0,39,2,0.008,Wichita Falls city
TX,4822660,Edinburg,incorporated,25,A,100243,"Edinburg, TX",0,40,2,0.008,Edinburg city
TX,4864472,San Angelo,incorporated,25,A,99893,"San Angelo, TX",0,41,2,0.008,San Angelo city
TX,4850820,New Braunfels,incorporated,25,A,90403,"New Braunfels, TX",0,42,2,0.008,New Braunfels city
TX,4816432,Conroe,incorporated,25,A,89956,"Conroe, TX",0,43,2,0.008,Conroe city
TX,4848768,Mission,incorporated,25,A,85778,"Mission, TX",0,44,2,0.008,Mission city
TX,4810912,Bryan,incorporated,25,A,83980,"Bryan, TX",0,45,2,0.008,Bryan city
TX,4806128,Baytown,incorporated,25,A,83701,"Baytown, TX",0,46,2,0.008,Baytown city
TX,4872176,Temple,incorporated,25,A,82073,"Temple, TX",0,47,2,0.008,Temple city
TX,4843888,Longview,incorporated,25,A,81638,"Longview, TX",0,48,1,0.004,Longview city
TX,4857200,Pharr,incorporated,25,A,79715,"Pharr, TX",0,49,1,0.004,Pharr city
TX,4813552,Cedar Park,incorporated,25,A,77595,"Cedar Park, TX",0,50,1,0.004,Cedar Park city
TX,4826232,Flower Mound,incorporated,43,A,75956,"Flower Mound, TX",0,51,1,0.004,Flower Mound town
TX,4848804,Missouri City,incorporated,25,A,74259,"Missouri City, TX",0,52,1,0.004,Missouri City city
TX,4846452,Mansfield,incorporated,25,A,72602,"Mansfield, TX",0,53,1,0.004,Mansfield city
TX,4832372,Harlingen,incorporated,25,A,71829,"Harlingen, TX",0,54,1,0.004,Harlingen city
TX,4852356,North Richland Hills,incorporated,25,A,69917,"North Richland Hills, TX",0,55,1,0.004,North Richland Hills city
TX,4865600,San Marcos,incorporated,25,A,67553,"San Marcos, TX",0,56,1,0.004,San Marcos city
TX,4829336,Georgetown,incorporated,25,A,67176,"Georgetown, TX",0,57,1,0.004,Georgetown city
TX,4875428,Victoria,incorporated,25,A,65534,"Victoria, TX",0,58,1,0.004,Victoria city
TX,4857176,Pflugerville,incorporated,25,A,65191,"Pflugerville, TX",0,59,1,0.004,Pflugerville city
TX,4863572,Rowlett,incorporated,25,A,62535,"Rowlett, TX",0,60,0,0,Rowlett city
TX,4824768,Euless,incorporated,25,A,61032,"Euless, TX",0,61,0,0,Euless city
TX,4842016,Leander,incorporated,25,A,59202,"Leander, TX",0,62,0,0,Leander city
TX,4880356,Wylie,incorporated,25,A,57526,"Wylie, TX",0,63,0,0,Wylie city
TX,4820092,DeSoto,incorporated,25,A,56145,"DeSoto, TX",0,64,0,0,DeSoto city
TX,4858820,Port Arthur,incorporated,25,A,56039,"Port Arthur, TX",0,65,0,0,Port Arthur city
TX,4828068,Galveston,incorporated,25,A,53695,"Galveston, TX",0,66,0,0,Galveston city
TX,4872392,Texas City,incorporated,25,A,51898,"Texas City, TX",0,67,0,0,Texas City city
TX,4830644,Grapevine,incorporated,25,A,50631,"Grapevine, TX",0,68,0,0,Grapevine city
TX,4807132,Bedford,incorporated,25,A,49928,"Bedford, TX",0,69,0,0,Bedford city
TX,4813492,Cedar Hill,incorporated,25,A,49148,"Cedar Hill, TX",0,70,0,0,Cedar Hill city
TX,4811428,Burleson,incorporated,25,A,47641,"Burleson, TX",0,71,0,0,Burleson city
TX,4862828,Rockwall,incorporated,25,A,47251,"Rockwall, TX",0,72,0,0,Rockwall city
TX,4843012,Little Elm,incorporated,25,A,46453,"Little Elm, TX",0,73,0,0,Little Elm city
TX,4831928,Haltom City,incorporated,25,A,46073,"Haltom City, TX",0,74,0,0,Haltom City city
TX,4835528,Huntsville,incorporated,25,A,45941,"Huntsville, TX",0,75,0,0,Huntsville city
TX,4838632,Keller,incorporated,25,A,45776,"Keller, TX",0,76,0,0,Keller city
TX,4839952,Kyle,incorporated,25,A,45697,"Kyle, TX",0,77,0,0,Kyle city
TX,4872530,The Colony,incorporated,25,A,44534,"The Colony, TX",0,78,0,0,The Colony city
TX,4867496,Sherman,incorporated,25,A,43645,"Sherman, TX",0,79,0,0,Sherman city
TX,4816612,Coppell,incorporated,25,A,42983,"Coppell, TX",0,80,0,0,Coppell city
TX,4866128,Schertz,incorporated,25,A,42002,"Schertz, TX",0,81,0,0,Schertz city
TX,4841212,Lancaster,incorporated,25,A,41275,"Lancaster, TX",0,82,0,0,Lancaster city
TX,4827648,Friendswood,incorporated,25,A,41213,"Friendswood, TX",0,83,0,0,Friendswood city
TX,4876816,Waxahachie,incorporated,25,A,41140,"Waxahachie, TX",0,84,0,0,Waxahachie city
TX,4821628,Duncanville,incorporated,25,A,40706,"Duncanville, TX",0,85,0,0,Duncanville city
TX,4835576,Hurst,incorporated,25,A,40413,"Hurst, TX",0,86,0,0,Hurst city
TX,4877272,Weslaco,incorporated,25,A,40160,"Weslaco, TX",0,87,0,0,Weslaco city
TX,4863284,Rosenberg,incorporated,25,A,38282,"Rosenberg, TX",0,88,0,0,Rosenberg city
TX,4816624,Copperas Cove,incorporated,25,A,36670,"Copperas Cove, TX",0,89,0,0,Copperas Cove city
TX,4872368,Texarkana,incorporated,25,A,36193,"Texarkana, TX",0,90,0,0,Texarkana city
TX,4825452,Farmers Branch,incorporated,25,A,35991,"Farmers Branch, TX",0,91,0,0,Farmers Branch city
TX,4865516,San Juan,incorporated,25,A,35294,"San Juan, TX",0,92,0,0,San Juan city
TX,4848096,Midlothian,incorporated,25,A,35125,"Midlothian, TX",0,93,0,0,Midlothian city
TX,4841440,La Porte,incorporated,25,A,35124,"La Porte, TX",0,94,0,0,La Porte city
TX,4819792,Del Rio,incorporated,25,A,34673,"Del Rio, TX",0,95,0,0,Del Rio city
TX,4819624,Deer Park,incorporated,25,A,34495,"Deer Park, TX",0,96,0,0,Deer Park city
TX,4868636,Socorro,incorporated,25,A,34306,"Socorro, TX",0,97,0,0,Socorro city
TX,4845072,Lufkin,incorporated,25,A,34143,"Lufkin, TX",0,98,0,0,Lufkin city
TX,4832312,Harker Heights,incorporated,25,A,33097,"Harker Heights, TX",0,99,0,0,Harker Heights city
TX,4814920,Cibolo,incorporated,25,A,32276,"Cibolo, TX",0,100,0,0,Cibolo city
TX,4850256,Nacogdoches,incorporated,25,A,32147,"Nacogdoches, TX",0,101,0,0,Nacogdoches city
TX,4815364,Cleburne,incorporated,25,A,31352,"Cleburne, TX",0,102,0,0,Cleburne city
TX,4869032,Southlake,incorporated,25,A,31265,"Southlake, TX",0,103,0,0,Southlake city
TX,4876864,Weatherford,incorporated,25,A,30854,"Weatherford, TX",0,104,0,0,Weatherford city
TX,4859696,Prosper,incorporated,43,A,30174,"Prosper, TX",0,105,0,0,Prosper town
TX,4866644,Seguin,incorporated,25,A,29433,"Seguin, TX",0,106,0,0,Seguin city
TX,4840588,Lake Jackson,incorporated,25,A,28177,"Lake Jackson, TX",0,107,0,0,Lake Jackson city
TX,4830920,Greenville,incorporated,25,A,28164,"Greenville, TX",0,108,0,0,Greenville city
TX,4821892,Eagle Pass,incorporated,25,A,28130,"Eagle Pass, TX",0,109,0,0,Eagle Pass city
TX,4805372,Balch Springs,incorporated,25,A,27685,"Balch Springs, TX",0,110,0,0,Balch Springs city
TX,4835624,Hutto,incorporated,25,A,27577,"Hutto, TX",0,111,0,0,Hutto city
TX,4816468,Converse,incorporated,25,A,27466,"Converse, TX",0,112,0,0,Converse city
TX,4864064,Sachse,incorporated,25,A,27103,"Sachse, TX",0,113,0,0,Sachse city
TX,4802272,Alvin,incorporated,25,A,27098,"Alvin, TX",0,114,0,0,Alvin city
TX,4808236,Big Spring,incorporated,25,A,26144,"Big Spring, TX",0,115,0,0,Big Spring city
TX,4815988,Colleyville,incorporated,25,A,26057,"Colleyville, TX",0,116,0,0,Colleyville city
TX,4839352,Kingsville,incorporated,25,A,25402,"Kingsville, TX",0,117,0,0,Kingsville city
TX,4874492,University Park,incorporated,25,A,25278,"University Park, TX",0,118,0,0,University Park city
TX,4817060,Corsicana,incorporated,25,A,25109,"Corsicana, TX",0,119,0,0,Corsicana city
TX,4865036,San Benito,incorporated,25,A,24861,"San Benito, TX",0,120,0,0,San Benito city
TX,4807552,Benbrook,incorporated,25,A,24520,"Benbrook, TX",0,121,0,0,Benbrook city
TX,4819900,Denison,incorporated,25,A,24479,"Denison, TX",0,122,0,0,Denison city
TX,4855080,Paris,incorporated,25,A,24476,"Paris, TX",0,123,0,0,Paris city
TX,4839040,Kerrville,incorporated,25,A,24278,"Kerrville, TX",0,124,0,0,Kerrville city
TX,4864112,Saginaw,incorporated,25,A,23890,"Saginaw, TX",0,125,0,0,Saginaw city
TX,4876672,Watauga,incorporated,25,A,23650,"Watauga, TX",0,126,0,0,Watauga city
TX,4826604,Forney,incorporated,25,A,23455,"Forney, TX",0,127,0,0,Forney city
TX,4846776,Marshall,incorporated,25,A,23392,"Marshall, TX",0,128,0,0,Marshall city
TX,4807492,Belton,incorporated,25,A,23054,"Belton, TX",0,129,0,0,Belton city
