stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
VA,5182000,Virginia Beach,incorporated,25,A,459470,"Virginia Beach, VA",0,1,68,0.272,Virginia Beach city
VA,5116000,Chesapeake,incorporated,25,A,249422,"Chesapeake, VA",0,2,30,0.12,Chesapeake city
VA,5157000,Norfolk,incorporated,25,A,238005,"Norfolk, VA",0,3,17,0.068,Norfolk city
VA,5167000,Richmond,incorporated,25,A,226610,"Richmond, VA",0,4,18,0.072,Richmond city
VA,5156000,Newport News,incorporated,25,A,186247,"Newport News, VA",0,5,9,0.036,Newport News city
VA,5101000,Alexandria,incorporated,25,A,159467,"Alexandria, VA",0,6,7,0.028,Alexandria city
VA,5135000,Hampton,incorporated,25,A,137148,"Hampton, VA",0,7,6,0.024,Hampton city
VA,5168000,Roanoke,incorporated,25,A,100011,"Roanoke, VA",0,8,5,0.02,Roanoke city
VA,5164000,Portsmouth,incorporated,25,A,97915,"Portsmouth, VA",0,9,4,0.016,Portsmouth city
VA,5176432,Suffolk,incorporated,25,A,94324,"Suffolk, VA",0,10,5,0.02,Suffolk city
VA,5147672,Lynchburg,incorporated,25,A,79009,"Lynchburg, VA",0,11,3,0.012,Lynchburg city
VA,5135624,Harrisonburg,incorporated,25,A,51814,"Harrisonburg, VA",0,12,3,0.012,Harrisonburg city
VA,5144984,Leesburg,incorporated,43,A,48250,"Leesburg, VA",0,13,4,0.016,Leesburg town
VA,5114968,Charlottesville,incorporated,25,A,46553,"Charlottesville, VA",0,14,3,0.012,Charlottesville city
VA,5107784,Blacksburg,incorporated,43,A,44826,"Blacksburg, VA",0,15,2,0.008,Blacksburg town
VA,5148952,Manassas,incorporated,25,A,42772,"Manassas, VA",0,16,2,0.008,Manassas city
VA,5121344,Danville,incorporated,25,A,42590,"Danville, VA",0,17,3,0.012,Danville city
VA,5161832,Petersburg,incorporated,25,A,33458,"Petersburg, VA",0,18,3,0.012,Petersburg city
VA,5186720,Winchester,incorporated,25,A,28120,"Winchester, VA",0,19,3,0.012,Winchester city
VA,5129744,Fredericksburg,incorporated,25,A,27982,"Fredericksburg, VA",0,20,3,0.012,Fredericksburg city
VA,5175216,Staunton,incorporated,25,A,25750,"Staunton, VA",0,21,2,0.008,Staunton city
VA,5170000,Salem,incorporated,25,A,25346,"Salem, VA",0,22,1,0.004,Salem city
VA,5136648,Herndon,incorporated,43,A,24655,"Herndon, VA",0,23,1,0.004,Herndon town
VA,5126496,Fairfax,incorporated,25,A,24146,"Fairfax, VA",0,24,1,0.004,Fairfax city
VA,5116608,Christiansburg,incorporated,43,A,23348,"Christiansburg, VA",0,25,1,0.004,Christiansburg town
VA,5138424,Hopewell,incorporated,25,A,23033,"Hopewell, VA",0,26,1,0.004,Hopewell city
