stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
WA,5363000,Seattle,incorporated,25,A,737015,"Seattle, WA",0,1,70,0.28,Seattle city
WA,5367000,Spokane,incorporated,25,A,228989,"Spokane, WA",0,2,30,0.12,Spokane city
WA,5370000,Tacoma,incorporated,25,A,219346,"Tacoma, WA",0,3,17,0.068,Tacoma city
WA,5374060,Vancouver,incorporated,25,A,190915,"Vancouver, WA",0,4,12,0.048,Vancouver city
WA,5305210,Bellevue,incorporated,25,A,151854,"Bellevue, WA",0,5,9,0.036,Bellevue city
WA,5335415,Kent,incorporated,25,A,136588,"Kent, WA",0,6,7,0.028,Kent city
WA,5322640,Everett,incorporated,25,A,110629,"Everett, WA",0,7,6,0.024,Everett city
WA,5357745,Renton,incorporated,25,A,106785,"Renton, WA",0,8,5,0.02,Renton city
WA,5367167,Spokane Valley,incorporated,25,A,102976,"Spokane Valley, WA",0,9,4,0.016,Spokane Valley city
WA,5323515,Federal Way,incorporated,25,A,101030,"Federal Way, WA",0,10,5,0.02,Federal Way city
WA,5380010,Yakima,incorporated,25,A,96968,"Yakima, WA",0,11,3,0.012,Yakima city
WA,5335940,Kirkland,incorporated,25,A,92175,"Kirkland, WA",0,12,3,0.012,Kirkland city
WA,5305280,Bellingham,incorporated,25,A,91482,"Bellingham, WA",0,13,4,0.016,Bellingham city
WA,5303180,Auburn,incorporated,25,A,87256,"Auburn, WA",0,14,4,0.016,Auburn city
WA,5335275,Kennewick,incorporated,25,A,83921,"Kennewick, WA",0,15,2,0.008,Kennewick city
WA,5353545,Pasco,incorporated,25,A,77108,"Pasco, WA",0,16,2,0.008,Pasco city
WA,5357535,Redmond,incorporated,25,A,73256,"Redmond, WA",0,17,3,0.012,Redmond city
WA,5343955,Marysville,incorporated,25,A,70714,"Marysville, WA",0,18,3,0.012,Marysville city
WA,5361115,Sammamish,incorporated,25,A,67455,"Sammamish, WA",0,19,3,0.012,Sammamish city
WA,5338038,Lakewood,incorporated,25,A,63612,"Lakewood, WA",0,20,3,0.012,Lakewood city
WA,5358235,Richland,incorporated,25,A,60560,"Richland, WA",0,21,3,0.012,Richland city
WA,5363960,Shoreline,incorporated,25,A,58608,"Shoreline, WA",0,22,1,0.004,Shoreline city
WA,5351300,Olympia,incorporated,25,A,55605,"Olympia, WA",0,23,2,0.008,Olympia city
WA,5336745,Lacey,incorporated,25,A,53526,"Lacey, WA",0,24,1,0.004,Lacey city
WA,5308850,Burien,incorporated,25,A,52066,"Burien, WA",0,25,1,0.004,Burien city
WA,5307380,Bothell,incorporated,25,A,48161,"Bothell, WA",0,26,1,0.004,Bothell city
WA,5307695,Bremerton,incorporated,25,A,43505,"Bremerton, WA",0,27,1,0.004,Bremerton city
WA,5356695,Puyallup,incorporated,25,A,42973,"Puyallup, WA",0,28,1,0.004,Puyallup city
WA,5320750,Edmonds,incorporated,25,A,42853,"Edmonds, WA",0,29,1,0.004,Edmonds city
WA,5333805,Issaquah,incorporated,25,A,40051,"Issaquah, WA",0,30,2,0.008,Issaquah city
WA,5340840,Lynnwood,incorporated,25,A,38568,"Lynnwood, WA",0,31,2,0.008,Lynnwood city
WA,5340245,Longview,incorporated,25,A,37818,"Longview, WA",0,32,2,0.008,Longview city
WA,5337900,Lake Stevens,incorporated,25,A,35630,"Lake Stevens, WA",0,33,2,0.008,Lake Stevens city
WA,5377105,Wenatchee,incorporated,25,A,35508,"Wenatchee, WA",0,34,2,0.008,Wenatchee city
WA,5347560,Mount Vernon,incorporated,25,A,35219,"Mount Vernon, WA",0,35,2,0.008,Mount Vernon city
WA,5373465,University Place,incorporated,25,A,34866,"University Place, WA",0,36,2,0.008,University Place city
WA,5375775,Walla Walla,incorporated,25,A,34060,"Walla Walla, WA",0,37,2,0.008,Walla Walla city
WA,5356625,Pullman,incorporated,25,A,32901,"Pullman, WA",0,38,2,0.008,Pullman city
WA,5317635,Des Moines,incorporated,25,A,32888,"Des Moines, WA",0,39,2,0.008,Des Moines city
WA,5362288,SeaTac,incorporated,25,A,31454,"SeaTac, WA",0,40,2,0.008,SeaTac city
WA,5343150,Maple Valley,incorporated,25,A,28013,"Maple Valley, WA",0,41,2,0.008,Maple Valley city
WA,5309480,Camas,incorporated,25,A,26065,"Camas, WA",0,42,2,0.008,Camas city
WA,5345005,Mercer Island,incorporated,25,A,25748,"Mercer Island, WA",0,43,2,0.008,Mercer Island city
WA,5372905,Tumwater,incorporated,25,A,25350,"Tumwater, WA",0,44,2,0.008,Tumwater city
WA,5347245,Moses Lake,incorporated,25,A,25146,"Moses Lake, WA",0,45,2,0.008,Moses Lake city
WA,5303736,Bainbridge Island,incorporated,25,A,24825,"Bainbridge Island, WA",0,46,2,0.008,Bainbridge Island city
WA,5350360,Oak Harbor,incorporated,25,A,24622,"Oak Harbor, WA",0,47,2,0.008,Oak Harbor city
WA,5335170,Kenmore,incorporated,25,A,23914,"Kenmore, WA",0,48,2,0.008,Kenmore city
WA,5307170,Bonney Lake,incorporated,25,A,22487,"Bonney Lake, WA",0,49,2,0.008,Bonney Lake city
WA,5372625,Tukwila,incorporated,25,A,21798,"Tukwila, WA",0,50,2,0.008,Tukwila city
WA,5347735,Mukilteo,incorporated,25,A,21538,"Mukilteo, WA",0,51,1,0.004,Mukilteo city
WA,5347490,Mountlake Terrace,incorporated,25,A,21286,"Mountlake Terrace, WA",0,52,0,0,Mountlake Terrace city
WA,5345865,Mill Creek,incorporated,25,A,20926,"Mill Creek, WA",0,53,0,0,Mill Creek city
WA,5315290,Covington,incorporated,25,A,20777,"Covington, WA",0,54,0,0,Covington city
WA,5304475,Battle Ground,incorporated,25,A,20743,"Battle Ground, WA",0,55,0,0,Battle Ground city
WA,5355365,Port Angeles,incorporated,25,A,19960,"Port Angeles, WA",0,56,0,0,Port Angeles city
WA,5302585,Arlington,incorporated,25,A,19868,"Arlington, WA",0,57,0,0,Arlington city
WA,5346685,Monroe,incorporated,25,A,19699,"Monroe, WA",0,58,0,0,Monroe city
WA,5321240,Ellensburg,incorporated,25,A,18666,"Ellensburg, WA",0,59,0,0,Ellensburg city
WA,5311160,Centralia,incorporated,25,A,18183,"Centralia, WA",0,60,0,0,Centralia city
WA,5301990,Anacortes,incorporated,25,A,17637,"Anacortes, WA",0,61,0,0,Anacortes city
WA,5376405,Washougal,incorporated,25,A,17039,"Washougal, WA",0,62,0,0,Washougal city
WA,5300100,Aberdeen,incorporated,25,A,17013,"Aberdeen, WA",0,63,0,0,Aberdeen city
WA,5368750,Sunnyside,incorporated,25,A,16375,"Sunnyside, WA",0,64,0,0,Sunnyside city
WA,5377665,West Richland,incorporated,25,A,16295,"West Richland, WA",0,65,0,0,West Richland city
WA,5340805,Lynden,incorporated,25,A,15749,"Lynden, WA",0,66,0,0,Lynden city
WA,5355785,Port Orchard,incorporated,25,A,15587,"Port Orchard, WA",0,67,0,0,Port Orchard city
WA,5323620,Ferndale,incorporated,25,A,15048,"Ferndale, WA",0,68,0,0,Ferndale city
WA,5320155,East Wenatchee,incorporated,25,A,14158,"East Wenatchee, WA",0,69,0,0,East Wenatchee city
WA,5365205,Snoqualmie,incorporated,25,A,14121,"Snoqualmie, WA",0,70,0,0,Snoqualmie city
WA,5337270,Lake Forest Park,incorporated,25,A,13630,"Lake Forest Park, WA",0,71,0,0,Lake Forest Park city
WA,5311825,Cheney,incorporated,25,A,13255,"Cheney, WA",0,72,0,0,Cheney city
WA,5379590,Woodinville,incorporated,25,A,13069,"Woodinville, WA",0,73,0,0,Woodinville city
WA,5348645,Newcastle,incorporated,25,A,13017,"Newcastle, WA",0,74,0,0,Newcastle city
WA,5335065,Kelso,incorporated,25,A,12720,"Kelso, WA",0,75,0,0,Kelso city
WA,5322045,Enumclaw,incorporated,25,A,12543,"Enumclaw, WA",0,76,0,0,Enumclaw city
WA,5363210,Sedro-Woolley,incorporated,25,A,12421,"Sedro-Woolley, WA",0,77,0,0,Sedro-Woolley city
WA,5320645,Edgewood,incorporated,25,A,12327,"Edgewood, WA",0,78,0,0,Edgewood city
WA,5326735,Gig Harbor,incorporated,25,A,12029,"Gig Harbor, WA",0,79,0,0,Gig Harbor city
WA,5339335,Liberty Lake,incorporated,25,A,12003,"Liberty Lake, WA",0,80,0,0,Liberty Lake city
WA,5355995,Poulsbo,incorporated,25,A,11975,"Poulsbo, WA",0,81,0,0,Poulsbo city
WA,5323795,Fife,incorporated,25,A,10999,"Fife, WA",0,82,0,0,Fife city
WA,5327925,Grandview,incorporated,25,A,10907,"Grandview, WA",0,83,0,0,Grandview city
WA,5300905,Airway Heights,incorporated,25,A,10757,"Airway Heights, WA",0,84,0,0,Airway Heights city
WA,5368435,Sumner,incorporated,25,A,10621,"Sumner, WA",0,85,0,0,Sumner city
WA,5380220,Yelm,incorporated,25,A,10617,"Yelm, WA",0,86,0,0,Yelm city
WA,5363735,Shelton,incorporated,25,A,10371,"Shelton, WA",0,87,0,0,Shelton city
WA,5358410,Ridgefield,incorporated,25,A,10319,"Ridgefield, WA",0,88,0,0,Ridgefield city
WA,5318965,DuPont,incorporated,25,A,10151,"DuPont, WA",0,89,0,0,DuPont city
WA,5355855,Port Townsend,incorporated,25,A,10148,"Port Townsend, WA",0,90,0,0,Port Townsend city
WA,5365170,Snohomish,incorporated,25,A,10126,"Snohomish, WA",0,91,0,0,Snohomish city
WA,5313855,College Place,incorporated,25,A,9902,"College Place, WA",0,92,0,0,College Place city
WA,5308920,Burlington,incorporated,25,A,9152,"Burlington, WA",0,93,0,0,Burlington city
WA,5352005,Orting,incorporated,25,A,9041,"Orting, WA",0,94,0,0,Orting city
WA,5371960,Toppenish,incorporated,25,A,8854,"Toppenish, WA",0,95,0,0,Toppenish city
WA,5332300,Hoquiam,incorporated,25,A,8776,"Hoquiam, WA",0,96,0,0,Hoquiam city
WA,5346020,Milton,incorporated,25,A,8697,"Milton, WA",0,97,0,0,Milton city
WA,5352215,Othello,incorporated,25,A,8549,"Othello, WA",0,98,0,0,Othello city
WA,5322080,Ephrata,incorporated,25,A,8477,"Ephrata, WA",0,99,0,0,Ephrata city
WA,5363280,Selah,incorporated,25,A,8153,"Selah, WA",0,100,0,0,Selah city
WA,5319035,Duvall,incorporated,25,A,8034,"Duvall, WA",0,101,0,0,Duvall city
WA,5363385,Sequim,incorporated,25,A,8024,"Sequim, WA",0,102,0,0,Sequim city
WA,5367455,Stanwood,incorporated,25,A,7705,"Stanwood, WA",0,103,0,0,Stanwood city
WA,5357115,Quincy,incorporated,25,A,7543,"Quincy, WA",0,104,0,0,Quincy city
WA,5349485,North Bend,incorporated,25,A,7461,"North Bend, WA",0,105,0,0,North Bend city
WA,5311475,Chehalis,incorporated,25,A,7439,"Chehalis, WA",0,106,0,0,Chehalis city
WA,5352495,Pacific,incorporated,25,A,7235,"Pacific, WA",0,107,0,0,Pacific city
WA,5312630,Clarkston,incorporated,25,A,7161,"Clarkston, WA",0,108,0,0,Clarkston city
WA,5323970,Fircrest,incorporated,25,A,7156,"Fircrest, WA",0,109,0,0,Fircrest city
WA,5349415,Normandy Park,incorporated,25,A,6771,"Normandy Park, WA",0,110,0,0,Normandy Park city
WA,5367770,Steilacoom,incorporated,43,A,6727,"Steilacoom, WA",0,111,0,0,Steilacoom town
WA,5350570,Ocean Shores,incorporated,25,A,6715,"Ocean Shores, WA",0,112,0,0,Ocean Shores city
WA,5373290,Union Gap,incorporated,25,A,6568,"Union Gap, WA",0,113,0,0,Union Gap city
WA,5307940,Brier,incorporated,25,A,6560,"Brier, WA",0,114,0,0,Brier city
WA,5379625,Woodland,incorporated,25,A,6531,"Woodland, WA",0,115,0,0,Woodland city
WA,5356450,Prosser,incorporated,25,A,6062,"Prosser, WA",0,116,0,0,Prosser city
WA,5306505,Blaine,incorporated,25,A,5884,"Blaine, WA",0,117,0,0,Blaine city
WA,5314485,Connell,incorporated,25,A,5441,"Connell, WA",0,118,0,0,Connell city
WA,5368260,Sultan,incorporated,25,A,5146,"Sultan, WA",0,119,0,0,Sultan city
WA,5308570,Buckley,incorporated,25,A,5114,"Buckley, WA",0,120,0,0,Buckley city
WA,5314170,Colville,incorporated,25,A,4917,"Colville, WA",0,121,0,0,Colville city
WA,5344690,Medical Lake,incorporated,25,A,4874,"Medical Lake, WA",0,122,0,0,Medical Lake city
WA,5351340,Omak,incorporated,25,A,4860,"Omak, WA",0,123,0,0,Omak city
WA,5306330,Black Diamond,incorporated,25,A,4697,"Black Diamond, WA",0,124,0,0,Black Diamond city
WA,5376125,Wapato,incorporated,25,A,4607,"Wapato, WA",0,125,0,0,Wapato city
WA,5327995,Granite Falls,incorporated,25,A,4450,"Granite Falls, WA",0,126,0,0,Granite Falls city
