stusps,geoid,basename,type,LSADC,FUNCSTAT,pop2020,wiki_title,wiki_len,pop_rank,est_mentions,est_share,NAME
WV,5414600,Charleston,incorporated,25,A,48864,"Charleston, WV",0,1,93,0.372,Charleston city
WV,5439460,Huntington,incorporated,25,A,46842,"Huntington, WV",0,2,27,0.108,Huntington city
WV,5455756,Morgantown,incorporated,25,A,30347,"Morgantown, WV",0,3,15,0.06,Morgantown city
WV,5462140,Parkersburg,incorporated,25,A,29738,"Parkersburg, WV",0,4,12,0.048,Parkersburg city
WV,5486452,Wheeling,incorporated,25,A,27052,"Wheeling, WV",0,5,8,0.032,Wheeling city
WV,5485156,Weirton,incorporated,25,A,19163,"Weirton, WV",0,6,7,0.028,Weirton city
WV,5452060,Martinsburg,incorporated,25,A,18777,"Martinsburg, WV",0,7,5,0.02,Martinsburg city
WV,5426452,Fairmont,incorporated,25,A,18416,"Fairmont, WV",0,8,5,0.02,Fairmont city
WV,5405332,Beckley,incorporated,25,A,17286,"Beckley, WV",0,9,5,0.02,Beckley city
WV,5415628,Clarksburg,incorporated,25,A,16061,"Clarksburg, WV",0,10,3,0.012,Clarksburg city
WV,5475292,South Charleston,incorporated,25,A,13647,"South Charleston, WV",0,11,6,0.024,South Charleston city
WV,5471212,St. Albans,incorporated,25,A,10861,"St. Albans, WV",0,12,4,0.016,St. Albans city
WV,5483500,Vienna,incorporated,25,A,10652,"Vienna, WV",0,13,2,0.008,Vienna city
WV,5408524,Bluefield,incorporated,25,A,9658,"Bluefield, WV",0,14,2,0.008,Bluefield city
WV,5410180,Bridgeport,incorporated,25,A,9336,"Bridgeport, WV",0,15,2,0.008,Bridgeport city
WV,5460028,Oak Hill,incorporated,25,A,8179,"Oak Hill, WV",0,16,3,0.012,Oak Hill city
WV,5456020,Moundsville,incorporated,25,A,8093,"Moundsville, WV",0,17,3,0.012,Moundsville city
WV,5422564,Dunbar,incorporated,25,A,7480,"Dunbar, WV",0,18,3,0.012,Dunbar city
WV,5439532,Hurricane,incorporated,25,A,6961,"Hurricane, WV",0,19,2,0.008,Hurricane city
WV,5424580,Elkins,incorporated,25,A,6934,"Elkins, WV",0,20,1,0.004,Elkins city
WV,5459068,Nitro,incorporated,25,A,6624,"Nitro, WV",0,21,1,0.004,Nitro city
WV,5414610,Charles Town,incorporated,25,A,6534,"Charles Town, WV",0,22,1,0.004,Charles Town city
WV,5465692,Princeton,incorporated,25,A,5872,"Princeton, WV",0,23,1,0.004,Princeton city
WV,5466988,Ranson,incorporated,CN,A,5433,"Ranson, WV",0,24,1,0.004,Ranson corporation
WV,5458684,New Martinsville,incorporated,25,A,5204,"New Martinsville, WV",0,25,1,0.004,New Martinsville city
WV,5411188,Buckhannon,incorporated,25,A,5186,"Buckhannon, WV",0,26,1,0.004,Buckhannon city
WV,5443492,Keyser,incorporated,25,A,4864,"Keyser, WV",0,27,2,0.008,Keyser city
WV,5432716,Grafton,incorporated,25,A,4722,"Grafton, WV",0,28,2,0.008,Grafton city
WV,5404276,Barboursville,incorporated,47,A,4456,"Barboursville, WV",0,29,2,0.008,Barboursville village
WV,5464708,Point Pleasant,incorporated,25,A,4070,"Point Pleasant, WV",0,30,2,0.008,Point Pleasant city
WV,5485996,Westover,incorporated,25,A,3955,"Westover, WV",0,31,2,0.008,Westover city
WV,5485972,Weston,incorporated,25,A,3952,"Weston, WV",0,32,2,0.008,Weston city
WV,5446636,Lewisburg,incorporated,25,A,3922,"Lewisburg, WV",0,33,2,0.008,Lewisburg city
WV,5467108,Ravenswood,incorporated,25,A,3865,"Ravenswood, WV",0,34,2,0.008,Ravenswood city
WV,5485228,Welch,incorporated,25,A,3590,"Welch, WV",0,35,2,0.008,Welch city
WV,5464228,Pleasant Valley,incorporated,25,A,3498,"Pleasant Valley, WV",0,36,2,0.008,Pleasant Valley city
WV,5477980,Summersville,incorporated,25,A,3431,"Summersville, WV",0,37,2,0.008,Summersville city
WV,5487508,Williamson,incorporated,25,A,3083,"Williamson, WV",0,38,2,0.008,Williamson city
WV,5468596,Ripley,incorporated,25,A,3079,"Ripley, WV",0,39,2,0.008,Ripley city
WV,5443180,Kenova,incorporated,25,A,3033,"Kenova, WV",0,40,2,0.008,Kenova city
WV,5487556,Williamstown,incorporated,25,A,2997,"Williamstown, WV",0,41,2,0.008,Williamstown city
WV,5444044,Kingwood,incorporated,25,A,2980,"Kingwood, WV",0,42,2,0.008,Kingwood city
WV,5463292,Philippi,incorporated,25,A,2929,"Philippi, WV",0,43,1,0.004,Philippi city
WV,5450524,Madison,incorporated,25,A,2913,"Madison, WV",0,44,1,0.004,Madison city
WV,5427028,Fayetteville,incorporated,43,A,2887,"Fayetteville, WV",0,45,1,0.004,Fayetteville town
WV,5428204,Follansbee,incorporated,25,A,2848,"Follansbee, WV",0,46,1,0.004,Follansbee city
WV,5454484,Milton,incorporated,43,A,2811,"Milton, WV",0,47,0,0,Milton town
WV,5406940,Bethlehem,incorporated,47,A,2605,"Bethlehem, WV",0,48,0,0,Bethlehem village
WV,5461636,Paden City,incorporated,25,A,2541,"Paden City, WV",0,49,0,0,Paden City city
WV,5455588,Moorefield,incorporated,43,A,2524,"Moorefield, WV",0,50,0,0,Moorefield town
WV,5485324,Wellsburg,incorporated,25,A,2450,"Wellsburg, WV",0,51,0,0,Wellsburg city
WV,5487988,Winfield,incorporated,43,A,2393,"Winfield, WV",0,52,0,0,Winfield town
WV,5473636,Shinnston,incorporated,25,A,2328,"Shinnston, WV",0,53,0,0,Shinnston city
WV,5462956,Petersburg,incorporated,25,A,2284,"Petersburg, WV",0,54,0,0,Petersburg city
WV,5437636,Hinton,incorporated,25,A,2245,"Hinton, WV",0,55,0,0,Hinton city
WV,5486812,White Sulphur Springs,incorporated,25,A,2221,"White Sulphur Springs, WV",0,56,0,0,White Sulphur Springs city
WV,5415076,Chester,incorporated,25,A,2208,"Chester, WV",0,57,0,0,Chester city
WV,5475820,Spencer,incorporated,25,A,2063,"Spencer, WV",0,58,0,0,Spencer city
WV,5451100,Mannington,incorporated,25,A,1952,"Mannington, WV",0,59,0,0,Mannington city
WV,5471356,St. Marys,incorporated,25,A,1831,"St. Marys, WV",0,60,0,0,St. Marys city
WV,5405788,Belington,incorporated,43,A,1805,"Belington, WV",0,61,0,0,Belington town
WV,5477188,Stonewood,incorporated,25,A,1798,"Stonewood, WV",0,62,0,0,Stonewood city
WV,5476516,Star City,incorporated,43,A,1779,"Star City, WV",0,63,0,0,Star City town
WV,5470084,Romney,incorporated,25,A,1724,"Romney, WV",0,64,0,0,Romney city
WV,5450260,McMechen,incorporated,25,A,1697,"McMechen, WV",0,65,0,0,McMechen city
WV,5468116,Richwood,incorporated,25,A,1660,"Richwood, WV",0,66,0,0,Richwood city
WV,5435428,Harrisville,incorporated,43,A,1631,"Harrisville, WV",0,67,0,0,Harrisville town
WV,5470156,Ronceverte,incorporated,25,A,1572,"Ronceverte, WV",0,68,0,0,Ronceverte city
WV,5424292,Eleanor,incorporated,43,A,1542,"Eleanor, WV",0,69,0,0,Eleanor town
WV,5473468,Shepherdstown,incorporated,43,A,1531,"Shepherdstown, WV",0,70,0,0,Shepherdstown town
WV,5471380,Salem,incorporated,25,A,1529,"Salem, WV",0,71,0,0,Salem city
WV,5451724,Marmet,incorporated,25,A,1504,"Marmet, WV",0,72,0,0,Marmet city
WV,5431492,Glen Dale,incorporated,25,A,1496,"Glen Dale, WV",0,73,0,0,Glen Dale city
WV,5459836,Nutter Fort,incorporated,43,A,1493,"Nutter Fort, WV",0,74,0,0,Nutter Fort town
WV,5457148,Mullens,incorporated,25,A,1480,"Mullens, WV",0,75,0,0,Mullens city
WV,5458564,New Haven,incorporated,43,A,1476,"New Haven, WV",0,76,0,0,New Haven town
WV,5485876,West Liberty,incorporated,43,A,1454,"West Liberty, WV",0,77,0,0,West Liberty town
WV,5460364,Oceana,incorporated,43,A,1449,"Oceana, WV",0,78,0,0,Oceana town
WV,5484940,Wayne,incorporated,43,A,1443,"Wayne, WV",0,79,0,0,Wayne town
WV,5448148,Logan,incorporated,25,A,1439,"Logan, WV",0,80,0,0,Logan city
WV,5479708,Terra Alta,incorporated,43,A,1415,"Terra Alta, WV",0,81,0,0,Terra Alta town
WV,5474380,Sistersville,incorporated,25,A,1412,"Sistersville, WV",0,82,0,0,Sistersville city
WV,5414308,Ceredo,incorporated,25,A,1408,"Ceredo, WV",0,83,0,0,Ceredo city
WV,5432932,Granville,incorporated,43,A,1355,"Granville, WV",0,84,0,0,Granville town
WV,5449492,Mabscott,incorporated,43,A,1341,"Mabscott, WV",0,85,0,0,Mabscott town
